run,path,candidate,full_logloss,last_logloss,notes,full_delta_vs_anchor,last_delta_vs_anchor,fold0_logloss,fold1_logloss,fold2_logloss,fold3_logloss,fold4_logloss,tail3_mean,tail3_worst,fold_std,rank_score,selector_mode,selector_last_guard,selector_full_cap,selector_alpha,params,rates,label,alias
anchor,research/oof_sparse_greedy/candidate_scores.csv,anchor,0.595829751093375,0.5932822067983344,temporal_prior_anchor,0.0,0.0,,,,,,,,,,,,,,,,anchor / anchor,anchor
constrained_logit_blend,research/constrained_target_blend_logit_newton/candidate_scores.csv,full,0.5877322134657693,0.5887168320908297,,-0.0080975376276056,-0.0045653747075047,0.5854393667774792,0.5705624563392522,0.6162080601647535,0.5788388205125815,0.5887168320908297,0.594587904256055,0.6162080601647535,0.0154321060963304,0.5930408632725694,full,0.0,0.004,0.0,,,constrained_logit_blend / full,constr full
constrained_logit_blend,research/constrained_target_blend_logit_newton/candidate_scores.csv,last_guard_0p008,0.5877428185972132,0.5883827174386382,,-0.0080869324961617,-0.0048994893596961,0.5855750976741907,0.5706684943783892,0.6162506670781969,0.5789144111659216,0.5883827174386382,0.5945159318942522,0.6162506670781969,0.0154080960669975,0.5927296644754272,last_guard,0.008,0.004,0.0,,,constrained_logit_blend / last_guard_0p008,guard 0.008
constrained_logit_blend,research/constrained_target_blend_logit_newton/candidate_scores.csv,last_guard_0p006,0.5877737679674419,0.5881024812549815,,-0.0080559831259331,-0.0051797255433528,0.5857212059979161,0.5707911191192181,0.6163093111203622,0.578997350444315,0.5881024812549815,0.5944697142732196,0.6163093111203622,0.0153870890512497,0.59247040062441,last_guard,0.006,0.004,0.0,,,constrained_logit_blend / last_guard_0p006,guard 0.006
constrained_logit_blend,research/constrained_target_blend_logit_newton/candidate_scores.csv,positive_last_penalty_a0p25,0.5878369701001626,0.5877451996535964,,-0.0079927809932124,-0.005537007144738,0.586003503858545,0.5707590692960076,0.6163324470180812,0.5793585831255809,0.5877451996535964,0.5944787432657529,0.6163324470180812,0.0153537900643872,0.592115940404062,positive_last_penalty,0.0,0.004,0.25,,,constrained_logit_blend / positive_last_penalty_a0p25,penalty .25
constrained_logit_blend,research/constrained_target_blend_logit_newton/candidate_scores.csv,positive_last_penalty_a0p5,0.5879108823365706,0.5874987580795304,,-0.0079188687568043,-0.0057834487188039,0.5862796718830213,0.5707627890173292,0.6163491048933327,0.579646140160653,0.5874987580795304,0.5944980010445055,0.6163491048933327,0.0153214449611694,0.5918689788492959,positive_last_penalty,0.0,0.004,0.5,,,constrained_logit_blend / positive_last_penalty_a0p5,penalty .50
constrained_logit_blend,research/constrained_target_blend_logit_newton/candidate_scores.csv,tradeoff_cap_a0p15,0.5878979524532022,0.5866303472928861,,-0.0079317986401727,-0.0066518595054483,0.5860813013611408,0.5707557796148043,0.6167034775677716,0.5802647635585297,0.5866303472928861,0.5945328628063957,0.6167034775677716,0.0154052331071146,0.5910644702451613,tradeoff_cap,0.0,0.004,0.15,,,constrained_logit_blend / tradeoff_cap_a0p15,trade .15
constrained_logit_blend,research/constrained_target_blend_logit_newton/candidate_scores.csv,tradeoff_cap_a0p25,0.5882711842271381,0.5849415668379857,,-0.0075585668662369,-0.0083406399603487,0.5868884975100135,0.5712004293752038,0.6173074089926701,0.5818164988245448,0.5849415668379857,0.5946884915517335,0.6173074089926701,0.0154210676920912,0.589465350326173,tradeoff_cap,0.0,0.004,0.25,,,constrained_logit_blend / tradeoff_cap_a0p25,trade .25
constrained_logit_blend,research/constrained_target_blend_logit_newton/candidate_scores.csv,tradeoff_cap_a0p35,0.588345096463546,0.5846951252639195,,-0.0074846546298289,-0.0085870815344148,0.5871646655344899,0.5712041490965254,0.6173240668679216,0.5821040558596168,0.5846951252639195,0.5947077493304861,0.6173240668679216,0.0154087090180858,0.5892183887714066,tradeoff_cap,0.0,0.004,0.35,,,constrained_logit_blend / tradeoff_cap_a0p35,trade .35
constrained_logit_blend,research/constrained_target_blend_logit_newton/candidate_scores.csv,tradeoff_cap_a0p5,0.588695927319815,0.5838721654497869,,-0.0071338237735599,-0.0094100413485475,0.5876310239649621,0.5713297702105299,0.6179802323127632,0.5833606200146384,0.5838721654497869,0.5950710059257295,0.6179802323127632,0.0155687235029379,0.5884540107271937,tradeoff_cap,0.0,0.004,0.5,,,constrained_logit_blend / tradeoff_cap_a0p5,trade .50
ridge_logit_newton,research/residual_single_model_opt_ridge_logit_newton/candidate_scores.csv,ridge_residual_full,0.5878097385311384,0.5900889295851032,ridge residual correction selected by full,-0.0080200125622366,-0.0031932772132312,0.5851998764392192,0.5706907511532827,0.6159485042257182,0.5783132784147335,0.5900889295851032,0.5947835707418516,0.6159485042257182,0.0154061950458161,0.5943219162818765,,,,,,,ridge_logit_newton / ridge_residual_full,logit ridge full
ridge_logit_newton,research/residual_single_model_opt_ridge_logit_newton/candidate_scores.csv,ridge_residual_composite,0.5945186429376494,0.5813736124942065,ridge residual correction selected by composite,-0.0013111081557255,-0.0119085943041279,0.5929046990728651,0.5784857297588791,0.6250710113916612,0.5949696201921795,0.5813736124942065,0.6004714146926825,0.6250710113916612,0.0165293230404249,0.5862935318340022,,,,,,,ridge_logit_newton / ridge_residual_composite,logit ridge comp
ridge_logit_newton,research/residual_single_model_opt_ridge_logit_newton/candidate_scores.csv,ridge_residual_last,0.5962990874889843,0.5806631585824954,ridge residual correction selected by last,0.0004693363956093,-0.012619048215839,0.5966532532955738,0.5784008396132314,0.6256947655146279,0.6000060006303293,0.5806631585824954,0.6021213082424842,0.6256947655146279,0.0169870590513405,0.585776785973192,,,,,,,ridge_logit_newton / ridge_residual_last,logit ridge last
blend_ridge_logit_newton,research/residual_submission_blend_ridge_logit_newton/candidate_scores.csv,ridge_knn_blend_full,0.5877322134657693,0.5887168320908297,,-0.0080975376276056,-0.0045653747075047,0.5854393667774792,0.5705624563392522,0.6162080601647535,0.5788388205125815,0.5887168320908297,0.594587904256055,0.6162080601647535,0.0154321060963304,0.5930408632725694,,,,,,,blend_ridge_logit_newton / ridge_knn_blend_full,logit blend full
blend_ridge_logit_newton,research/residual_submission_blend_ridge_logit_newton/candidate_scores.csv,ridge_knn_blend_composite,0.5943135538405578,0.5813185329619441,,-0.0015161972528171,-0.0119636738363902,0.5928085503768731,0.5785113758069301,0.6247413299063863,0.5944004330823095,0.5813185329619441,0.6001534319835466,0.6247413299063863,0.0164115356425472,0.5862361125465121,,,,,,,blend_ridge_logit_newton / ridge_knn_blend_composite,logit blend comp
ridge_logit_te_full,research/residual_single_model_opt_ridge_logit_te_full/candidate_scores.csv,ridge_residual_full,0.5937259004584924,0.5915783930819647,ridge residual correction selected by full,-0.0021038506348826,-0.0017038137163697,0.5937752909187604,0.5780556106444784,0.6186435298677131,0.5872543731875386,0.5915783930819647,0.5991587653790721,0.6186435298677131,0.0135118413000283,0.5954753459796929,,,,,,,ridge_logit_te_full / ridge_residual_full,TE ridge full
ridge_logit_te_full,research/residual_single_model_opt_ridge_logit_te_full/candidate_scores.csv,ridge_residual_composite,0.5972765213610982,0.5877591758506154,ridge residual correction selected by composite,0.0014467702677232,-0.0055230309477189,0.6006121289256557,0.5818214301989677,0.6236145618457776,0.5926694596342867,0.5877591758506154,0.60134773244356,0.6236145618457776,0.0145291541922876,0.5934422964586237,,,,,,,ridge_logit_te_full / ridge_residual_composite,TE ridge comp
blend_ridge_knn,research/residual_submission_blend/candidate_scores.csv,ridge_knn_blend_full,0.5925908948467955,0.5904451334240337,,-0.0032388562465794,-0.0028370733743007,0.5883705638619271,0.5783921298798624,0.6231729852176222,0.5836258929111404,0.5904451334240337,0.5990813371842655,0.6231729852176222,0.015744424317238,0.5952634630307051,,,,,,,blend_ridge_knn / ridge_knn_blend_full,old blend full
blend_ridge_knn,research/residual_submission_blend/candidate_scores.csv,ridge_knn_blend_composite,0.5955355264573569,0.5849685361354412,,-0.0002942246360181,-0.0083136706628932,0.5952817844125359,0.5828602158676286,0.6239589988403803,0.5908595634417526,0.5849685361354412,0.5999290328058581,0.6239589988403803,0.0148467837149698,0.5897745293423456,,,,,,,blend_ridge_knn / ridge_knn_blend_composite,old blend comp
blend_logit_te_full,research/residual_submission_blend_ridge_logit_te_full/candidate_scores.csv,ridge_knn_blend_full,0.5937225202439913,0.5917995881413034,,-0.0021072308493836,-0.001482618657031,0.5934649117347908,0.5781342569684098,0.6185065302503465,0.5874089061189494,0.5917995881413034,0.5992383415035331,0.6185065302503465,0.0134221340405636,0.595653225890666,,,,,,,blend_logit_te_full / ridge_knn_blend_full,TE blend full
blend_logit_te_full,research/residual_submission_blend_ridge_logit_te_full/candidate_scores.csv,ridge_knn_blend_composite,0.5961283088404089,0.5880131388573159,,0.0002985577470339,-0.0052690679410185,0.5983184333259989,0.5807726581746705,0.6223491580394624,0.5914212440436765,0.5880131388573159,0.6005945136468184,0.6223491580394624,0.0142557157812561,0.5926178418208236,,,,,,,blend_logit_te_full / ridge_knn_blend_composite,TE blend comp
