constraint,path,public_score,anchor_expected_score,pseudo_expected_score,residual,lambda,ridge,success,cost
last_guard_0p008_last0.588383_full0.587743,submissions/constrained_target_blend_logit_newton/last_guard_0p008_last0.588383_full0.587743.csv,0.5920118473,0.6015805224026616,0.5907949394874084,-0.00121690781259165,-0.03895200943367308,0.002,True,3.652438945187272e-05
target_select_public_tight_last0.572477_full0.592635,submissions/public_aware_stack_blend_20260622/target_select_public_tight_last0.572477_full0.592635.csv,0.5905116492,0.6131032581664798,0.5917652959547424,0.0012536467547423769,0.09084121511688098,0.002,True,3.652438945187272e-05
public_aware_stack_blend_20260622_target_select_public_balanced__balanced_Q2_only_5_last0.570607_full0.592648,submissions/guarded_lgbm_integration_20260623_v2/public_aware_stack_blend_20260622_target_select_public_balanced__balanced_Q2_only_5_last0.570607_full0.592648.csv,0.590284128,0.6131660655724608,0.5918348851011106,0.0015507571011106336,0.09119447386592487,0.002,True,3.652438945187272e-05
02_guarded_targetwise,submissions/fast_temporal_stack/02_guarded_targetwise.csv,0.5935970063,0.5998423380696383,0.5917350163230498,-0.0018619899769501957,-0.0755099486029308,0.002,True,3.652438945187272e-05
