candidate,full_logloss,last_logloss,full_delta_vs_anchor,last_delta_vs_anchor,fold_std,tail3_mean,tail3_worst,test_abs_delta_mean_vs_anchor,public_direction_risk,bad_submission_alignment,selector_score,fold0_logloss,fold1_logloss,fold2_logloss,fold3_logloss,fold4_logloss,base,actions
base__public_aware_stack_blend_with_lgbm_source_20260622_target_select_public_balanced,0.593490188224851,0.5714397958877379,-0.002339562868523992,-0.021842410910596577,0.016709531107988576,0.5960726104075672,0.6209594784537444,0.007379484080403035,0.0007129225406162355,0.00010749433795296396,0.5767296521936055,0.5968287781663706,0.5817092895032917,0.6209594784537444,0.5958185568812197,0.5714397958877379,public_aware_stack_blend_with_lgbm_source_20260622_target_select_public_balanced,[]
base__public_aware_stack_blend_with_lgbm_source_20260622_target_select_public_aggressive,0.593490188224851,0.5714397958877379,-0.002339562868523992,-0.021842410910596577,0.016709531107988576,0.5960726104075672,0.6209594784537444,0.007379484080403035,0.0007129225406162355,0.00010749433795296396,0.5767296521936055,0.5968287781663706,0.5817092895032917,0.6209594784537444,0.5958185568812197,0.5714397958877379,public_aware_stack_blend_with_lgbm_source_20260622_target_select_public_aggressive,[]
public_aware_stack_blend_with_lgbm_source_20260622_target_select_public_balanced__tight_Q2_only_0,0.5931286990152641,0.5710757079909079,-0.002701052078110888,-0.022206498807426533,0.01645410125738011,0.5955534986654979,0.6199647228989582,0.007662068516856376,0.0008469592489772015,0.00010912091556270758,0.576732783262234,0.5965192842677732,0.5817453388174914,0.6199647228989582,0.5956200651066277,0.5710757079909079,,"[""Q2__target_weighted_single_model_lgbm_20260622_target_weighted_single_last_last0.586345_full0.593006__logit__a0p05__cap0p024__base""]"
public_aware_stack_blend_with_lgbm_source_20260622_target_select_public_balanced__balanced_Q2_only_0,0.5931286990152641,0.5710757079909079,-0.002701052078110888,-0.022206498807426533,0.01645410125738011,0.5955534986654979,0.6199647228989582,0.007662068516856376,0.0008469592489772015,0.00010912091556270758,0.576732783262234,0.5965192842677732,0.5817453388174914,0.6199647228989582,0.5956200651066277,0.5710757079909079,,"[""Q2__target_weighted_single_model_lgbm_20260622_target_weighted_single_last_last0.586345_full0.593006__logit__a0p05__cap0p024__base""]"
public_aware_stack_blend_with_lgbm_source_20260622_target_select_public_balanced__q2_force_Q2_only_0,0.5931286990152641,0.5710757079909079,-0.002701052078110888,-0.022206498807426533,0.01645410125738011,0.5955534986654979,0.6199647228989582,0.007662068516856376,0.0008469592489772015,0.00010912091556270758,0.576732783262234,0.5965192842677732,0.5817453388174914,0.6199647228989582,0.5956200651066277,0.5710757079909079,,"[""Q2__target_weighted_single_model_lgbm_20260622_target_weighted_single_last_last0.586345_full0.593006__logit__a0p05__cap0p024__base""]"
public_aware_stack_blend_with_lgbm_source_20260622_target_select_public_aggressive__tight_Q2_only_0,0.5931286990152641,0.5710757079909079,-0.002701052078110888,-0.022206498807426533,0.01645410125738011,0.5955534986654979,0.6199647228989582,0.007662068516856376,0.0008469592489772015,0.00010912091556270758,0.576732783262234,0.5965192842677732,0.5817453388174914,0.6199647228989582,0.5956200651066277,0.5710757079909079,,"[""Q2__target_weighted_single_model_lgbm_20260622_target_weighted_single_last_last0.586345_full0.593006__logit__a0p05__cap0p024__base""]"
public_aware_stack_blend_with_lgbm_source_20260622_target_select_public_aggressive__balanced_Q2_only_0,0.5931286990152641,0.5710757079909079,-0.002701052078110888,-0.022206498807426533,0.01645410125738011,0.5955534986654979,0.6199647228989582,0.007662068516856376,0.0008469592489772015,0.00010912091556270758,0.576732783262234,0.5965192842677732,0.5817453388174914,0.6199647228989582,0.5956200651066277,0.5710757079909079,,"[""Q2__target_weighted_single_model_lgbm_20260622_target_weighted_single_last_last0.586345_full0.593006__logit__a0p05__cap0p024__base""]"
public_aware_stack_blend_with_lgbm_source_20260622_target_select_public_aggressive__q2_force_Q2_only_0,0.5931286990152641,0.5710757079909079,-0.002701052078110888,-0.022206498807426533,0.01645410125738011,0.5955534986654979,0.6199647228989582,0.007662068516856376,0.0008469592489772015,0.00010912091556270758,0.576732783262234,0.5965192842677732,0.5817453388174914,0.6199647228989582,0.5956200651066277,0.5710757079909079,,"[""Q2__target_weighted_single_model_lgbm_20260622_target_weighted_single_last_last0.586345_full0.593006__logit__a0p05__cap0p024__base""]"
public_aware_stack_blend_with_lgbm_source_20260622_target_select_public_balanced__tight_Q2_only_4,0.5931021873009995,0.5710888085682894,-0.002727563792375487,-0.02219339823004507,0.01640158057694336,0.5955062462255453,0.6198249521094107,0.007661702272230053,0.0008491437087476841,0.00010912392685629747,0.5767446009746763,0.5965096613846824,0.5817622960666924,0.6198249521094107,0.5956049779989357,0.5710888085682894,,"[""Q2__target_weighted_single_model_lgbm_20260622_target_weighted_single_last_last0.586345_full0.593006__prob__a0p05__cap0p024__base""]"
public_aware_stack_blend_with_lgbm_source_20260622_target_select_public_balanced__balanced_Q2_only_4,0.5931021873009995,0.5710888085682894,-0.002727563792375487,-0.02219339823004507,0.01640158057694336,0.5955062462255453,0.6198249521094107,0.007661702272230053,0.0008491437087476841,0.00010912392685629747,0.5767446009746763,0.5965096613846824,0.5817622960666924,0.6198249521094107,0.5956049779989357,0.5710888085682894,,"[""Q2__target_weighted_single_model_lgbm_20260622_target_weighted_single_last_last0.586345_full0.593006__prob__a0p05__cap0p024__base""]"
public_aware_stack_blend_with_lgbm_source_20260622_target_select_public_balanced__q2_force_Q2_only_4,0.5931021873009995,0.5710888085682894,-0.002727563792375487,-0.02219339823004507,0.01640158057694336,0.5955062462255453,0.6198249521094107,0.007661702272230053,0.0008491437087476841,0.00010912392685629747,0.5767446009746763,0.5965096613846824,0.5817622960666924,0.6198249521094107,0.5956049779989357,0.5710888085682894,,"[""Q2__target_weighted_single_model_lgbm_20260622_target_weighted_single_last_last0.586345_full0.593006__prob__a0p05__cap0p024__base""]"
