target,source,mode,alpha,full_logloss,last_logloss,full_delta_vs_base,last_delta_vs_base,fold_std,tail3_worst,fp_rate,fn_rate,pred_pos_rate,true_pos_rate,test_pos_rate,base_test_pos_rate,test_pos_delta,test_mean_delta,test_abs_delta_mean,fp_pressure,test_pos_inflation,full_regret,tail_regret,public_tail_score,private_full_score,balanced_score,fp_suppress_score,fold0_logloss,fold1_logloss,fold2_logloss,fold3_logloss,fold4_logloss
Q1,base,prob,0.0,0.5845562623298485,0.603239911067091,0.0,0.0,0.03128107648161224,0.603239911067091,0.13555555555555557,0.1688888888888889,0.4622222222222222,0.4955555555555556,0.516,0.516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.603239911067091,0.5845562623298485,0.9163382134167486,0.7353662400966212,0.5323076641878073,0.6268605949918304,0.5844767451271372,0.5794223054334365,0.603239911067091
Q1,raw_full,logit,0.1,0.5848175243596665,0.6044946584304931,0.00026126202981802127,0.0012547473634021422,0.030975375373142683,0.6044946584304931,0.13555555555555557,0.16666666666666666,0.46444444444444444,0.4955555555555556,0.52,0.516,0.0040000000000000036,0.00046446185368781976,0.0009165770189642702,0.0,0.0040000000000000036,0.0,0.0012547473634021422,0.6059653624667102,0.5852465408265242,0.918075530590256,0.7365824349331432,0.5333142541918939,0.6262635511922902,0.5852679581616456,0.5783233227506024,0.6044946584304931
Q1,raw_full,logit,0.2,0.5851440884829077,0.6058074681215434,0.00058782615305919,0.0025675570544524406,0.030748964944761325,0.6058074681215434,0.13555555555555557,0.1688888888888889,0.4622222222222222,0.4955555555555556,0.52,0.516,0.0040000000000000036,0.0009287004103502817,0.0018346141874811832,0.0,0.0040000000000000036,8.782615305918994e-05,0.0025675570544524406,0.6076367604943378,0.5860207451659569,0.9194725233654667,0.7372785131517302,0.534331245242377,0.6258646571117673,0.5860838848374734,0.5772601216053068,0.6058074681215434
Q1,raw_full,logit,0.3,0.5855385006008669,0.6071793319874812,0.0009822382710183986,0.003939420920390235,0.030604247952708306,0.6071793319874812,0.13555555555555557,0.1688888888888889,0.4622222222222222,0.4955555555555556,0.524,0.516,0.008000000000000007,0.001392439066106552,0.002753812213793728,0.0,0.008000000000000007,0.00048223827101839855,0.003939420920390235,0.6108521026686977,0.5868817296618055,0.9215690295057437,0.7386572551473579,0.5353585163602629,0.6256750103072449,0.5869247190294566,0.5762332064250301,0.6071793319874812
Q1,raw_full,logit,0.35,0.5857619876747364,0.6078877041500022,0.0012057253448879424,0.004647793082911189,0.030563257172492492,0.6078877041500022,0.13555555555555557,0.1688888888888889,0.4622222222222222,0.4955555555555556,0.528,0.516,0.01200000000000001,0.0016240350583784395,0.0032137533561263994,0.0,0.01200000000000001,0.0007057253448879424,0.004647793082911189,0.6131092637248894,0.5873456940619519,0.9229096126458982,0.7396785326132627,0.5358759682717851,0.6256623488573779,0.5873545346451816,0.5757335145083984,0.6078877041500022
Q1,raw_full,logit,0.4,0.5860034570274592,0.6086111861975985,0.0014471946976106764,0.005371275130507502,0.030543557201090938,0.6086111861975985,0.13555555555555557,0.1688888888888889,0.4622222222222222,0.4955555555555556,0.528,0.516,0.01200000000000001,0.001855403314145693,0.003673873062159991,0.0,0.01200000000000001,0.0009471946976106764,0.005371275130507502,0.6142000012706186,0.5878324812610863,0.9238058149901331,0.740121577864656,0.5363959434269523,0.6257065130646234,0.5877906458280683,0.5752430844862586,0.6086111861975985
Q1,raw_full,logit,0.45,0.5862632602604628,0.6093498853415922,0.0017069979306143512,0.0061099742745012176,0.030545422508228167,0.6093498853415922,0.13777777777777778,0.1688888888888889,0.46444444444444444,0.4955555555555556,0.528,0.516,0.01200000000000001,0.0020865098916486736,0.004134134316393819,0.0,0.01200000000000001,0.0012069979306143512,0.0061099742745012176,0.6153247517087957,0.5883424760577951,0.9247381893879374,0.7405867676400987,0.5369184258699641,0.6258090734800977,0.5882330742377149,0.5747619800650391,0.6093498853415922
Q1,raw_full,logit,0.5,0.5865417499456046,0.6101039044784978,0.0019854876157561208,0.006863993411406866,0.030569117691651652,0.6101039044784978,0.13777777777777778,0.1688888888888889,0.46444444444444444,0.4955555555555556,0.532,0.516,0.016000000000000014,0.0023173210124852765,0.004594500213238039,0.0,0.016000000000000014,0.0014854876157561208,0.006863993411406866,0.6176839473635809,0.588876062843652,0.9261872867693688,0.7416744785748247,0.5374433994864632,0.6259716101985224,0.5886818409046332,0.5742902650105769,0.6101039044784978
Q1,raw_full,logit,0.55,0.5868392762723844,0.6108733419918619,0.0022830139425359386,0.007633430924770979,0.030614895466043807,0.6108733419918619,0.13777777777777778,0.1688888888888889,0.46444444444444444,0.4955555555555556,0.532,0.516,0.016000000000000014,0.0025478030688376374,0.005054933964051598,0.0,0.016000000000000014,0.0017830139425359386,0.007633430924770979,0.6188780132356245,0.5894336221872327,0.9271936514705934,0.7421850837987323,0.5379708480128401,0.6261956965076562,0.5891369662097795,0.5738280031141489,0.6108733419918619
Q1,raw_full,logit,0.6,0.5871561832453621,0.6116582915599919,0.0025999209155136427,0.00841838049290089,0.030682994388436902,0.6116582915599919,0.13777777777777778,0.1688888888888889,0.46444444444444444,0.4955555555555556,0.532,0.516,0.016000000000000014,0.0027779226304058303,0.005515398903899842,0.0,0.016000000000000014,0.0020999209155136427,0.00841838049290089,0.6201073633592403,0.5900155269702074,0.9282378159566016,0.7427189490860355,0.5385007550454705,0.6264828803098029,0.5895984698639731,0.5733752581568379,0.6116582915599919
