candidate,full_logloss,last_logloss,full_delta_vs_base,last_delta_vs_base,fold_std,tail3_mean,tail3_worst,fold0_logloss,fold1_logloss,fold2_logloss,fold3_logloss,fold4_logloss,Q1_fp_rate,Q1_fn_rate,Q1_pred_pos_rate,Q1_true_pos_rate,Q2_fp_rate,Q2_fn_rate,Q2_pred_pos_rate,Q2_true_pos_rate,Q3_fp_rate,Q3_fn_rate,Q3_pred_pos_rate,Q3_true_pos_rate,S1_fp_rate,S1_fn_rate,S1_pred_pos_rate,S1_true_pos_rate,S2_fp_rate,S2_fn_rate,S2_pred_pos_rate,S2_true_pos_rate,S3_fp_rate,S3_fn_rate,S3_pred_pos_rate,S3_true_pos_rate,S4_fp_rate,S4_fn_rate,S4_pred_pos_rate,S4_true_pos_rate
manual_public_tail,0.5889233130955462,0.5627756782545034,-0.003725093087719844,-0.007830846471242991,0.017876455754196253,0.5917414214173747,0.6170307741306829,0.5887363651749512,0.5798667532566064,0.6170307741306829,0.5954178118669382,0.5627756782545034,0.13555555555555557,0.1688888888888889,0.4622222222222222,0.4955555555555556,0.3377777777777778,0.11555555555555555,0.7844444444444445,0.5622222222222222,0.3244444444444444,0.05555555555555555,0.8688888888888889,0.6,0.2,0.042222222222222223,0.84,0.6822222222222222,0.14888888888888888,0.14222222222222222,0.6577777777777778,0.6511111111111111,0.21333333333333335,0.03111111111111111,0.8444444444444444,0.6622222222222223,0.24888888888888888,0.11555555555555555,0.6933333333333334,0.56
global_raw_last_logit_a0p50,0.5909155564315693,0.5659218354256623,-0.0017328497516967412,-0.004684689300084033,0.018365620367488397,0.5939525717636085,0.6213255435670829,0.5921481860342533,0.5798722887114532,0.6213255435670829,0.5946103362980802,0.5659218354256623,0.14666666666666667,0.16444444444444445,0.4777777777777778,0.4955555555555556,0.3288888888888889,0.1288888888888889,0.7622222222222222,0.5622222222222222,0.3333333333333333,0.06,0.8733333333333333,0.6,0.2,0.042222222222222223,0.84,0.6822222222222222,0.15333333333333332,0.1111111111111111,0.6933333333333334,0.6511111111111111,0.23555555555555555,0.022222222222222223,0.8755555555555555,0.6622222222222223,0.2511111111111111,0.11777777777777777,0.6933333333333334,0.56
base_public_best,0.5926484061832661,0.5706065247257464,0.0,0.0,0.016100610042656137,0.5948577683611617,0.6186088255126053,0.5960984049516392,0.581821199718232,0.6186088255126053,0.5953579548451333,0.5706065247257464,0.13555555555555557,0.1688888888888889,0.4622222222222222,0.4955555555555556,0.3377777777777778,0.11555555555555555,0.7844444444444445,0.5622222222222222,0.3511111111111111,0.051111111111111114,0.9,0.6,0.2,0.044444444444444446,0.8377777777777777,0.6822222222222222,0.19555555555555557,0.08666666666666667,0.76,0.6511111111111111,0.21333333333333335,0.03111111111111111,0.8444444444444444,0.6622222222222223,0.24222222222222223,0.11555555555555555,0.6866666666666666,0.56
selector_public_tail,0.588110644991321,0.5710456432421726,-0.0045377611919450445,0.0004391185164261957,0.014599864905504047,0.5912097257695023,0.6144659424751158,0.5875060718418104,0.579188241460734,0.6144659424751158,0.5881175915912183,0.5710456432421726,0.13555555555555557,0.1688888888888889,0.4622222222222222,0.4955555555555556,0.3377777777777778,0.11555555555555555,0.7844444444444445,0.5622222222222222,0.24222222222222223,0.15777777777777777,0.6844444444444444,0.6,0.15777777777777777,0.07111111111111111,0.7688888888888888,0.6822222222222222,0.14666666666666667,0.15555555555555556,0.6422222222222222,0.6511111111111111,0.21333333333333335,0.03111111111111111,0.8444444444444444,0.6622222222222223,0.20444444444444446,0.15333333333333332,0.6111111111111112,0.56
reference_public_tight,0.5919076571784555,0.5743426877515448,-0.0007407490048105814,0.003736163025798489,0.015204965038902975,0.5948246718352737,0.6187283753029168,0.5939205487881114,0.5807813124925575,0.6187283753029168,0.5914029524513592,0.5743426877515448,0.13555555555555557,0.1688888888888889,0.4622222222222222,0.4955555555555556,0.32222222222222224,0.13555555555555557,0.7488888888888889,0.5622222222222222,0.3488888888888889,0.051111111111111114,0.8977777777777778,0.6,0.2,0.044444444444444446,0.8377777777777777,0.6822222222222222,0.19777777777777777,0.08222222222222222,0.7666666666666667,0.6511111111111111,0.22,0.03111111111111111,0.8511111111111112,0.6622222222222223,0.24,0.11555555555555555,0.6844444444444444,0.56
global_raw_comp_logit_a0p65,0.5844430687901101,0.5762084205003728,-0.008205337393155987,0.005601895774626442,0.011759016708724711,0.5877684923273908,0.606541951256242,0.585511736637259,0.5735367466637712,0.606541951256242,0.5805551052255579,0.5762084205003728,0.14888888888888888,0.16,0.48444444444444446,0.4955555555555556,0.3333333333333333,0.13111111111111112,0.7644444444444445,0.5622222222222222,0.30444444444444446,0.08888888888888889,0.8155555555555556,0.6,0.15777777777777777,0.06666666666666667,0.7733333333333333,0.6822222222222222,0.18,0.09555555555555556,0.7355555555555555,0.6511111111111111,0.18666666666666668,0.07777777777777778,0.7711111111111111,0.6622222222222223,0.21555555555555556,0.14666666666666667,0.6288888888888889,0.56
global_raw_full_logit_a0p80,0.5835193267847931,0.5784222948798688,-0.009129079398472961,0.007815770154122492,0.008808761857723835,0.5863647821623061,0.5992142562735328,0.585455362236745,0.5731431719610589,0.5992142562735328,0.581457795333517,0.5784222948798688,0.13777777777777778,0.16666666666666666,0.4666666666666667,0.4955555555555556,0.36666666666666664,0.07333333333333333,0.8555555555555555,0.5622222222222222,0.31777777777777777,0.07111111111111111,0.8466666666666667,0.6,0.16,0.06666666666666667,0.7755555555555556,0.6822222222222222,0.19333333333333333,0.07333333333333333,0.7711111111111111,0.6511111111111111,0.2088888888888889,0.04888888888888889,0.8222222222222222,0.6622222222222223,0.22,0.13777777777777778,0.6422222222222222,0.56
selector_balanced,0.5858705057802743,0.5837908403463575,-0.0067779004029917544,0.013184315620611176,0.010032151257571315,0.5903193244239017,0.6050445704975618,0.5837284989917654,0.5752552020082575,0.6050445704975618,0.5821225624277858,0.5837908403463575,0.13555555555555557,0.1688888888888889,0.4622222222222222,0.4955555555555556,0.29777777777777775,0.19333333333333333,0.6666666666666666,0.5622222222222222,0.24222222222222223,0.15777777777777777,0.6844444444444444,0.6,0.14666666666666667,0.07555555555555556,0.7533333333333333,0.6822222222222222,0.14666666666666667,0.13777777777777778,0.66,0.6511111111111111,0.18666666666666668,0.08888888888888889,0.76,0.6622222222222223,0.20444444444444446,0.15333333333333332,0.6111111111111112,0.56
selector_fp_suppress,0.5865672201457757,0.5849115563078991,-0.006081186037490416,0.014305031582152794,0.01011608785618882,0.5912793635891428,0.6059701219232415,0.5836176395913711,0.5760405137164827,0.6059701219232415,0.5829564125362877,0.5849115563078991,0.13555555555555557,0.1688888888888889,0.4622222222222222,0.4955555555555556,0.29777777777777775,0.19333333333333333,0.6666666666666666,0.5622222222222222,0.24222222222222223,0.15777777777777777,0.6844444444444444,0.6,0.14666666666666667,0.07555555555555556,0.7533333333333333,0.6822222222222222,0.14666666666666667,0.15555555555555556,0.6422222222222222,0.6511111111111111,0.1688888888888889,0.10222222222222223,0.7288888888888889,0.6622222222222223,0.20444444444444446,0.15333333333333332,0.6111111111111112,0.56
selector_private_full,0.5863463950004278,0.584936499755549,-0.006302011182838241,0.0143299750298026,0.00995923452915493,0.5908418685074186,0.6053274353232566,0.5840700324809315,0.5757691853459541,0.6053274353232566,0.5822616704434502,0.584936499755549,0.13555555555555557,0.1688888888888889,0.4622222222222222,0.4955555555555556,0.29777777777777775,0.19333333333333333,0.6666666666666666,0.5622222222222222,0.24222222222222223,0.15777777777777777,0.6844444444444444,0.6,0.14666666666666667,0.07555555555555556,0.7533333333333333,0.6822222222222222,0.14666666666666667,0.13777777777777778,0.66,0.6511111111111111,0.1688888888888889,0.10222222222222223,0.7288888888888889,0.6622222222222223,0.20444444444444446,0.15333333333333332,0.6111111111111112,0.56
