candidate,weights,full_logloss,last_logloss
targetwise_guarded,targetwise,0.5922605409629572,0.5881754090045532
anchor0.7_lgbm0.3,"{""anchor"": 0.7, ""lgbm"": 0.30000000000000004}",0.5917408591657646,0.5912169711629708
anchor0.8_lgbm0.2,"{""anchor"": 0.8, ""lgbm"": 0.19999999999999996}",0.5925925408405669,0.5914376414440076
anchor0.6_lgbm0.4,"{""anchor"": 0.6, ""lgbm"": 0.4}",0.5913776605867673,0.591444772722505
anchor0.5_lgbm0.5,"{""anchor"": 0.5, ""lgbm"": 0.5}",0.5914962291550888,0.5921138279191877
anchor0.9_lgbm0.1,"{""anchor"": 0.9, ""lgbm"": 0.09999999999999998}",0.5939474098584266,0.5921196009293903
anchor0.9_xgb0.1,"{""anchor"": 0.9, ""xgb"": 0.09999999999999998}",0.5941895890343805,0.5931452413580475
anchor0.4_lgbm0.6,"{""anchor"": 0.4, ""lgbm"": 0.6}",0.5920971949606084,0.5932220211987168
anchor,"{""anchor"": 1.0}",0.595829751093375,0.5932822067983344
anchor0.9_cat0.1,"{""anchor"": 0.9, ""cat"": 0.09999999999999998}",0.5938792508992405,0.5933239145557062
anchor0.8_xgb0.2,"{""anchor"": 0.8, ""xgb"": 0.19999999999999996}",0.5930478789130925,0.5934075870241046
anchor0.8_cat0.2,"{""anchor"": 0.8, ""cat"": 0.19999999999999996}",0.5924153187605967,0.5937923139242743
anchor0.7_xgb0.3,"{""anchor"": 0.7, ""xgb"": 0.30000000000000004}",0.5923795127821287,0.5940508662168836
anchor0.7_cat0.3,"{""anchor"": 0.7, ""cat"": 0.30000000000000004}",0.5914150939435958,0.5946656866775283
anchor0.3_lgbm0.7,"{""anchor"": 0.3, ""lgbm"": 0.7}",0.5931886677317789,0.594772188136246
anchor0.6_xgb0.4,"{""anchor"": 0.6, ""xgb"": 0.4}",0.5921684242599357,0.5950624298895789
anchor0.6_cat0.4,"{""anchor"": 0.6, ""cat"": 0.4}",0.5908642109748634,0.5959289021059772
anchor0.5_xgb0.5,"{""anchor"": 0.5, ""xgb"": 0.5}",0.5924057863273265,0.5964342088807808
anchor0.2_lgbm0.8,"{""anchor"": 0.2, ""lgbm"": 0.8}",0.5947872544141901,0.5967722792996503
anchor0.5_cat0.5,"{""anchor"": 0.5, ""cat"": 0.5}",0.5907554009307788,0.5975720651621936
anchor0.4_xgb0.6,"{""anchor"": 0.4, ""xgb"": 0.6}",0.5930891220157376,0.598162050088305
anchor0.1_lgbm0.9,"{""anchor"": 0.1, ""lgbm"": 0.9}",0.5969204936037535,0.5992358663915164
anchor0.4_cat0.6,"{""anchor"": 0.4, ""cat"": 0.6}",0.5910879820134659,0.5995896833817455
anchor0.3_xgb0.7,"{""anchor"": 0.3, ""xgb"": 0.7}",0.594222039442409,0.600245373324114
anchor0.3_cat0.7,"{""anchor"": 0.3, ""cat"": 0.7}",0.5918681086160026,0.6019801810452516
lgbm0.9_cat0.1,"{""lgbm"": 0.9, ""cat"": 0.09999999999999998}",0.5983716882415405,0.6021788792529079
lgbm,"{""lgbm"": 1.0}",0.5996324029541423,0.6021830825085754
lgbm0.8_cat0.2,"{""lgbm"": 0.8, ""cat"": 0.19999999999999996}",0.5973488750420419,0.6023945661981321
lgbm0.9_xgb0.1,"{""lgbm"": 0.9, ""xgb"": 0.09999999999999998}",0.599385943620138,0.6024883209379409
anchor0.2_xgb0.8,"{""anchor"": 0.2, ""xgb"": 0.8}",0.5958145183764307,0.602687076140474
lgbm0.7_cat0.3,"{""lgbm"": 0.7, ""cat"": 0.30000000000000004}",0.5965539362852915,0.6028218662878285
lgbm0.8_xgb0.2,"{""lgbm"": 0.8, ""xgb"": 0.19999999999999996}",0.5992158122066701,0.6028764098458695
lgbm0.7_xgb0.3,"{""lgbm"": 0.7, ""xgb"": 0.30000000000000004}",0.5991202348474578,0.6033441195546494
lgbm0.6_cat0.4,"{""lgbm"": 0.6, ""cat"": 0.4}",0.5959801588909849,0.6034547465996022
lgbm0.6_xgb0.4,"{""lgbm"": 0.6, ""xgb"": 0.4}",0.599097804022513,0.6038887923848328
lgbm0.5_cat0.5,"{""lgbm"": 0.5, ""cat"": 0.5}",0.5956233651429471,0.6042889679445856
lgbm0.5_xgb0.5,"{""lgbm"": 0.5, ""xgb"": 0.5}",0.5991474281061612,0.6045082429555207
anchor0.2_cat0.8,"{""anchor"": 0.2, ""cat"": 0.8}",0.5931099660557262,0.6047456708358522
lgbm0.4_xgb0.6,"{""lgbm"": 0.4, ""xgb"": 0.6}",0.5992682953125931,0.6052006834975762
lgbm0.4_cat0.6,"{""lgbm"": 0.4, ""cat"": 0.6}",0.5954815347226171,0.6053217952481067
anchor0.1_xgb0.9,"{""anchor"": 0.1, ""xgb"": 0.9}",0.5978838455076799,0.6054936700144395
lgbm0.3_xgb0.7,"{""lgbm"": 0.3, ""xgb"": 0.7}",0.5994598483397675,0.6059646671866927
lgbm0.3_cat0.7,"{""lgbm"": 0.3, ""cat"": 0.7}",0.5955546736519329,0.6065518125382028
lgbm0.2_xgb0.8,"{""lgbm"": 0.2, ""xgb"": 0.8}",0.5997217673820504,0.6067990447865678
lgbm0.1_xgb0.9,"{""lgbm"": 0.1, ""xgb"": 0.9}",0.6000539600863383,0.6077029313621626
anchor0.1_cat0.9,"{""anchor"": 0.1, ""cat"": 0.9}",0.5948386726319629,0.607891942344143
xgb0.7_cat0.3,"{""xgb"": 0.7, ""cat"": 0.30000000000000004}",0.5973898439746365,0.6079697702209492
lgbm0.2_cat0.8,"{""lgbm"": 0.2, ""cat"": 0.8}",0.5958448845925037,0.6079788111225949
xgb0.6_cat0.4,"{""xgb"": 0.6, ""cat"": 0.4}",0.5967640279221944,0.6080278329735628
xgb0.8_cat0.2,"{""xgb"": 0.8, ""cat"": 0.19999999999999996}",0.5982111342596873,0.6080572130756742
xgb0.5_cat0.5,"{""xgb"": 0.5, ""cat"": 0.5}",0.5963315286847022,0.6082305205338266
xgb0.9_cat0.1,"{""xgb"": 0.9, ""cat"": 0.09999999999999998}",0.5992315782536123,0.6082917380506522
xgb0.4_cat0.6,"{""xgb"": 0.4, ""cat"": 0.6}",0.5960916311207701,0.6085776124379333
xgb,"{""xgb"": 1.0}",0.6004565576763011,0.608675680797183
xgb0.3_cat0.7,"{""xgb"": 0.3, ""cat"": 0.7}",0.5960450707113568,0.6090695365993085
lgbm0.1_cat0.9,"{""lgbm"": 0.1, ""cat"": 0.9}",0.5963566655294266,0.6096037333351835
xgb0.2_cat0.8,"{""xgb"": 0.2, ""cat"": 0.8}",0.5961941353084758,0.6097073788495668
xgb0.1_cat0.9,"{""xgb"": 0.1, ""cat"": 0.9}",0.5965428863179895,0.6104929142574197
cat,"{""cat"": 1.0}",0.5970975600301689,0.6114286626547936
