target,fold,model,param_profile,weight_profile,top_k,features,weight_min,weight_max,weight_std,delta_std_val
Q1,0,hist_gb,smooth,uniform,80,80,1.0,1.0,0.0,0.043414184070526766
Q1,1,hist_gb,smooth,uniform,80,80,1.0,1.0,0.0,0.07927163892032311
Q1,2,hist_gb,smooth,uniform,80,80,1.0,1.0,0.0,0.08834145660421482
Q1,3,hist_gb,smooth,uniform,80,80,1.0,1.0,0.0,0.11303540941204183
Q1,4,hist_gb,smooth,uniform,80,80,1.0,1.0,0.0,0.032307748542803695
Q1,0,hist_gb,smooth,subject_class,80,80,0.7803439410884278,1.381378822297987,0.18248271417243525,0.03587539949527486
Q1,1,hist_gb,smooth,subject_class,80,80,0.7682190851982007,1.4022334198570934,0.19051796440174487,0.054060773939216815
Q1,2,hist_gb,smooth,subject_class,80,80,0.8044444444444444,1.3407407407407406,0.1741295101959639,0.07830288284432585
Q1,3,hist_gb,smooth,subject_class,80,80,0.772075309860778,1.3967627532667717,0.18590042838559823,0.12431863647552596
Q1,4,hist_gb,smooth,subject_class,80,80,0.7614693779023995,1.4101022679023945,0.18884372884815226,0.12411903854193132
Q1,0,hist_gb,smooth,recent_class,80,80,0.4095449895186069,2.3105241127612466,0.4016963569407968,0.028478948972395987
Q1,1,hist_gb,smooth,recent_class,80,80,0.30125428729861015,2.464651984031339,0.4786016867663399,0.05271292457618078
Q1,2,hist_gb,smooth,recent_class,80,80,0.3360141706095371,2.5101142517700215,0.5235912657430967,0.08343757173161377
Q1,3,hist_gb,smooth,recent_class,80,80,0.36034721446352846,2.8599931089311905,0.5491656072572014,0.09788345324517791
Q1,4,hist_gb,smooth,recent_class,80,80,0.38940514838796436,2.413617042531497,0.4181697105114215,0.13355809479764597
Q1,0,hist_gb,smooth,recent_resid,80,80,0.20252040756744824,3.295445890188341,0.5933096697406969,0.05486264128282666
Q1,1,hist_gb,smooth,recent_resid,80,80,0.12853003809724428,3.498493446423684,0.6871302208823948,0.07892467571078718
Q1,2,hist_gb,smooth,recent_resid,80,80,0.14354961704544592,3.7542717752709645,0.7595402688126621,0.1312647248788371
