candidate,full_logloss,last_logloss,fold_std,tail3_worst,test_abs_delta_mean_vs_anchor,fold0_logloss,fold1_logloss,fold2_logloss,fold3_logloss,fold4_logloss,Q1_last_logloss,Q2_last_logloss,Q3_last_logloss,S1_last_logloss,S2_last_logloss,S3_last_logloss,S4_last_logloss,recipe_Q1,recipe_S2,recipe_S4,recipe_alpha
q1_s2down_s4up,0.5935098503573509,0.5847787352024095,0.014803021056375515,0.6221954652602477,0.006614920731023316,0.5904038706991594,0.5801704821707023,0.6221954652602477,0.5905072267224976,0.5847787352024095,0.606532805999241,0.6380843693004014,0.6346920082407534,0.4495444660169762,0.5857345868532025,0.6006790249905736,0.5781838850157192,full,down,up,1.0
q1_s2down_s4full,0.5932837793178657,0.585600815844418,0.014773799957248803,0.6212872045019564,0.011672012927192587,0.5912544395298548,0.5778382451279832,0.6212872045019564,0.5909440141550462,0.585600815844418,0.606532805999241,0.6380843693004014,0.6346920082407534,0.4495444660169762,0.5857345868532025,0.6006790249905736,0.5839384495097777,full,down,full,1.0
q1_s2full_s4up,0.5934268617429345,0.5857436334614184,0.014863963496049827,0.6222430711220766,0.008200472698819202,0.5907974445642133,0.579584984490631,0.6222430711220766,0.5893241522979064,0.5857436334614184,0.606532805999241,0.6380843693004014,0.6346920082407534,0.4495444660169762,0.5924888746662645,0.6006790249905736,0.5781838850157192,full,full,up,1.0
q1_s2down75_s4up75,0.5938229791291771,0.5861989026038356,0.014546319681854374,0.6220870829641011,0.005597623621918371,0.5904383021252164,0.5804576807085032,0.6220870829641011,0.5905108015339934,0.5861989026038356,0.606532805999241,0.6380843693004014,0.6346920082407534,0.4495444660169762,0.5932345845208684,0.6006790249905736,0.5806250591580348,full,down_damped,up_damped,0.75
q1_s2down_only,0.5944488735975347,0.5862745208631627,0.014441779445440929,0.6226043066962007,0.005469865872052533,0.5915362989923085,0.581821524106641,0.6226043066962007,0.5905249753657419,0.5862745208631627,0.606532805999241,0.6380843693004014,0.6346920082407534,0.4495444660169762,0.5857345868532025,0.6006790249905736,0.5886543846409902,full,down,anchor,1.0
s2down_s4up_noq1,0.5938608476197063,0.5864891731315485,0.01463616618742405,0.6223397382574352,0.004069188436419778,0.5916022661623862,0.5806335993076207,0.6223397382574352,0.5887915596001291,0.5864891731315485,0.6185058715032128,0.6380843693004014,0.6346920082407534,0.4495444660169762,0.5857345868532025,0.6006790249905736,0.5781838850157192,anchor,down,up,1.0
q1_s2down50_s4up50,0.5942463587255078,0.5877806378296395,0.01429928330747542,0.6220642507228973,0.004580326512813427,0.5906155456888621,0.5808170297269442,0.6220642507228973,0.590604687931323,0.5877806378296395,0.606532805999241,0.6380843693004014,0.6346920082407534,0.4495444660169762,0.6017554170908465,0.6006790249905736,0.5831763731686845,full,down_damped,up_damped,0.5
s2down_only_noq1,0.5947998708598901,0.5879849587923014,0.014312880655138022,0.6227485796933881,0.002924133577448994,0.5927346944555352,0.5822846412435593,0.6227485796933881,0.5888093082433734,0.5879849587923014,0.6185058715032128,0.6380843693004014,0.6346920082407534,0.4495444660169762,0.5857345868532025,0.6006790249905736,0.5886543846409902,anchor,down,anchor,1.0
q1_s2down25_s4up25,0.5947916485077128,0.589555601665794,0.014061767688786246,0.6221272387263771,0.003563029403708482,0.5909498707875052,0.5812471266019262,0.6221272387263771,0.590803213553504,0.589555601665794,0.606532805999241,0.6380843693004014,0.6346920082407534,0.4495444660169762,0.6115080268794338,0.6006790249905736,0.5858485102331781,full,down_damped,up_damped,0.25
q1_s4up_only,0.5945397305908359,0.5900759832084426,0.014175087471065556,0.6218683900123911,0.0036907871535743217,0.590334544774586,0.5800970045919984,0.6218683900123911,0.5911142055012151,0.5900759832084426,0.606532805999241,0.6380843693004014,0.6346920082407534,0.4495444660169762,0.6228153228954334,0.6006790249905736,0.5781838850157192,full,anchor,up,1.0
q1_only,0.5954787538310197,0.5915717688691956,0.013833405965326733,0.6222772314483442,0.002545732294603538,0.5914669730677351,0.5817480465279372,0.6222772314483442,0.5911319541444593,0.5915717688691956,0.606532805999241,0.6380843693004014,0.6346920082407534,0.4495444660169762,0.6228153228954334,0.6006790249905736,0.5886543846409902,full,anchor,anchor,1.0
