candidate,full_logloss,fold0_logloss,fold1_logloss,fold2_logloss,fold3_logloss,fold4_logloss,last_logloss,tail3_mean,tail3_worst,fold_std,notes,full_delta_vs_anchor,last_delta_vs_anchor,rank_score
feature_knn_anchblend,0.5965308603808165,0.5941313438946378,0.583144850913882,0.6199107664447677,0.5945229072851055,0.5914881889191689,0.5914881889191689,0.6019739542163474,0.6199107664447677,0.012336646330829046,target-wise guarded anchor blend,0.0007011092874414926,-0.0017940178791655548,0.5988177371302783
logreg_enet_anchblend,0.5959473500468793,0.5941730303824517,0.580762446619838,0.6215886176838118,0.5918085863689415,0.5920718503130395,0.5920718503130395,0.601823018121931,0.6215886176838118,0.013588699606873752,target-wise guarded anchor blend,0.00011759895350427207,-0.0012103564852948834,0.5991662085899543
subblend_logit_feature_knn_anchblend_50_50knn,0.5962619801322394,0.59368830041948,0.5826127928205936,0.6214436376499943,0.5923612998519779,0.5918567055676895,0.5918567055676895,0.6018872143565539,0.6214436376499943,0.013126892462687844,submission-level logit blend with KNN guarded,0.0004322290388644179,-0.0014255012306448878,0.5993497972786904
subblend_arith_feature_knn_anchblend_50_50knn,0.5962600831950178,0.5936973421201566,0.5826189082484463,0.6214348020797147,0.5923259333206896,0.5918770208298447,0.5918770208298447,0.6018792520767496,0.6214348020797147,0.013122645323662783,submission-level arith blend with KNN guarded,0.000430332101642783,-0.0014051859684897083,0.5993669614833467
extra_trees_anchblend,0.5955058082649696,0.592169452078951,0.5814953953059788,0.6200299360994821,0.5915674197519175,0.593060767349564,0.593060767349564,0.6015527077336545,0.6200299360994821,0.012885797253941183,target-wise guarded anchor blend,-0.0003239428284054213,-0.00022143944877039967,0.5995277972776036
subblend_logit_logreg_enet_anchblend_50_50knn,0.5960002276526691,0.5937325310101267,0.5814265591446238,0.6223007994438499,0.5910538902058793,0.5922037735974645,0.5922037735974645,0.6018528210823978,0.6223007994438499,0.013769756757391718,submission-level logit blend with KNN guarded,0.00017047655929414152,-0.001078433200869977,0.5996162808629139
subblend_arith_logreg_enet_anchblend_50_50knn,0.5960037308805697,0.5937453833991108,0.5814262312417491,0.6222733421109611,0.5910716862885774,0.5922176808507819,0.5922176808507819,0.6018542364167735,0.6222733421109611,0.013756837611783335,submission-level arith blend with KNN guarded,0.0001739797871946891,-0.0010645259475525748,0.5996253375245395
subblend_logit_extra_trees_anchblend_50_50knn,0.5958485561722068,0.5927937064461896,0.5818944491168633,0.6215774076876418,0.5909930919718998,0.5927631770531189,0.5927631770531189,0.6017778922375535,0.6215774076876418,0.01340892779868295,submission-level logit blend with KNN guarded,1.880507883178506e-05,-0.0005190297452155601,0.5997212150788975
subblend_logit_feature_knn_anchblend_35_65knn,0.5962671891101918,0.5936386590604421,0.5825446667779888,0.6219802093490897,0.5917940589860416,0.5920644708423257,0.5920644708423257,0.6019462463924857,0.6219802093490897,0.013371266066822731,submission-level logit blend with KNN guarded,0.0004374380168168379,-0.0012177359560087142,0.5997325149023623
subblend_arith_extra_trees_anchblend_50_50knn,0.5958585793964681,0.5928146144007977,0.5819022453269936,0.6215873069810504,0.5910048104868812,0.5927617325522326,0.5927617325522326,0.6017846166733881,0.6215873069810504,0.01340925755692638,submission-level arith blend with KNN guarded,2.8828303093142438e-05,-0.0005204742461017986,0.5997359166145542
subblend_arith_feature_knn_anchblend_35_65knn,0.5962657237319803,0.5936479307245488,0.5825493196301703,0.621971861101904,0.5917640580611704,0.59208213074917,0.59208213074917,0.6019393499707482,0.621971861101904,0.013367656622811417,submission-level arith blend with KNN guarded,0.00043597263860528646,-0.0012000760491643891,0.5997474686029824
subblend_logit_logreg_enet_anchblend_35_65knn,0.5960903675445868,0.5936746632602896,0.5817155205190706,0.6225842416058329,0.5908896559711205,0.5923186830990098,0.5923186830990098,0.601930860225321,0.6225842416058329,0.013824350766810736,submission-level logit blend with KNN guarded,0.00026061645121178145,-0.0009635236993246199,0.5999382912590067
subblend_arith_logreg_enet_anchblend_35_65knn,0.5960933479387789,0.5936868705922755,0.5817134210698878,0.6225586782192346,0.590906247941305,0.5923317682690951,0.5923317682690951,0.6019322314765448,0.6225586782192346,0.013812573785231623,submission-level arith blend with KNN guarded,0.0002635968454038906,-0.0009504385292393724,0.5999464198971423
subblend_logit_extra_trees_anchblend_35_65knn,0.5959988213457452,0.5930314054816698,0.5820640249218654,0.6220898506811395,0.5908596294702678,0.5927238432376741,0.5927238432376741,0.6018911077963605,0.6220898506811395,0.013570133965384031,submission-level logit blend with KNN guarded,0.0001690702523702292,-0.0005583635606603021,0.6000470086259021
subblend_arith_extra_trees_anchblend_35_65knn,0.5960074989695299,0.5930488083633841,0.5820705537989518,0.6220983985811109,0.5908704336545801,0.5927229271571497,0.5927229271571497,0.6018972531309469,0.6220983985811109,0.013570449408301979,submission-level arith blend with KNN guarded,0.00017774787615487675,-0.00055927964118474,0.6000599498789394
subblend_logit_feature_knn_anchblend_20_80knn,0.5963120876014407,0.5936276832409652,0.5825184424937195,0.6225523895246899,0.591264700781324,0.5923168611359403,0.5923168611359403,0.6020446504806514,0.6225523895246899,0.013618799427756205,submission-level logit blend with KNN guarded,0.00048233650806572825,-0.0009653456623941459,0.6002180745634523
subblend_arith_feature_knn_anchblend_20_80knn,0.5963111830358919,0.5936349009833221,0.5825209983368148,0.622546256473513,0.5912450653531798,0.5923286400856133,0.5923286400856133,0.602039987304102,0.622546256473513,0.013616411349537014,submission-level arith blend with KNN guarded,0.00048143194251693,-0.0009535667127211767,0.6002279822086826
subblend_logit_logreg_enet_anchblend_20_80knn,0.5962147376138924,0.5936511747931029,0.5820453918773856,0.6228998991076399,0.590754153598156,0.5924684771901202,0.5924684771901202,0.6020408432986386,0.6228998991076399,0.013879347067310888,submission-level logit blend with KNN guarded,0.00038498652051743854,-0.000813729608214242,0.6003466265040468
subblend_arith_logreg_enet_anchblend_20_80knn,0.596216636737629,0.5936600871226362,0.5820425474674361,0.6228814544030826,0.5907660780100545,0.5924779452865849,0.5924779452865849,0.6020418258999073,0.6228814544030826,0.01387103942889459,submission-level arith blend with KNN guarded,0.0003868856442540425,-0.0008042615117495044,0.6003521437290773
