target,fold,model,param_profile,weight_profile,top_k,features,feature_bank,te_source_count,te_generated_features,stop_policy,stop_iteration,weight_min,weight_max,weight_std,delta_std_val
Q1,0,ridge,ridge0p3,uniform,40,40,bins_te,12,48,closed_form_no_early_stopping,,0.4158661971535842,1.187354292467242,0.18335694434297217,1.7240958472801973
Q1,1,ridge,ridge0p3,uniform,40,40,bins_te,12,48,closed_form_no_early_stopping,,0.24794201030751714,1.2397080311417166,0.24066324846605822,1.168522355321896
Q1,2,ridge,ridge0p3,uniform,40,40,bins_te,12,48,closed_form_no_early_stopping,,0.2423249647472011,1.2116228491115475,0.22688125443272425,0.9610620535008944
Q1,3,ridge,ridge0p3,uniform,40,40,bins_te,12,48,closed_form_no_early_stopping,,0.24590782552499674,1.2295371238050008,0.2416877643777565,1.1462566168272865
Q1,4,ridge,ridge0p3,uniform,40,40,bins_te,12,48,closed_form_no_early_stopping,,0.24745754180651633,1.237273658577127,0.24173732928984853,1.279875872577264
Q1,0,ridge,ridge0p3,subject_class,40,40,bins_te,12,48,closed_form_no_early_stopping,,0.3407621538226596,1.6463104385008778,0.24745371080653836,1.7153281311836612
Q1,1,ridge,ridge0p3,subject_class,40,40,bins_te,12,48,closed_form_no_early_stopping,,0.19309125121347057,1.744687266779404,0.30401074197392125,1.1789101337623087
Q1,2,ridge,ridge0p3,subject_class,40,40,bins_te,12,48,closed_form_no_early_stopping,,0.1913400701957719,1.6286403471532387,0.2858393213191443,0.9914129519038921
Q1,3,ridge,ridge0p3,subject_class,40,40,bins_te,12,48,closed_form_no_early_stopping,,0.1862277739249605,1.7204113029512624,0.30856695972362386,1.1382112056728066
Q1,4,ridge,ridge0p3,subject_class,40,40,bins_te,12,48,closed_form_no_early_stopping,,0.20154571876907634,1.7530746053989021,0.2984680083868128,1.2773122649827087
Q1,0,ridge,ridge0p3,recent_class,40,40,bins_te,12,48,closed_form_no_early_stopping,,0.23754708285294895,2.6308463820194636,0.45208164287950825,1.580968268609671
Q1,1,ridge,ridge0p3,recent_class,40,40,bins_te,12,48,closed_form_no_early_stopping,,0.09136777819054104,2.7763430084733804,0.5575174349136569,1.1772262476559332
Q1,2,ridge,ridge0p3,recent_class,40,40,bins_te,12,48,closed_form_no_early_stopping,,0.0969629735972614,2.863525043919801,0.5850019069312808,1.0373134962421406
Q1,3,ridge,ridge0p3,recent_class,40,40,bins_te,12,48,closed_form_no_early_stopping,,0.10314844724447067,3.3065263356758634,0.6316127585774874,1.1613703905306643
Q1,4,ridge,ridge0p3,recent_class,40,40,bins_te,12,48,closed_form_no_early_stopping,,0.12637307318994426,2.555892593391308,0.4753093223667575,1.2677438078669436
Q1,0,ridge,ridge0p3,recent_resid,40,40,bins_te,12,48,closed_form_no_early_stopping,,0.11537013885141716,3.279968059085695,0.6455041997119567,1.6597359107666916
Q1,1,ridge,ridge0p3,recent_resid,40,40,bins_te,12,48,closed_form_no_early_stopping,,0.04122050857146306,3.499056242262317,0.7551299891546026,1.2300616293501903
Q1,2,ridge,ridge0p3,recent_resid,40,40,bins_te,12,48,closed_form_no_early_stopping,,0.043692238352012774,3.636293216836171,0.8095968458768474,1.2240205132633086
Q1,3,ridge,ridge0p3,recent_resid,40,40,bins_te,12,48,closed_form_no_early_stopping,,0.0499929725843492,4.315046198958547,0.9071980606289488,1.2147915851421238
Q1,4,ridge,ridge0p3,recent_resid,40,40,bins_te,12,48,closed_form_no_early_stopping,,0.06365964941114013,3.4043686016690367,0.6666927376918634,1.3407509389984742
Q1,0,ridge,ridge1,uniform,40,40,bins_te,12,48,closed_form_no_early_stopping,,0.4158661971535842,1.187354292467242,0.18335694434297217,1.6838174444930267
Q1,1,ridge,ridge1,uniform,40,40,bins_te,12,48,closed_form_no_early_stopping,,0.24794201030751714,1.2397080311417166,0.24066324846605822,1.0840704277188158
Q1,2,ridge,ridge1,uniform,40,40,bins_te,12,48,closed_form_no_early_stopping,,0.2423249647472011,1.2116228491115475,0.22688125443272425,0.9447792430709925
Q1,3,ridge,ridge1,uniform,40,40,bins_te,12,48,closed_form_no_early_stopping,,0.24590782552499674,1.2295371238050008,0.2416877643777565,1.0437843478031572
Q1,4,ridge,ridge1,uniform,40,40,bins_te,12,48,closed_form_no_early_stopping,,0.24745754180651633,1.237273658577127,0.24173732928984853,1.2249749374443717
