target,recipe,src,weight,full,last
S1,CHOSEN_LASTBEST,last2_sm2,0.1,0.49368747678282515,0.44832463229564284
S1,CHOSEN_GUARDED,last2_sm2,0.1,0.49368747678282515,0.44832463229564284
S2,last30_sm4,last30_sm4,1.0,0.5944047940121744,0.6131539622998848
S2,0.00*model+1.00*last30_sm4,last30_sm4,1.0,0.5944047940121744,0.6131539622998848
S2,0.05*model+0.95*last30_sm4,last30_sm4,0.95,0.5906638324379507,0.6136823301876427
S2,0.10*model+0.90*last30_sm4,last30_sm4,0.9,0.5872329077205858,0.6142913086415118
S2,0.15*model+0.85*last30_sm4,last30_sm4,0.85,0.5840840092024938,0.6149805343134458
S2,0.20*model+0.80*last30_sm4,last30_sm4,0.8,0.5811961625403689,0.6157497727386146
S2,0.25*model+0.75*last30_sm4,last30_sm4,0.75,0.5785531970507723,0.6165989163512373
S2,0.30*model+0.70*last30_sm4,last30_sm4,0.7,0.5761424127528607,0.6175279834827394
S2,0.35*model+0.65*last30_sm4,last30_sm4,0.65,0.5739537355598359,0.6185371183319948
S2,0.40*model+0.60*last30_sm4,last30_sm4,0.6,0.5719791578129492,0.6196265919158551
S2,0.45*model+0.55*last30_sm4,last30_sm4,0.55,0.570212356085362,0.6207968040272044
S2,0.50*model+0.50*last30_sm4,last30_sm4,0.5,0.5686484250553367,0.6220482862480643
S2,BASELINE_CURRENT,baseline,,0.5601204056897082,0.6228153228954334
S2,CHOSEN_LASTBEST,last30_sm4,1.0,0.5944047940121744,0.6131539622998848
S2,CHOSEN_GUARDED,last30_sm4,1.0,0.5944047940121744,0.6131539622998848
S3,mean_sm16,mean_sm16,1.0,0.5415513745216881,0.6006790249905736
S3,0.00*model+1.00*mean_sm16,mean_sm16,1.0,0.5415513745216881,0.6006790249905736
S3,0.05*model+0.95*mean_sm16,mean_sm16,0.95,0.541223112479285,0.601170288886758
S3,0.10*model+0.90*mean_sm16,mean_sm16,0.9,0.5409735711919379,0.6017263425070003
S3,0.15*model+0.85*mean_sm16,mean_sm16,0.85,0.5408027944122294,0.6023459699586451
S3,mean_sm32,mean_sm32,1.0,0.5560694664531781,0.6025200253068658
S3,0.00*model+1.00*mean_sm32,mean_sm32,1.0,0.5560694664531781,0.6025200253068658
S3,0.20*model+0.80*last30_sm4,last30_sm4,0.8,0.5548314262975182,0.602662572901691
S3,0.25*model+0.75*last30_sm4,last30_sm4,0.75,0.5533121669644193,0.6026888904936132
S3,0.15*model+0.85*last30_sm4,last30_sm4,0.85,0.5565315944200907,0.6028177957250724
S3,0.30*model+0.70*last30_sm4,last30_sm4,0.7,0.5519696523621606,0.6028898445365025
S3,0.20*model+0.80*mean_sm16,mean_sm16,0.8,0.5407110163205369,0.6030281112208085
S3,BASELINE_CURRENT,baseline,,0.5415513745216881,0.6006790249905736
S3,CHOSEN_LASTBEST,mean_sm16,1.0,0.5415513745216881,0.6006790249905736
S3,CHOSEN_GUARDED,baseline,,0.5415513745216881,0.6006790249905736
S4,0.55*model+0.45*ridge0.5,ridge0.5,0.45,0.6311513639544419,0.5881704416757544
S4,0.60*model+0.40*ridge0.5,ridge0.5,0.4,0.6317364587375275,0.5882027593408691
S4,0.50*model+0.50*ridge0.5,ridge0.5,0.5,0.6307189034818743,0.5882938966780368
S4,0.65*model+0.35*ridge0.5,ridge0.5,0.35,0.6324726548014498,0.5883908570280286
S4,0.55*model+0.45*ridge1,ridge1,0.45,0.6312293489959647,0.5885001677192748
S4,0.60*model+0.40*ridge1,ridge1,0.4,0.6318108067907621,0.5885003997353832
S4,0.45*model+0.55*ridge0.5,ridge0.5,0.55,0.6304412948368411,0.5885736042518674
S4,0.50*model+0.50*ridge1,ridge1,0.5,0.630799037604625,0.5886543846409902
S4,0.65*model+0.35*ridge1,ridge1,0.35,0.6325419722557833,0.5886551617427423
S4,0.70*model+0.30*last2_sm2,last2_sm2,0.3,0.6356946219265539,0.5887213413582821
S4,0.75*model+0.25*last2_sm2,last2_sm2,0.25,0.6360345293017475,0.5887263229643228
S4,0.70*model+0.30*ridge0.5,ridge0.5,0.3,0.6333590550164155,0.5887352345627967
S4,BASELINE_CURRENT,baseline,,0.630799037604625,0.5886543846409902
S4,CHOSEN_LASTBEST,ridge0.5,0.45,0.6311513639544419,0.5881704416757544
S4,CHOSEN_GUARDED,ridge0.5,0.45,0.6311513639544419,0.5881704416757544
