candidate,full_logloss,fold0_logloss,fold1_logloss,fold2_logloss,fold3_logloss,fold4_logloss,last_logloss,tail3_mean,tail3_worst,fold_std,notes,full_delta_vs_anchor,last_delta_vs_anchor,rank_score
ridge_residual_last,0.5962990874889843,0.5966532532955738,0.5784008396132314,0.6256947655146279,0.6000060006303293,0.5806631585824954,0.5806631585824954,0.6021213082424842,0.6256947655146279,0.016987059051340535,ridge residual correction selected by last,0.00046933639560930995,-0.012619048215839035,0.585776785973192
ridge_residual_composite,0.5945186429376494,0.5929046990728651,0.5784857297588791,0.6250710113916612,0.5949696201921795,0.5813736124942065,0.5813736124942065,0.6004714146926825,0.6250710113916612,0.01652932304042491,ridge residual correction selected by composite,-0.0013111081557255488,-0.01190859430412794,0.5862935318340022
ridge_residual_full,0.5878097385311384,0.5851998764392192,0.5706907511532827,0.6159485042257182,0.5783132784147335,0.5900889295851032,0.5900889295851032,0.5947835707418516,0.6159485042257182,0.015406195045816114,ridge residual correction selected by full,-0.008020012562236611,-0.0031932772132312603,0.5943219162818765
anchor,0.595829751093375,0.5926653685309619,0.5822111636648557,0.6224215044455317,0.5894162870220908,0.5932822067983344,0.5932822067983344,0.6017066660886523,0.6224215044455317,0.01378462437451174,temporal anchor,0.0,0.0,0.5974251744697103
