target,config_key,model,param_profile,weight_profile,top_k,shrink,full_logloss,last_logloss,full_delta_vs_anchor,last_delta_vs_anchor,rank_score,fold0_logloss,fold1_logloss,fold2_logloss,fold3_logloss,fold4_logloss
Q1,ridge|logit_newton|ridge3|subject_class|top40,ridge,ridge3,subject_class,40,0.35,0.5898889020581386,0.5984797793482458,-0.0005359818134891281,-0.02002609215496698,0.5990260908935917,0.5334081970299093,0.6319211600914815,0.5923280621961026,0.5964368233202003,0.5984797793482458
Q1,ridge|logit_newton|ridge1|subject_class|top40,ridge,ridge1,subject_class,40,0.35,0.5924000493434044,0.5969704227951598,0.0019751654717766742,-0.021535448708053018,0.5992268632379203,0.5395829271389194,0.6357189637419802,0.5930367080013217,0.5993351888363687,0.5969704227951598
Q1,ridge|logit_newton|ridge0p3|subject_class|top40,ridge,ridge0p3,subject_class,40,0.35,0.5956448852673136,0.5967872410367699,0.005220001395685903,-0.021718630466442845,0.6021794719460527,0.5464280749382922,0.6404174675013009,0.5941487825267671,0.6026322347038912,0.5967872410367699
Q1,ridge|logit_newton|ridge3|uniform|top40,ridge,ridge3,uniform,40,0.35,0.5909073650963261,0.6016030734602387,0.0004824812246984056,-0.01690279804297412,0.6027986045558499,0.5343010552551681,0.6304313891495953,0.5918206259460104,0.5996041901552025,0.6016030734602387
Q1,ridge|logit_newton|ridge10|subject_class|top40,ridge,ridge10,subject_class,40,0.35,0.5888262926119566,0.6022065203030251,-0.0015985912596711005,-0.01629935120018766,0.6033957698331947,0.5293637572150366,0.6296182713990809,0.5929344231969037,0.5936398744566042,0.6022065203030251
Q1,ridge|logit_newton|ridge1|uniform|top40,ridge,ridge1,uniform,40,0.35,0.5934757091363992,0.6001645751259641,0.0030508252647715173,-0.018341296377248684,0.6035859648143517,0.5412780094165872,0.6335930503477686,0.59250168633423,0.6025445423300849,0.6001645751259641
Q1,ridge|logit_newton|ridge10|uniform|top40,ridge,ridge10,uniform,40,0.35,0.5896763382695914,0.604949029723448,-0.000748545602036299,-0.013556841779764794,0.6063424660088907,0.5296355903862726,0.6285398384674296,0.5925015241490431,0.5964949910162122,0.604949029723448
Q1,ridge|logit_newton|ridge0p3|uniform|top40,ridge,ridge0p3,uniform,40,0.35,0.5968486359119414,0.6001017204616313,0.006423752040313646,-0.01840415104158144,0.6067161988729655,0.5491850499995685,0.6376880241649207,0.5938473357888793,0.6056316969532614,0.6001017204616313
Q1,ridge|logit_newton|ridge30|subject_class|top40,ridge,ridge30,subject_class,40,0.35,0.5897167728197893,0.6067789825013444,-0.0007081110518384337,-0.011726889001868357,0.6085782748026686,0.5298607131240416,0.62930333825563,0.5949260318975479,0.5916425485852798,0.6067789825013444
Q1,ridge|logit_newton|ridge30|uniform|top40,ridge,ridge30,uniform,40,0.35,0.5903466400499053,0.6090780810633045,-7.82438217223902e-05,-0.009427790439908268,0.6110423142061339,0.5297501756760805,0.6282462396655939,0.5944519600932018,0.5942407048909674,0.6090780810633045
