target,config_key,model,param_profile,weight_profile,top_k,shrink,full_logloss,last_logloss,full_delta_vs_anchor,last_delta_vs_anchor,rank_score,fold0_logloss,fold1_logloss,fold2_logloss,fold3_logloss,fold4_logloss
Q1,ridge|logit_newton|ridge3|subject_class|top40,ridge,ridge3,subject_class,40,0.35,0.5898889020581386,0.5984797793482458,-0.0005359818134891281,-0.02002609215496698,0.5990260908935917,0.5334081970299093,0.6319211600914815,0.5923280621961026,0.5964368233202003,0.5984797793482458
Q1,ridge|logit_newton|ridge1|subject_class|top40,ridge,ridge1,subject_class,40,0.35,0.5924000493434044,0.5969704227951598,0.0019751654717766742,-0.021535448708053018,0.5992268632379203,0.5395829271389194,0.6357189637419802,0.5930367080013217,0.5993351888363687,0.5969704227951598
Q1,ridge|logit_newton|ridge0p3|subject_class|top40,ridge,ridge0p3,subject_class,40,0.35,0.5956448852673136,0.5967872410367699,0.005220001395685903,-0.021718630466442845,0.6021794719460527,0.5464280749382922,0.6404174675013009,0.5941487825267671,0.6026322347038912,0.5967872410367699
Q1,ridge|logit_newton|ridge3|subject_class|top40,ridge,ridge3,subject_class,40,0.5,0.5938647965612148,0.5975560701239248,0.003439912689587099,-0.020949801379288036,0.6025754623157472,0.531236670509766,0.638132108424501,0.5939358046025848,0.611461935405805,0.5975560701239248
Q1,ridge|logit_newton|ridge3|uniform|top40,ridge,ridge3,uniform,40,0.35,0.5909073650963261,0.6016030734602387,0.0004824812246984056,-0.01690279804297412,0.6027986045558499,0.5343010552551681,0.6304313891495953,0.5918206259460104,0.5996041901552025,0.6016030734602387
Q1,ridge|logit_newton|ridge10|subject_class|top40,ridge,ridge10,subject_class,40,0.35,0.5888262926119566,0.6022065203030251,-0.0015985912596711005,-0.01629935120018766,0.6033957698331947,0.5293637572150366,0.6296182713990809,0.5929344231969037,0.5936398744566042,0.6022065203030251
Q1,ridge|logit_newton|ridge1|uniform|top40,ridge,ridge1,uniform,40,0.35,0.5934757091363992,0.6001645751259641,0.0030508252647715173,-0.018341296377248684,0.6035859648143517,0.5412780094165872,0.6335930503477686,0.59250168633423,0.6025445423300849,0.6001645751259641
Q1,ridge|logit_newton|ridge10|subject_class|top40,ridge,ridge10,subject_class,40,0.5,0.5918242901074703,0.6016640066263451,0.0013994062358425596,-0.016841864876867674,0.6040790427942606,0.5253188810439244,0.6342396452448485,0.5943538923231112,0.6072005059805979,0.6016640066263451
Q1,ridge|logit_newton|ridge0p3|subject_class|top40,ridge,ridge0p3,subject_class,40,0.2,0.5912171395559974,0.6020901041898529,0.0007922556843696915,-0.01641576731335992,0.6043897451671657,0.5437760230762491,0.6332873131516088,0.5928058104299476,0.5869810432657789,0.6020901041898529
Q1,ridge|logit_newton|ridge1|subject_class|top40,ridge,ridge1,subject_class,40,0.2,0.5895902469931686,0.6025959539263296,-0.000834636878459083,-0.015909917576883204,0.6044463821140011,0.540097086962268,0.6309437165890651,0.5922585154176221,0.5851769696199643,0.6025959539263296
