target,fold,model,param_profile,weight_profile,top_k,features,stop_policy,stop_iteration,weight_min,weight_max,weight_std,delta_std_val
Q1,0,ridge,ridge0p3,uniform,40,40,closed_form_no_early_stopping,,0.4158661971535842,1.187354292467242,0.18335694434297217,0.8737417087272342
Q1,1,ridge,ridge0p3,uniform,40,40,closed_form_no_early_stopping,,0.24794201030751714,1.2397080311417166,0.24066324846605822,0.9363066909558629
Q1,2,ridge,ridge0p3,uniform,40,40,closed_form_no_early_stopping,,0.2423249647472011,1.2116228491115475,0.22688125443272425,0.6115195428906389
Q1,3,ridge,ridge0p3,uniform,40,40,closed_form_no_early_stopping,,0.24590782552499674,1.2295371238050008,0.2416877643777565,0.7776519731986772
Q1,4,ridge,ridge0p3,uniform,40,40,closed_form_no_early_stopping,,0.24745754180651633,1.237273658577127,0.24173732928984853,1.0476323419021683
Q1,0,ridge,ridge0p3,subject_class,40,40,closed_form_no_early_stopping,,0.3407621538226596,1.6463104385008778,0.24745371080653836,0.7852345196754291
Q1,1,ridge,ridge0p3,subject_class,40,40,closed_form_no_early_stopping,,0.19309125121347057,1.744687266779404,0.30401074197392125,0.9583875115064678
Q1,2,ridge,ridge0p3,subject_class,40,40,closed_form_no_early_stopping,,0.1913400701957719,1.6286403471532387,0.2858393213191443,0.6142101998294789
Q1,3,ridge,ridge0p3,subject_class,40,40,closed_form_no_early_stopping,,0.1862277739249605,1.7204113029512624,0.30856695972362386,0.7250550437371895
Q1,4,ridge,ridge0p3,subject_class,40,40,closed_form_no_early_stopping,,0.20154571876907634,1.7530746053989021,0.2984680083868128,1.070938739778138
Q1,0,ridge,ridge0p3,recent_class,40,40,closed_form_no_early_stopping,,0.23754708285294895,2.6308463820194636,0.45208164287950825,0.6618913649027244
Q1,1,ridge,ridge0p3,recent_class,40,40,closed_form_no_early_stopping,,0.09136777819054104,2.7763430084733804,0.5575174349136569,1.0145621015421782
Q1,2,ridge,ridge0p3,recent_class,40,40,closed_form_no_early_stopping,,0.0969629735972614,2.863525043919801,0.5850019069312808,0.5766679481601208
Q1,3,ridge,ridge0p3,recent_class,40,40,closed_form_no_early_stopping,,0.10314844724447067,3.3065263356758634,0.6316127585774874,0.7421195473877235
Q1,4,ridge,ridge0p3,recent_class,40,40,closed_form_no_early_stopping,,0.12637307318994426,2.555892593391308,0.4753093223667575,1.0600670661518006
Q1,0,ridge,ridge0p3,recent_resid,40,40,closed_form_no_early_stopping,,0.11537013885141716,3.279968059085695,0.6455041997119567,0.9870473297732073
Q1,1,ridge,ridge0p3,recent_resid,40,40,closed_form_no_early_stopping,,0.04122050857146306,3.499056242262317,0.7551299891546026,1.166011685436919
Q1,2,ridge,ridge0p3,recent_resid,40,40,closed_form_no_early_stopping,,0.043692238352012774,3.636293216836171,0.8095968458768474,0.8091968249059415
Q1,3,ridge,ridge0p3,recent_resid,40,40,closed_form_no_early_stopping,,0.0499929725843492,4.315046198958547,0.9071980606289488,0.8007869574378029
Q1,4,ridge,ridge0p3,recent_resid,40,40,closed_form_no_early_stopping,,0.06365964941114013,3.4043686016690367,0.6666927376918634,1.1951225508851475
Q1,0,ridge,ridge1,uniform,40,40,closed_form_no_early_stopping,,0.4158661971535842,1.187354292467242,0.18335694434297217,0.7195272716970583
Q1,1,ridge,ridge1,uniform,40,40,closed_form_no_early_stopping,,0.24794201030751714,1.2397080311417166,0.24066324846605822,0.8937261876408409
Q1,2,ridge,ridge1,uniform,40,40,closed_form_no_early_stopping,,0.2423249647472011,1.2116228491115475,0.22688125443272425,0.5800886137563936
Q1,3,ridge,ridge1,uniform,40,40,closed_form_no_early_stopping,,0.24590782552499674,1.2295371238050008,0.2416877643777565,0.7586874660950551
Q1,4,ridge,ridge1,uniform,40,40,closed_form_no_early_stopping,,0.24745754180651633,1.237273658577127,0.24173732928984853,0.9907025388629812
Q1,0,ridge,ridge1,subject_class,40,40,closed_form_no_early_stopping,,0.3407621538226596,1.6463104385008778,0.24745371080653836,0.6733910498206793
Q1,1,ridge,ridge1,subject_class,40,40,closed_form_no_early_stopping,,0.19309125121347057,1.744687266779404,0.30401074197392125,0.9059961858322257
Q1,2,ridge,ridge1,subject_class,40,40,closed_form_no_early_stopping,,0.1913400701957719,1.6286403471532387,0.2858393213191443,0.5827433921353135
Q1,3,ridge,ridge1,subject_class,40,40,closed_form_no_early_stopping,,0.1862277739249605,1.7204113029512624,0.30856695972362386,0.7151602398272456
Q1,4,ridge,ridge1,subject_class,40,40,closed_form_no_early_stopping,,0.20154571876907634,1.7530746053989021,0.2984680083868128,1.0162604733118652
Q1,0,ridge,ridge1,recent_class,40,40,closed_form_no_early_stopping,,0.23754708285294895,2.6308463820194636,0.45208164287950825,0.6107237705789105
Q1,1,ridge,ridge1,recent_class,40,40,closed_form_no_early_stopping,,0.09136777819054104,2.7763430084733804,0.5575174349136569,0.9473604671380337
Q1,2,ridge,ridge1,recent_class,40,40,closed_form_no_early_stopping,,0.0969629735972614,2.863525043919801,0.5850019069312808,0.5318938139468395
Q1,3,ridge,ridge1,recent_class,40,40,closed_form_no_early_stopping,,0.10314844724447067,3.3065263356758634,0.6316127585774874,0.7099778035198836
Q1,4,ridge,ridge1,recent_class,40,40,closed_form_no_early_stopping,,0.12637307318994426,2.555892593391308,0.4753093223667575,0.9928372962822345
Q1,0,ridge,ridge1,recent_resid,40,40,closed_form_no_early_stopping,,0.11537013885141716,3.279968059085695,0.6455041997119567,0.8679023811474136
Q1,1,ridge,ridge1,recent_resid,40,40,closed_form_no_early_stopping,,0.04122050857146306,3.499056242262317,0.7551299891546026,1.0623588525083798
Q1,2,ridge,ridge1,recent_resid,40,40,closed_form_no_early_stopping,,0.043692238352012774,3.636293216836171,0.8095968458768474,0.7233154568903658
Q1,3,ridge,ridge1,recent_resid,40,40,closed_form_no_early_stopping,,0.0499929725843492,4.315046198958547,0.9071980606289488,0.7534594073554131
Q1,4,ridge,ridge1,recent_resid,40,40,closed_form_no_early_stopping,,0.06365964941114013,3.4043686016690367,0.6666927376918634,1.1012587488172372
Q1,0,ridge,ridge3,uniform,40,40,closed_form_no_early_stopping,,0.4158661971535842,1.187354292467242,0.18335694434297217,0.6038171257606384
Q1,1,ridge,ridge3,uniform,40,40,closed_form_no_early_stopping,,0.24794201030751714,1.2397080311417166,0.24066324846605822,0.8559239833366421
Q1,2,ridge,ridge3,uniform,40,40,closed_form_no_early_stopping,,0.2423249647472011,1.2116228491115475,0.22688125443272425,0.5287582941342891
Q1,3,ridge,ridge3,uniform,40,40,closed_form_no_early_stopping,,0.24590782552499674,1.2295371238050008,0.2416877643777565,0.7417469506311516
Q1,4,ridge,ridge3,uniform,40,40,closed_form_no_early_stopping,,0.24745754180651633,1.237273658577127,0.24173732928984853,0.9314440967178249
Q1,0,ridge,ridge3,subject_class,40,40,closed_form_no_early_stopping,,0.3407621538226596,1.6463104385008778,0.24745371080653836,0.5906624129318431
Q1,1,ridge,ridge3,subject_class,40,40,closed_form_no_early_stopping,,0.19309125121347057,1.744687266779404,0.30401074197392125,0.861923471457145
Q1,2,ridge,ridge3,subject_class,40,40,closed_form_no_early_stopping,,0.1913400701957719,1.6286403471532387,0.2858393213191443,0.5303333911718229
Q1,3,ridge,ridge3,subject_class,40,40,closed_form_no_early_stopping,,0.1862277739249605,1.7204113029512624,0.30856695972362386,0.6994441975930744
Q1,4,ridge,ridge3,subject_class,40,40,closed_form_no_early_stopping,,0.20154571876907634,1.7530746053989021,0.2984680083868128,0.9584851678186
Q1,0,ridge,ridge3,recent_class,40,40,closed_form_no_early_stopping,,0.23754708285294895,2.6308463820194636,0.45208164287950825,0.5487079771675211
Q1,1,ridge,ridge3,recent_class,40,40,closed_form_no_early_stopping,,0.09136777819054104,2.7763430084733804,0.5575174349136569,0.8769452233565944
Q1,2,ridge,ridge3,recent_class,40,40,closed_form_no_early_stopping,,0.0969629735972614,2.863525043919801,0.5850019069312808,0.47993258308004033
Q1,3,ridge,ridge3,recent_class,40,40,closed_form_no_early_stopping,,0.10314844724447067,3.3065263356758634,0.6316127585774874,0.6856522333829056
Q1,4,ridge,ridge3,recent_class,40,40,closed_form_no_early_stopping,,0.12637307318994426,2.555892593391308,0.4753093223667575,0.9283542714274715
Q1,0,ridge,ridge3,recent_resid,40,40,closed_form_no_early_stopping,,0.11537013885141716,3.279968059085695,0.6455041997119567,0.7565037484717624
Q1,1,ridge,ridge3,recent_resid,40,40,closed_form_no_early_stopping,,0.04122050857146306,3.499056242262317,0.7551299891546026,0.9620413668747152
Q1,2,ridge,ridge3,recent_resid,40,40,closed_form_no_early_stopping,,0.043692238352012774,3.636293216836171,0.8095968458768474,0.6522507146793214
Q1,3,ridge,ridge3,recent_resid,40,40,closed_form_no_early_stopping,,0.0499929725843492,4.315046198958547,0.9071980606289488,0.7228824813459641
Q1,4,ridge,ridge3,recent_resid,40,40,closed_form_no_early_stopping,,0.06365964941114013,3.4043686016690367,0.6666927376918634,1.013232415148306
Q1,0,ridge,ridge10,uniform,40,40,closed_form_no_early_stopping,,0.4158661971535842,1.187354292467242,0.18335694434297217,0.5340769316131955
Q1,1,ridge,ridge10,uniform,40,40,closed_form_no_early_stopping,,0.24794201030751714,1.2397080311417166,0.24066324846605822,0.8048669338136654
Q1,2,ridge,ridge10,uniform,40,40,closed_form_no_early_stopping,,0.2423249647472011,1.2116228491115475,0.22688125443272425,0.44895970467594276
Q1,3,ridge,ridge10,uniform,40,40,closed_form_no_early_stopping,,0.24590782552499674,1.2295371238050008,0.2416877643777565,0.7162535426954447
Q1,4,ridge,ridge10,uniform,40,40,closed_form_no_early_stopping,,0.24745754180651633,1.237273658577127,0.24173732928984853,0.867072065589574
Q1,0,ridge,ridge10,subject_class,40,40,closed_form_no_early_stopping,,0.3407621538226596,1.6463104385008778,0.24745371080653836,0.5362163471286691
Q1,1,ridge,ridge10,subject_class,40,40,closed_form_no_early_stopping,,0.19309125121347057,1.744687266779404,0.30401074197392125,0.8090046740420503
Q1,2,ridge,ridge10,subject_class,40,40,closed_form_no_early_stopping,,0.1913400701957719,1.6286403471532387,0.2858393213191443,0.4475242050596361
Q1,3,ridge,ridge10,subject_class,40,40,closed_form_no_early_stopping,,0.1862277739249605,1.7204113029512624,0.30856695972362386,0.6701031061080162
Q1,4,ridge,ridge10,subject_class,40,40,closed_form_no_early_stopping,,0.20154571876907634,1.7530746053989021,0.2984680083868128,0.8874076479349065
Q1,0,ridge,ridge10,recent_class,40,40,closed_form_no_early_stopping,,0.23754708285294895,2.6308463820194636,0.45208164287950825,0.5052782113497891
Q1,1,ridge,ridge10,recent_class,40,40,closed_form_no_early_stopping,,0.09136777819054104,2.7763430084733804,0.5575174349136569,0.8003361294187903
