split,target,fold,subject_id,rows,emission_power,transition_blend,p00,p11,before_mean,after_mean,candidate
oof,Q3,0,id01,9,0.5,1.0,0.5755395683453237,0.7289719626168224,0.6187304651663573,0.7036372455019568,targetwise_lastbest
oof,Q3,0,id02,10,0.5,1.0,0.5755395683453237,0.7289719626168224,0.612703116552721,0.6994338548163073,targetwise_lastbest
oof,Q3,0,id03,7,0.5,1.0,0.5755395683453237,0.7289719626168224,0.6233530823435546,0.7050909756913626,targetwise_lastbest
oof,Q3,0,id04,12,0.5,1.0,0.5755395683453237,0.7289719626168224,0.6279361587876564,0.7117600944790933,targetwise_lastbest
oof,Q3,0,id05,9,0.5,1.0,0.5755395683453237,0.7289719626168224,0.6211653328740578,0.705389292239893,targetwise_lastbest
oof,Q3,0,id06,10,0.5,1.0,0.5755395683453237,0.7289719626168224,0.6140037287150826,0.700669497387411,targetwise_lastbest
oof,Q3,0,id07,10,0.5,1.0,0.5755395683453237,0.7289719626168224,0.6003917686849178,0.6902006306834213,targetwise_lastbest
oof,Q3,0,id08,12,0.5,1.0,0.5755395683453237,0.7289719626168224,0.6173070410050405,0.7038225054528956,targetwise_lastbest
oof,Q3,0,id09,9,0.5,1.0,0.5755395683453237,0.7289719626168224,0.5991716070194474,0.6891381218941488,targetwise_lastbest
oof,Q3,0,id10,7,0.5,1.0,0.5755395683453237,0.7289719626168224,0.605643045530644,0.69187147588532,targetwise_lastbest
oof,Q3,1,id01,8,0.5,1.0,0.5448275862068965,0.7028301886792453,0.5782704713515929,0.7122315607073741,targetwise_lastbest
oof,Q3,1,id02,10,0.5,1.0,0.5448275862068965,0.7028301886792453,0.7165764889186742,0.7867014111036671,targetwise_lastbest
oof,Q3,1,id03,7,0.5,1.0,0.5448275862068965,0.7028301886792453,0.5824472503811854,0.5503737321305128,targetwise_lastbest
oof,Q3,1,id04,11,0.5,1.0,0.5448275862068965,0.7028301886792453,0.5873636377244776,0.595819910252812,targetwise_lastbest
oof,Q3,1,id05,9,0.5,1.0,0.5448275862068965,0.7028301886792453,0.5835870262254557,0.7104644553846204,targetwise_lastbest
oof,Q3,1,id06,10,0.5,1.0,0.5448275862068965,0.7028301886792453,0.5726830331923496,0.6999543567021027,targetwise_lastbest
oof,Q3,1,id07,10,0.5,1.0,0.5448275862068965,0.7028301886792453,0.5698633570286121,0.6980785179631501,targetwise_lastbest
