target,emission_power,transition_blend,full_logloss,last_logloss,full_delta_vs_anchor,last_delta_vs_anchor
Q1,1.0,0.15,0.633646522647549,0.701921257037718,0.04322163877592122,0.08341538553450523
Q1,1.0,0.3,0.6351570612959512,0.704155648535326,0.04473217742432345,0.08564977703211318
Q1,0.8,0.15,0.6367014598456656,0.7041694356128139,0.04627657597403789,0.08566356410960108
Q1,1.25,0.15,0.6375447546519505,0.7051418036167724,0.04711987078032276,0.08663593211355958
Q1,0.8,0.3,0.6373592725748957,0.7056945406153273,0.04693438870326794,0.08718866911211454
Q1,1.0,0.45,0.6371864085327583,0.7069802073374472,0.046761524661130593,0.08847433583423436
Q1,0.8,0.45,0.6384510911834003,0.7077275720082976,0.04802620731177254,0.08922170050508482
Q1,1.25,0.3,0.6401481401274133,0.7083181205395411,0.04972325625578555,0.08981224903632834
Q1,0.65,0.15,0.6432942713948073,0.709018097134373,0.0528693875231796,0.09051222563116024
Q1,0.65,0.3,0.6433823799532477,0.7100803473401789,0.052957496081619926,0.0915744758369661
Q1,0.8,0.6,0.6399976543464674,0.7103171683827147,0.049572770474839656,0.09181129687950196
Q1,1.0,0.6,0.6397557133810299,0.7104458491686503,0.04933082950940215,0.09193997766543749
Q1,0.65,0.45,0.6438271402151244,0.7115795054959951,0.05340225634349671,0.09307363399278235
Q1,1.25,0.45,0.6433461024580414,0.7121601920946339,0.05292121858641363,0.09365432059142109
Q1,0.65,0.6,0.6446478180322222,0.7135599182167973,0.05422293416059443,0.09505404671358453
Q1,1.5,0.15,0.6483932691698288,0.7141337114338244,0.05796838529820103,0.09562783993061164
Q1,0.8,0.8,0.642810597989058,0.7147298002336709,0.052385714117430315,0.09622392873045815
Q1,1.0,0.8,0.6440661793416631,0.7161614155544322,0.05364129547003538,0.09765554405121946
Q1,1.25,0.6,0.6471590396968866,0.7167174343739711,0.05673415582525887,0.09821156287075827
Q1,0.5,0.15,0.6541360543072184,0.7168185453942035,0.06371117043559071,0.09831267389099074
Q1,0.65,0.8,0.6463671928788035,0.7170357002821923,0.05594230900717578,0.09852982877897953
Q1,0.5,0.3,0.6537788783546956,0.7175138978971567,0.06335399448306789,0.0990080263939439
Q1,1.5,0.3,0.6520335983088562,0.7182270216770115,0.061608714437228485,0.09972115017379868
Q1,0.5,0.45,0.6536927405900885,0.718571899533632,0.0632678567184608,0.1000660280304192
Q1,0.5,0.6,0.6538939106010545,0.7200304308677248,0.06346902672942678,0.10152455936451199
Q1,0.8,1.0,0.646548422196293,0.7203731197351043,0.05612353832466532,0.10186724823189153
Q1,0.65,1.0,0.6488629054913733,0.7215904761773605,0.05843802161974554,0.1030846046741477
Q1,0.5,0.8,0.6546435638906661,0.722672976126949,0.06421868001903841,0.10416710462373624
Q1,1.5,0.45,0.6563150315426691,0.7230304680419272,0.0658901476710414,0.10452459653871438
Q1,1.0,1.0,0.6494571481540371,0.7232652345816465,0.059032264282409375,0.1047593630784337
Q1,1.25,0.8,0.6532436358479193,0.7240002330840659,0.06281875197629161,0.10549436158085312
Q1,0.5,1.0,0.6559967680893873,0.7262218244955494,0.06557188421775961,0.1077159529923366
Q1,1.5,0.6,0.6612567420058715,0.7285892760788044,0.07083185813424375,0.11008340457559163
Q1,1.25,1.0,0.660541120578865,0.7327934199878584,0.07011623670723732,0.11428754848464562
Q1,1.5,0.8,0.668915135429553,0.7372621390084515,0.07849025155792533,0.11875626750523871
Q1,1.5,1.0,0.6778633981768794,0.7474971347000758,0.08743851430525162,0.12899126319686305
Q2,0.65,1.0,0.8069808491708178,0.7329020505755487,0.11410099254689532,0.09481768127514734
Q2,0.5,1.0,0.7943798578880367,0.7342050878225289,0.10150000126411418,0.09612071852212756
Q2,0.8,1.0,0.8224446678379114,0.7342742960087308,0.12956481121398888,0.09618992670832949
Q2,0.8,0.8,0.8062555404967513,0.7382604074075558,0.11337568387282881,0.10017603810715447
Q2,0.65,0.8,0.7941854024823172,0.7388635388713014,0.10130554585839469,0.10077916957090005
Q2,1.0,1.0,0.8466776790614942,0.7396481300716169,0.15379782243757167,0.10156376077121554
Q2,1.0,0.8,0.8258164450244998,0.7406805636004195,0.13293658840057732,0.1025961943000181
Q2,0.5,0.8,0.7847509009173361,0.7418217503920453,0.09187104429341364,0.10373738109164399
Q2,0.8,0.6,0.794168077705,0.7435050834096024,0.10128822108107749,0.10542071410920106
Q2,1.0,0.6,0.8096822596814185,0.7435170335043816,0.11680240305749601,0.10543266420398023
Q2,0.65,0.6,0.7849587805676476,0.7456438444433677,0.09207892394372508,0.10755947514296638
Q2,1.0,0.45,0.8001376342342224,0.7466195805873167,0.10725777761029986,0.10853521128691535
Q2,1.25,0.6,0.8334702869058656,0.7475525194442162,0.14059043028194307,0.10946815014381484
Q2,1.25,0.8,0.8547854530146427,0.7480751428930935,0.16190559639072022,0.10999077359269216
Q2,0.8,0.45,0.7872756236872946,0.7480835348809229,0.09439576706337216,0.10999916558052159
Q2,1.25,0.45,0.8204394870072304,0.7485044316199424,0.12755963038330786,0.11042006231954105
Q2,0.5,0.6,0.7781209104188429,0.7498156953859334,0.08524105379492042,0.11173132608553205
Q2,1.0,0.3,0.7924468080628778,0.7504266979873995,0.09956695143895533,0.11234232868699812
Q2,1.25,0.3,0.8095923847979711,0.7504626263798917,0.11671252817404865,0.11237825707949034
Q2,1.25,1.0,0.8814590518202186,0.7509770998550851,0.18857919519629607,0.11289273055468374
Q2,0.65,0.45,0.7798954962903791,0.7511195988365628,0.08701563966645665,0.11303522953616141
Q2,0.8,0.3,0.7819307735195283,0.7531087090978799,0.08905091689560585,0.1150243397974785
Q2,1.25,0.15,0.8006687026026846,0.7533134100194696,0.10778884597876215,0.11522904071906825
Q2,1.5,0.3,0.830597824837046,0.753842356885016,0.13771796821312354,0.11575798758461464
Q2,1.5,0.45,0.8446998666776472,0.7539613421742323,0.1518200100537247,0.11587697287383092
Q2,1.0,0.15,0.7863619199837669,0.7548417941762409,0.09348206335984444,0.11675742487583951
Q2,1.5,0.15,0.8186815001287399,0.7548711410943115,0.12580164350481737,0.11678677179391017
Q2,1.5,0.6,0.8612505036804917,0.7553456739564866,0.16837064705656923,0.1172613046560852
Q2,0.5,0.45,0.7746768897625688,0.7559565503045707,0.08179703313864628,0.1178721810041693
Q2,0.65,0.3,0.7761340290704555,0.756850873771288,0.08325417244653299,0.11876650447088666
Q2,0.8,0.15,0.7779059101295297,0.7585080428551262,0.08502605350560721,0.12042367355472483
Q2,1.5,0.8,0.8876735837681791,0.7593839134185091,0.19479372714425658,0.12129954411810773
Q2,0.5,0.3,0.7722870159048253,0.7621750974483341,0.0794071592809028,0.12409072814793276
Q2,0.65,0.15,0.7734691712853755,0.7627884839507162,0.08058931466145303,0.12470411465031483
Q2,1.5,1.0,0.9199307124878872,0.766241565713471,0.22705085586396467,0.12815719641306966
Q2,0.5,0.15,0.7707744208526567,0.7684486039799692,0.0778945642287342,0.13036423467956781
Q3,0.5,1.0,0.7436041944391153,0.6241855802150217,0.08092364831091459,-0.010506428025731762
Q3,0.5,0.8,0.7339402744323316,0.6262770751390209,0.07125972830413085,-0.00841493310173258
Q3,0.65,0.8,0.741060689231531,0.6278209720020629,0.0783801431033303,-0.006871036238690564
Q3,0.65,1.0,0.7543141972376671,0.6289306987411998,0.09163365110946642,-0.0057613094995536684
Q3,0.65,0.6,0.7329056070901513,0.6301871079550316,0.07022506096195058,-0.0045049002857218134
Q3,0.5,0.6,0.7287769463495412,0.631293711891699,0.06609640022134045,-0.0033982963490544194
Q3,0.8,0.6,0.7393168306516722,0.6315613860150857,0.07663628452347149,-0.003130622225667734
Q3,0.8,0.8,0.7506010773111624,0.6320031291415639,0.08792053118296173,-0.0026888790991895783
Q3,0.8,0.45,0.7338063886246023,0.6333352186090764,0.07112584249640164,-0.001356789631677069
Q3,0.65,0.45,0.7294223969200964,0.633772751099489,0.06674185079189565,-0.0009192571412643957
Q3,1.0,0.45,0.7426802274513395,0.6360212576411848,0.07999968132313884,0.0013292494004313316
Q3,0.8,1.0,0.767487242912984,0.6363720152718649,0.10480669678478327,0.0016800070311114856
Q3,0.5,0.45,0.7271762444025263,0.6365288130141409,0.06449569827432555,0.0018368047733874349
Q3,0.8,0.3,0.7303881047180987,0.6366150473156418,0.06770755858989796,0.001923039074888333
Q3,1.0,0.6,0.7510244267685185,0.6368048786554911,0.08834388064031784,0.002112870414737622
Q3,1.0,0.3,0.7367294446420337,0.6370180018221605,0.074048898513833,0.00232599358140706
Q3,0.65,0.3,0.7277699901418779,0.6386193317946373,0.06508944401367722,0.00392732355388381
Q3,1.0,0.15,0.7328481448072034,0.6395718839881375,0.07016759867900269,0.0048798757473840215
Q3,1.0,0.8,0.7665554653552279,0.6410700943996553,0.10387491922702718,0.006378086158901897
Q3,0.8,0.15,0.7287426646228043,0.6411755179284127,0.06606211849460364,0.006483509687659206
Q3,1.25,0.15,0.7419076839135993,0.6417840038387377,0.07922713778539858,0.007091995597984235
Q3,1.25,0.3,0.7488029516011518,0.6419686794211995,0.08612240547295114,0.007276671180446059
Q3,0.5,0.3,0.7271229724565973,0.6427565986114665,0.06444242632839658,0.008064590370713054
Q3,1.25,0.45,0.7580701287325617,0.6439777636942349,0.09538958260436103,0.009285755453481426
Q3,0.65,0.15,0.7276432942135737,0.6445118557597125,0.06496274808537295,0.009819847518959035
Q3,1.25,0.6,0.7700224117455975,0.648014408355172,0.10734186561739678,0.013322400114418542
Q3,1.5,0.15,0.7549081378036128,0.648197567994863,0.09222759167541206,0.013505559754109608
Q3,1.0,1.0,0.7882120844533725,0.6497070126859132,0.12553153832517183,0.015015004445159796
Q3,0.5,0.15,0.7283366151553142,0.6497838585210044,0.06565606902711352,0.015091850280250951
Q3,1.5,0.3,0.7649294044890765,0.6512205335099401,0.10224885836087583,0.01652852526918669
Q3,1.5,0.45,0.7775445471385514,0.6562425440795379,0.11486400101035066,0.021550535838784413
Q3,1.25,0.8,0.7907913686316553,0.6569607009734534,0.12811082250345462,0.022268692732699935
Q3,1.5,0.6,0.7930466450837117,0.663439480852642,0.130366098955511,0.02874747261188859
Q3,1.25,1.0,0.8181311375494666,0.6706169891594677,0.15545059142126594,0.03592498091871421
Q3,1.5,0.8,0.818824255147952,0.6767842066021085,0.15614370901975128,0.04209219836135503
Q3,1.5,1.0,0.8514363878871793,0.6950020330825635,0.18875584175897864,0.06031002484181003
S1,1.0,0.15,0.5655908602462221,0.5270592750782307,0.07323870703237007,0.07751480906125452
S1,1.25,0.15,0.5759121903122065,0.5279616566820141,0.08356003709835452,0.07841719066503794
S1,1.0,0.3,0.5740505143845628,0.5288300581977802,0.08169836117071078,0.079285592180804
S1,1.25,0.3,0.5880806289047513,0.5324973113413157,0.09572847569089932,0.08295284532433955
S1,1.0,0.45,0.5854834786623728,0.5328951252039152,0.09313132544852082,0.08335065918693907
S1,0.8,0.3,0.5721842813674249,0.5354776412608201,0.07983212815357293,0.08593317524384392
S1,0.8,0.15,0.5674383916488548,0.5366198686852113,0.07508623843500278,0.0870754026682351
S1,0.8,0.45,0.5800662664063301,0.5367532078166602,0.08771411319247807,0.08720874179968408
S1,1.5,0.15,0.5963763073199565,0.5389776228236736,0.1040241541061045,0.08943315680669739
S1,1.25,0.45,0.6029467054178044,0.5391441059598666,0.11059455220395237,0.08959963994289044
S1,1.0,0.6,0.6000747869516949,0.5393606034496429,0.10772263373784291,0.0898161374326667
S1,0.8,0.6,0.5913024937001052,0.5405741439711397,0.09895034048625323,0.0910296779541635
S1,1.5,0.3,0.6113799197501323,0.5455142787424225,0.11902776653628028,0.09596981272544636
S1,0.65,0.45,0.5828524555490473,0.5468502980771813,0.09050030233519529,0.09730583206020516
S1,1.25,0.6,0.620685031623503,0.5480042269802954,0.12833287840965096,0.09845976096331921
S1,0.65,0.6,0.590980411464513,0.5481542446635459,0.09862825825066096,0.09860977864656972
S1,0.65,0.3,0.5781582267160676,0.5481631475960907,0.08580607350221564,0.09861868157911458
S1,0.8,0.8,0.6121151402361537,0.5500057499802514,0.11976298702230165,0.10046128396327525
S1,0.65,0.15,0.5766351087803415,0.5519317450244206,0.08428295556648951,0.10238727900744438
S1,1.0,0.8,0.625010277154134,0.5520634649040258,0.13265812394028204,0.10251899888704963
S1,1.5,0.45,0.6288013963331637,0.5539917451624014,0.13644924311931167,0.10444727914542518
S1,0.65,0.8,0.6078389185984886,0.5543903433208546,0.11548676538463659,0.1048458773038784
S1,0.5,0.6,0.5978524514461557,0.5635057635126623,0.10550029823230372,0.11396129749568618
S1,1.25,0.8,0.6493592254304617,0.563604589238368,0.15700707221660964,0.11406012322139181
S1,1.5,0.6,0.6488228898304049,0.5645192598171075,0.15647073661655292,0.11497479380013131
S1,0.8,1.0,0.6408722280303875,0.565189655246342,0.14852007481653545,0.11564518922936584
S1,0.5,0.45,0.5933646528354036,0.5652156074478198,0.10101249962155162,0.11567114143084367
S1,0.5,0.8,0.6098940776483214,0.565782538944386,0.11754192443446937,0.11623807292740984
S1,0.65,1.0,0.6329337166206528,0.5666171449966536,0.14058156340680078,0.11707267897967744
S1,0.5,0.3,0.5922731562515923,0.5695298542262353,0.09992100303774026,0.11998538820925908
S1,1.0,1.0,0.6574391823146305,0.5701951827975829,0.1650870291007785,0.12065071678060668
S1,0.5,1.0,0.6303260688443505,0.5742095797401495,0.1379739156304985,0.12466511372317335
S1,0.5,0.15,0.5942570198679521,0.57623858186906,0.10190486665410009,0.1266941158520838
S1,1.5,0.8,0.6801291439045112,0.5820989800237895,0.18777699069065917,0.13255451400681328
S1,1.25,1.0,0.6849882544355003,0.5842891019775317,0.19263610122164826,0.13474463596055553
S1,1.5,1.0,0.7179260495613025,0.6044912068183848,0.22557389634745045,0.15494674080140858
S2,0.5,0.15,0.6141375122957462,0.678273698006063,0.05401710660603798,0.055458375110629565
S2,0.65,0.15,0.6036719466438862,0.6792773125969751,0.043551540954178014,0.056461989701541704
S2,0.5,0.3,0.6108779122422946,0.6850753812160721,0.05075750655258637,0.062260058320638745
S2,0.8,0.15,0.5985097121755171,0.6854772319859165,0.03838930648580885,0.06266190909048308
S2,0.65,0.3,0.6027721760768743,0.6891926009213345,0.042651770387166055,0.0663772780259011
S2,0.5,0.45,0.6095823143821779,0.6948551442900789,0.04946190869246969,0.07203982139464549
