candidate,full_logloss,last_logloss,full_delta_vs_anchor,last_delta_vs_anchor,fold_std,tail3_worst,pseudo_public_logloss,test_abs_delta_mean_vs_anchor,test_up_rate_vs_anchor,test_down_rate_vs_anchor,fold0_logloss,fold1_logloss,fold2_logloss,fold3_logloss,fold4_logloss,pseudo_Q1,delta_mean_Q1,delta_abs_Q1,up_rate_Q1,pseudo_Q2,delta_mean_Q2,delta_abs_Q2,up_rate_Q2,pseudo_Q3,delta_mean_Q3,delta_abs_Q3,up_rate_Q3,pseudo_S1,delta_mean_S1,delta_abs_S1,up_rate_S1,pseudo_S2,delta_mean_S2,delta_abs_S2,up_rate_S2,pseudo_S3,delta_mean_S3,delta_abs_S3,up_rate_S3,pseudo_S4,delta_mean_S4,delta_abs_S4,up_rate_S4,corr_to_last_guard_0p008_last0.588383_full0.587743,mean_abs_diff_to_last_guard_0p008_last0.588383_full0.587743,corr_to_target_select_public_tight_last0.572477_full0.592635,mean_abs_diff_to_target_select_public_tight_last0.572477_full0.592635,corr_to_02_guarded_targetwise,mean_abs_diff_to_02_guarded_targetwise,selector_score
pattern_safe_candidates_20260622/s2down_only_noq1,0.5947998708598901,0.5879849587923014,-0.0010298802334849366,-0.00529724800603304,0.014312880655138022,0.6227485796933881,0.5889997562774966,0.002924133577448994,0.0,0.08057142857142857,0.5927346944555352,0.5822846412435593,0.6227485796933881,0.5888093082433734,0.5879849587923014,0.5976921407331661,0.0,0.0,0.0,0.6505980290149822,0.0,0.0,0.0,0.6385502921504717,0.0,0.0,0.0,0.48132484316497526,0.0,0.0,0.0,0.5596978426582061,-0.020468935042142956,0.020468935042142956,0.0,0.5557640408216769,0.0,0.0,0.0,0.639371105398998,0.0,0.0,0.0,0.9868866602627507,0.017678217586522698,0.9931907272501771,0.006083030202478603,0.9784964670388283,0.013633257172886708,0.589803124317577
pattern_safe_candidates_20260622/s2down_s4up_noq1,0.5938608476197063,0.5864891731315485,-0.001968903473668737,-0.006793033666785964,0.01463616618742405,0.6223397382574352,0.5890497702988032,0.004069188436419778,0.038857142857142854,0.08057142857142857,0.5916022661623862,0.5806335993076207,0.6223397382574352,0.5887915596001291,0.5864891731315485,0.5976921407331661,0.0,0.0,0.0,0.6505980290149822,0.0,0.0,0.0,0.6385502921504717,0.0,0.0,0.0,0.48132484316497526,0.0,0.0,0.0,0.5596978426582061,-0.020468935042142956,0.020468935042142956,0.0,0.5557640408216769,0.0,0.0,0.0,0.6397212035481443,0.008015384012795487,0.008015384012795487,0.272,0.9878297035065761,0.016533162727551915,0.9940402754135685,0.005282489112155117,0.9774604711813822,0.01467869410856358,0.5899036542612671
pattern_safe_candidates_20260622/q1_s2down50_s4up50,0.5942463587255078,0.5877806378296395,-0.001583392367867198,-0.005501568968694914,0.01429928330747542,0.6220642507228973,0.5890678924866839,0.004580326512813427,0.11028571428571429,0.152,0.5906155456888621,0.5808170297269442,0.6220642507228973,0.590604687931323,0.5877806378296395,0.5984263840830734,0.001879180925109512,0.017820126062224766,0.5,0.6505980290149822,0.0,0.0,0.0,0.6385502921504717,0.0,0.0,0.0,0.48132484316497526,0.0,0.0,0.0,0.5595148476061964,-0.010234467521071483,0.010234467521071483,0.0,0.5557640408216769,0.0,0.0,0.0,0.6392968105654111,0.004007692006397742,0.004007692006397742,0.272,0.9870026556318025,0.016022024651158265,0.9897942995976877,0.006982252448056326,0.9845071128515546,0.015664313725682763,0.5899202664474421
pattern_safe_candidates_20260622/q1_s2down75_s4up75,0.5938229791291771,0.5861989026038356,-0.002006771964197851,-0.007083304194498874,0.014546319681854374,0.6220870829641011,0.589025441276997,0.005597623621918372,0.11028571428571429,0.152,0.5904383021252164,0.5804576807085032,0.6220870829641011,0.5905108015339934,0.5861989026038356,0.5984263840830734,0.001879180925109512,0.017820126062224766,0.5,0.6505980290149822,0.0,0.0,0.0,0.6385502921504717,0.0,0.0,0.0,0.48132484316497526,0.0,0.0,0.0,0.5590733286716936,-0.015351701281607224,0.015351701281607224,0.0,0.5557640408216769,0.0,0.0,0.0,0.6394411710321057,0.006011538009596614,0.006011538009596614,0.272,0.9885407165925434,0.01500472754205332,0.9927079923994334,0.00657587894128931,0.9809819219672444,0.016416661792242954,0.5899206859697472
direction_gated_ablation_20260622/core_q1down_s2tight_s4tight,0.5936398133599672,0.5846682212795985,-0.0021899377334078096,-0.008613985518735934,0.01375123563465615,0.6201983006230591,0.5891640988901121,0.003264034524828646,0.009142857142857144,0.02,0.5908545835107567,0.5815277314744309,0.6201983006230591,0.5913566785790664,0.5846682212795985,0.599646734684004,-0.00936908344256825,0.00936908344256825,0.0,0.6505980290149822,0.0,0.0,0.0,0.6385502921504717,0.0,0.0,0.0,0.48132484316497526,0.0,0.0,0.0,0.5585441664549102,-0.009201249105072414,0.009201249105072414,0.0,0.5557640408216769,0.0,0.0,0.0,0.6397205859397641,0.0042779091261598585,0.0042779091261598585,0.064,0.9854196765856555,0.019519863957351058,0.9942819174521288,0.0043470366091389,0.9775156035963405,0.014995042993537853,0.5899495817075898
direction_gated_ablation_20260622/core_q1up_s2tight_s4tight,0.5943582413979948,0.584922358791834,-0.0014715096953802353,-0.00835984800650047,0.013897920282230039,0.6208947184654343,0.5891637817521963,0.0030338612879016683,0.019428571428571427,0.0074285714285714285,0.5914227210578711,0.5815945172157708,0.6208947184654343,0.5933386081285782,0.584922358791834,0.5996445147185937,0.007757870784079405,0.007757870784079405,0.072,0.6505980290149822,0.0,0.0,0.0,0.6385502921504717,0.0,0.0,0.0,0.48132484316497526,0.0,0.0,0.0,0.5585441664549102,-0.009201249105072414,0.009201249105072414,0.0,0.5557640408216769,0.0,0.0,0.0,0.6397205859397641,0.0042779091261598585,0.0042779091261598585,0.064,0.9867693165927447,0.019105685129343117,0.992536480543119,0.00543447786448948,0.9775444738571994,0.014764869756610876,0.5899496936049449
direction_gated_ablation_20260622/core_plus_q2tiny,0.5936878668276017,0.5842293736204835,-0.0021418842657733306,-0.009052833177850883,0.013558826546334106,0.6197631048544298,0.5891719813882965,0.003343033472653973,0.010285714285714285,0.02,0.5915590995267358,0.5818606360632403,0.6197631048544298,0.5913566785790664,0.5842293736204835,0.599646734684004,-0.00936908344256825,0.00936908344256825,0.0,0.6506532065022738,0.0005529926347772891,0.0005529926347772891,0.008,0.6385502921504717,0.0,0.0,0.0,0.48132484316497526,0.0,0.0,0.0,0.5585441664549102,-0.009201249105072414,0.009201249105072414,0.0,0.5557640408216769,0.0,0.0,0.0,0.6397205859397641,0.0042779091261598585,0.0042779091261598585,0.064,0.9853916669878193,0.01955916773711215,0.9943477271971075,0.004290087506096022,0.9774129967899842,0.015074041941363178,0.5899502137197928
direction_gated_ablation_20260622/core_plus_q2,0.593596320226233,0.5835191877012103,-0.0022334308671420056,-0.009763019097124181,0.013454654869434424,0.6189728219927408,0.5891820124295712,0.003645822682032956,0.018857142857142857,0.02,0.5921928890499039,0.5810934933327517,0.6189728219927408,0.5924370599870276,0.5835191877012103,0.599646734684004,-0.00936908344256825,0.00936908344256825,0.0,0.650723423791197,0.0026725171004301725,0.0026725171004301725,0.068,0.6385502921504717,0.0,0.0,0.0,0.48132484316497526,0.0,0.0,0.0,0.5585441664549102,-0.009201249105072414,0.009201249105072414,0.0,0.5557640408216769,0.0,0.0,0.0,0.6397205859397641,0.0042779091261598585,0.0042779091261598585,0.064,0.9853411820703935,0.019736226990642536,0.9945455216539673,0.00396524845193459,0.9772044194017209,0.015376831150742162,0.5899641198535039
direction_gated_ablation_20260622/core_q1down_s2tight_s4mid,0.5934100694323694,0.5844974172948362,-0.0024196816610055905,-0.008784789503498258,0.013788902960655934,0.6199025754227334,0.5891704670245197,0.003480628993262983,0.014857142857142857,0.02,0.5905584713129982,0.5808296554776621,0.6199025754227334,0.5916733045505769,0.5844974172948362,0.599646734684004,-0.00936908344256825,0.00936908344256825,0.0,0.6505980290149822,0.0,0.0,0.0,0.6385502921504717,0.0,0.0,0.0,0.48132484316497526,0.0,0.0,0.0,0.5585441664549102,-0.009201249105072414,0.009201249105072414,0.0,0.5557640408216769,0.0,0.0,0.0,0.6397651628806172,0.005794070405200217,0.005794070405200217,0.104,0.9855525092300662,0.019383076288925605,0.9944196102734969,0.004130442140704563,0.9773486486530101,0.015198323449553495,0.5899643310423504
pattern_safe_candidates_20260622/q1_s2down_only,0.5944488735975347,0.5862745208631627,-0.0013808774958402603,-0.007007685935171759,0.014441779445440929,0.6226043066962007,0.5891046481846262,0.005469865872052533,0.07142857142857142,0.152,0.5915362989923085,0.581821524106641,0.6226043066962007,0.5905249753657419,0.5862745208631627,0.5984263840830734,0.001879180925109512,0.017820126062224766,0.5,0.6505980290149822,0.0,0.0,0.0,0.6385502921504717,0.0,0.0,0.0,0.48132484316497526,0.0,0.0,0.0,0.5596978426582061,-0.020468935042142956,0.020468935042142956,0.0,0.5557640408216769,0.0,0.0,0.0,0.639371105398998,0.0,0.0,0.0,0.9879734104393717,0.015132485291919162,0.9935915820997867,0.007098109196067239,0.977365201075514,0.016178989467490246,0.5899908331330598
