rank_label,candidate,pseudo_public_logloss,full_logloss,last_logloss
R1,pseudo_target_tight_anchorlogit_w0p82,0.5887944363524353,0.5949477355422651,0.5888085902101319
R2,pseudo_target_balanced_anchorlogit_w0p82,0.5887944363524353,0.5949477355422651,0.5888085902101319
R3,pseudo_target_public_heavy_anchorlogit_w0p82,0.5887944363524353,0.5949477355422651,0.5888085902101319
R4,pseudo_target_public_max_anchorlogit_w0p82,0.5887944363524353,0.5949477355422651,0.5888085902101319
R5,pseudo_target_tight_anchorlogit_w0p7,0.5888067875748907,0.5950294594982998,0.5893672864933113
R6,pseudo_target_balanced_anchorlogit_w0p7,0.5888067875748907,0.5950294594982998,0.5893672864933113
R7,pseudo_target_public_heavy_anchorlogit_w0p7,0.5888067875748907,0.5950294594982998,0.5893672864933113
R8,pseudo_target_public_max_anchorlogit_w0p7,0.5888067875748907,0.5950294594982998,0.5893672864933113
R9,pseudo_target_tight_anchorlogit_w0p9,0.5888001376650654,0.5949021840851253,0.5884529156561917
R10,pseudo_target_balanced_anchorlogit_w0p9,0.5888001376650654,0.5949021840851253,0.5884529156561917
R11,pseudo_target_public_heavy_anchorlogit_w0p9,0.5888001376650654,0.5949021840851253,0.5884529156561917
R12,pseudo_target_public_max_anchorlogit_w0p9,0.5888001376650654,0.5949021840851253,0.5884529156561917
