target,source,full_logloss,last_logloss,pred_std,pred_mean
Q1,residual_single_model_opt_ridge_logit_newton__ridge_residual_full,0.5879679030351407,0.606532805999241,0.2183071388634176,0.49539141345675136
Q1,residual_submission_blend_ridge_logit_newton__ridge_knn_blend_full,0.5879679030351407,0.606532805999241,0.2183071388634176,0.49539141345675136
Q1,constrained_target_blend_logit_newton__full,0.5879679030351407,0.606532805999241,0.2183071388634176,0.49539141345675136
Q1,constrained_target_blend_logit_newton__last_guard_0,0.5879679030351407,0.606532805999241,0.2183071388634176,0.49539141345675136
Q1,constrained_target_blend_logit_newton__last_guard_0p002,0.5879679030351407,0.606532805999241,0.2183071388634176,0.49539141345675136
Q1,constrained_target_blend_logit_newton__last_guard_0p004,0.5879679030351407,0.606532805999241,0.2183071388634176,0.49539141345675136
Q1,constrained_target_blend_logit_newton__last_guard_0p006,0.5879679030351407,0.606532805999241,0.2183071388634176,0.49539141345675136
Q1,constrained_target_blend_logit_newton__last_guard_0p008,0.5879679030351407,0.606532805999241,0.2183071388634176,0.49539141345675136
Q1,constrained_target_blend_logit_newton__positive_last_penalty_a0p25,0.5879679030351407,0.606532805999241,0.2183071388634176,0.49539141345675136
Q1,constrained_target_blend_logit_newton__positive_last_penalty_a0p5,0.5879679030351407,0.606532805999241,0.2183071388634176,0.49539141345675136
Q1,constrained_target_blend_logit_newton__positive_last_penalty_a0p75,0.5879679030351407,0.606532805999241,0.2183071388634176,0.49539141345675136
Q1,constrained_target_blend_logit_newton__positive_last_penalty_a1,0.5879679030351407,0.606532805999241,0.2183071388634176,0.49539141345675136
Q1,constrained_target_blend_logit_newton__tradeoff_cap_a0p15,0.5882756987108314,0.6030283193180364,0.22028929484912008,0.4958973763954136
Q1,constrained_target_blend_logit_newton__tradeoff_cap_a0p25,0.5888558879479348,0.6004250659961831,0.2215217356493141,0.49647248147292633
Q1,constrained_target_blend_logit_newton__tradeoff_cap_a0p35,0.5888558879479348,0.6004250659961831,0.2215217356493141,0.49647248147292633
Q1,constrained_target_blend_logit_newton__tradeoff_cap_a0p5,0.5892512766796913,0.599612229203973,0.22310112296267842,0.49656011518421306
Q1,residual_single_model_opt_ridge_logit_newton__ridge_residual_composite,0.5898889020581386,0.5984797793482457,0.22443356837411285,0.4968568522388073
Q1,residual_submission_blend_ridge_logit_newton__ridge_knn_blend_composite,0.5898889020581386,0.5984797793482457,0.22443356837411285,0.4968568522388073
Q1,residual_submission_blend_ridge_logit_newton__ridge_knn_blend_last,0.5898889020581386,0.5984797793482457,0.22443356837411285,0.4968568522388073
Q1,anchor,0.5904248838716277,0.6185058715032128,0.21269611440795771,0.49503698222018716
Q1,model_lgbm_anchor,0.5904248838716277,0.6185058715032128,0.21269611440795771,0.49503698222018716
Q1,seq_Q2_0p5_0p15,0.5904248838716277,0.6185058715032128,0.21269611440795771,0.49503698222018716
Q1,seq_Q2_0p5_0p3,0.5904248838716277,0.6185058715032128,0.21269611440795771,0.49503698222018716
Q1,seq_Q2_0p5_0p45,0.5904248838716277,0.6185058715032128,0.21269611440795771,0.49503698222018716
Q1,seq_Q2_0p5_0p6,0.5904248838716277,0.6185058715032128,0.21269611440795771,0.49503698222018716
Q1,seq_Q2_0p5_0p8,0.5904248838716277,0.6185058715032128,0.21269611440795771,0.49503698222018716
Q1,seq_Q2_0p5_1,0.5904248838716277,0.6185058715032128,0.21269611440795771,0.49503698222018716
Q1,seq_Q2_0p65_0p15,0.5904248838716277,0.6185058715032128,0.21269611440795771,0.49503698222018716
Q1,seq_Q2_0p65_0p3,0.5904248838716277,0.6185058715032128,0.21269611440795771,0.49503698222018716
Q1,seq_Q2_0p65_0p45,0.5904248838716277,0.6185058715032128,0.21269611440795771,0.49503698222018716
Q1,seq_Q2_0p65_0p6,0.5904248838716277,0.6185058715032128,0.21269611440795771,0.49503698222018716
Q1,seq_Q2_0p65_0p8,0.5904248838716277,0.6185058715032128,0.21269611440795771,0.49503698222018716
Q1,seq_Q2_0p65_1,0.5904248838716277,0.6185058715032128,0.21269611440795771,0.49503698222018716
Q1,seq_Q2_0p8_0p15,0.5904248838716277,0.6185058715032128,0.21269611440795771,0.49503698222018716
Q1,seq_Q2_0p8_0p3,0.5904248838716277,0.6185058715032128,0.21269611440795771,0.49503698222018716
Q1,seq_Q2_0p8_0p45,0.5904248838716277,0.6185058715032128,0.21269611440795771,0.49503698222018716
Q1,seq_Q2_0p8_0p6,0.5904248838716277,0.6185058715032128,0.21269611440795771,0.49503698222018716
Q1,seq_Q2_0p8_0p8,0.5904248838716277,0.6185058715032128,0.21269611440795771,0.49503698222018716
Q1,seq_Q2_0p8_1,0.5904248838716277,0.6185058715032128,0.21269611440795771,0.49503698222018716
Q1,seq_Q2_1_0p15,0.5904248838716277,0.6185058715032128,0.21269611440795771,0.49503698222018716
Q1,seq_Q2_1_0p3,0.5904248838716277,0.6185058715032128,0.21269611440795771,0.49503698222018716
Q1,seq_Q2_1_0p45,0.5904248838716277,0.6185058715032128,0.21269611440795771,0.49503698222018716
Q1,seq_Q2_1_0p6,0.5904248838716277,0.6185058715032128,0.21269611440795771,0.49503698222018716
Q1,seq_Q2_1_0p8,0.5904248838716277,0.6185058715032128,0.21269611440795771,0.49503698222018716
Q1,seq_Q2_1_1,0.5904248838716277,0.6185058715032128,0.21269611440795771,0.49503698222018716
Q1,seq_Q2_1p25_0p15,0.5904248838716277,0.6185058715032128,0.21269611440795771,0.49503698222018716
Q1,seq_Q2_1p25_0p3,0.5904248838716277,0.6185058715032128,0.21269611440795771,0.49503698222018716
Q1,seq_Q2_1p25_0p45,0.5904248838716277,0.6185058715032128,0.21269611440795771,0.49503698222018716
Q1,seq_Q2_1p25_0p6,0.5904248838716277,0.6185058715032128,0.21269611440795771,0.49503698222018716
Q1,seq_Q2_1p25_0p8,0.5904248838716277,0.6185058715032128,0.21269611440795771,0.49503698222018716
Q1,seq_Q2_1p25_1,0.5904248838716277,0.6185058715032128,0.21269611440795771,0.49503698222018716
Q1,seq_Q2_1p5_0p15,0.5904248838716277,0.6185058715032128,0.21269611440795771,0.49503698222018716
Q1,seq_Q2_1p5_0p3,0.5904248838716277,0.6185058715032128,0.21269611440795771,0.49503698222018716
Q1,seq_Q2_1p5_0p45,0.5904248838716277,0.6185058715032128,0.21269611440795771,0.49503698222018716
Q1,seq_Q2_1p5_0p6,0.5904248838716277,0.6185058715032128,0.21269611440795771,0.49503698222018716
Q1,seq_Q2_1p5_0p8,0.5904248838716277,0.6185058715032128,0.21269611440795771,0.49503698222018716
Q1,seq_Q2_1p5_1,0.5904248838716277,0.6185058715032128,0.21269611440795771,0.49503698222018716
Q1,seq_Q3_0p5_0p15,0.5904248838716277,0.6185058715032128,0.21269611440795771,0.49503698222018716
Q1,seq_Q3_0p5_0p3,0.5904248838716277,0.6185058715032128,0.21269611440795771,0.49503698222018716
Q1,seq_Q3_0p5_0p45,0.5904248838716277,0.6185058715032128,0.21269611440795771,0.49503698222018716
Q1,seq_Q3_0p5_0p6,0.5904248838716277,0.6185058715032128,0.21269611440795771,0.49503698222018716
Q1,seq_Q3_0p5_0p8,0.5904248838716277,0.6185058715032128,0.21269611440795771,0.49503698222018716
Q1,seq_Q3_0p5_1,0.5904248838716277,0.6185058715032128,0.21269611440795771,0.49503698222018716
Q1,seq_Q3_0p65_0p15,0.5904248838716277,0.6185058715032128,0.21269611440795771,0.49503698222018716
Q1,seq_Q3_0p65_0p3,0.5904248838716277,0.6185058715032128,0.21269611440795771,0.49503698222018716
Q1,seq_Q3_0p65_0p45,0.5904248838716277,0.6185058715032128,0.21269611440795771,0.49503698222018716
Q1,seq_Q3_0p65_0p6,0.5904248838716277,0.6185058715032128,0.21269611440795771,0.49503698222018716
Q1,seq_Q3_0p65_0p8,0.5904248838716277,0.6185058715032128,0.21269611440795771,0.49503698222018716
Q1,seq_Q3_0p65_1,0.5904248838716277,0.6185058715032128,0.21269611440795771,0.49503698222018716
Q1,seq_Q3_0p8_0p15,0.5904248838716277,0.6185058715032128,0.21269611440795771,0.49503698222018716
Q1,seq_Q3_0p8_0p3,0.5904248838716277,0.6185058715032128,0.21269611440795771,0.49503698222018716
Q1,seq_Q3_0p8_0p45,0.5904248838716277,0.6185058715032128,0.21269611440795771,0.49503698222018716
Q1,seq_Q3_0p8_0p6,0.5904248838716277,0.6185058715032128,0.21269611440795771,0.49503698222018716
Q1,seq_Q3_0p8_0p8,0.5904248838716277,0.6185058715032128,0.21269611440795771,0.49503698222018716
Q1,seq_Q3_0p8_1,0.5904248838716277,0.6185058715032128,0.21269611440795771,0.49503698222018716
Q1,seq_Q3_1_0p15,0.5904248838716277,0.6185058715032128,0.21269611440795771,0.49503698222018716
Q1,seq_Q3_1_0p3,0.5904248838716277,0.6185058715032128,0.21269611440795771,0.49503698222018716
Q1,seq_Q3_1_0p45,0.5904248838716277,0.6185058715032128,0.21269611440795771,0.49503698222018716
Q1,seq_Q3_1_0p6,0.5904248838716277,0.6185058715032128,0.21269611440795771,0.49503698222018716
Q1,seq_Q3_1_0p8,0.5904248838716277,0.6185058715032128,0.21269611440795771,0.49503698222018716
Q1,seq_Q3_1_1,0.5904248838716277,0.6185058715032128,0.21269611440795771,0.49503698222018716
Q1,seq_Q3_1p25_0p15,0.5904248838716277,0.6185058715032128,0.21269611440795771,0.49503698222018716
Q1,seq_Q3_1p25_0p3,0.5904248838716277,0.6185058715032128,0.21269611440795771,0.49503698222018716
Q1,seq_Q3_1p25_0p45,0.5904248838716277,0.6185058715032128,0.21269611440795771,0.49503698222018716
Q1,seq_Q3_1p25_0p6,0.5904248838716277,0.6185058715032128,0.21269611440795771,0.49503698222018716
Q1,seq_Q3_1p25_0p8,0.5904248838716277,0.6185058715032128,0.21269611440795771,0.49503698222018716
Q1,seq_Q3_1p25_1,0.5904248838716277,0.6185058715032128,0.21269611440795771,0.49503698222018716
Q1,seq_Q3_1p5_0p15,0.5904248838716277,0.6185058715032128,0.21269611440795771,0.49503698222018716
Q1,seq_Q3_1p5_0p3,0.5904248838716277,0.6185058715032128,0.21269611440795771,0.49503698222018716
Q1,seq_Q3_1p5_0p45,0.5904248838716277,0.6185058715032128,0.21269611440795771,0.49503698222018716
Q1,seq_Q3_1p5_0p6,0.5904248838716277,0.6185058715032128,0.21269611440795771,0.49503698222018716
