target,config_key,model,param_profile,weight_profile,top_k,shrink,full_logloss,last_logloss,full_delta_vs_anchor,last_delta_vs_anchor,rank_score,fold0_logloss,fold1_logloss,fold2_logloss,fold3_logloss,fold4_logloss,candidate,selection_mode
Q1,ridge|ridge1|uniform|top80,ridge,ridge1,uniform,80,0.0,0.5904248838716277,0.6185058715032128,0.0,0.0,0.6233982693683049,0.542826510063604,0.6312121035496189,0.5935222474440965,0.5701035275859474,0.6185058715032128,ridge_residual_composite,composite
Q2,ridge|ridge1|uniform|top80,ridge,ridge1,uniform,80,0.0,0.6928798566239225,0.6380843693004014,0.0,0.0,0.6562648363636676,0.711513567173958,0.6320549532598854,0.7975184800361131,0.6842455848228304,0.6380843693004014,ridge_residual_composite,composite
Q3,ridge|ridge1|uniform|top80,ridge,ridge1,uniform,80,0.0,0.6626805461282007,0.6346920082407534,0.0,0.0,0.6442038137020795,0.6945061214538464,0.6727576578357087,0.6955517920765923,0.613734493992541,0.6346920082407534,ridge_residual_composite,composite
S1,ridge|ridge1|recent_class|top80,ridge,ridge1,recent_class,80,0.03,0.4903090218001685,0.43562607229581496,-0.0020431314136835077,-0.013918393721161215,0.4424753132246613,0.4697316207371701,0.4883365200036136,0.5316255660050593,0.5248864457816078,0.43562607229581496,ridge_residual_composite,composite
S2,ridge|ridge1|recent_resid|top80,ridge,ridge1,recent_resid,80,0.2,0.5616316446878189,0.5867256036298656,0.0015112389981106755,-0.03608971926556781,0.5926819746203822,0.586087075466227,0.5315899472503148,0.5324740247428502,0.5708999148850425,0.5867256036298656,ridge_residual_composite,composite
S3,ridge|ridge1|recent_resid|top80,ridge,ridge1,recent_resid,80,0.03,0.5388211644606621,0.5968762857369424,-0.0027302100610260283,-0.003802739253631171,0.6046923434255054,0.4992705576558456,0.5280256857926122,0.569521974670069,0.5069897314753704,0.5968762857369424,ridge_residual_composite,composite
S4,ridge|ridge1|uniform|top80,ridge,ridge1,uniform,80,0.0,0.630799037604625,0.5886543846409902,0.0,0.0,0.5941676182721094,0.6568138600711415,0.5959304507305941,0.649066667040829,0.6602097780743036,0.5886543846409902,ridge_residual_composite,composite
Q1,ridge|ridge1|uniform|top80,ridge,ridge1,uniform,80,0.0,0.5904248838716277,0.6185058715032128,0.0,0.0,0.6233982693683049,0.542826510063604,0.6312121035496189,0.5935222474440965,0.5701035275859474,0.6185058715032128,ridge_residual_last,last
Q2,ridge|ridge1|uniform|top80,ridge,ridge1,uniform,80,0.0,0.6928798566239225,0.6380843693004014,0.0,0.0,0.6562648363636676,0.711513567173958,0.6320549532598854,0.7975184800361131,0.6842455848228304,0.6380843693004014,ridge_residual_last,last
Q3,ridge|ridge1|uniform|top160,ridge,ridge1,uniform,160,0.05,0.6951719630373173,0.6334570874295802,0.03249141690911661,-0.001234920811173268,0.6902672022246035,0.7052882304898518,0.6755366065660525,0.8444427889767696,0.6175423341898462,0.6334570874295802,ridge_residual_last,last
S1,ridge|ridge1|recent_class|top80,ridge,ridge1,recent_class,80,0.03,0.4903090218001685,0.43562607229581496,-0.0020431314136835077,-0.013918393721161215,0.4424753132246613,0.4697316207371701,0.4883365200036136,0.5316255660050593,0.5248864457816078,0.43562607229581496,ridge_residual_last,last
