base,recent_k,frac,delta,full_logloss,last_logloss,full_delta_vs_base
anchor,3,0.1,0.35,0.5953596076004287,0.5930977979541033,-0.00047014349294627333
anchor,3,0.1,0.7,0.5955297042507255,0.5935923130937251,-0.000300046842649504
anchor,3,0.2,0.35,0.5957747792642515,0.593619967374858,-5.4971829123506843e-05
anchor,8,0.1,0.35,0.5955821735214961,0.59376888200542,-0.0002475775718788764
anchor,8,0.2,0.35,0.5955726779071171,0.5938591627874399,-0.00025707318625789455
anchor,5,0.1,0.35,0.595195072980789,0.5940777168876448,-0.0006346781125859957
anchor,3,0.1,1.05,0.5962696062851122,0.594678083545318,0.0004398551917371707
anchor,8,0.1,0.7,0.5957310746865756,0.5947720724719998,-9.867640679939171e-05
anchor,5,0.2,0.35,0.5952652546366437,0.5950372142679122,-0.0005644964567312893
anchor,3,0.2,0.7,0.5969120135472341,0.5951998423232638,0.0010822624538591175
anchor,8,0.2,0.7,0.596053712964555,0.5953661826431915,0.00022396187118001176
anchor,5,0.1,0.7,0.5951921378236531,0.5955037321859856,-0.0006376132697218928
anchor,8,0.1,1.05,0.5962389883843343,0.5962406224942468,0.00040923729095931893
anchor,5,0.1,1.05,0.5957527409464697,0.5974888688193192,-7.701014690530972e-05
anchor,8,0.2,1.05,0.5972048381347552,0.5977120803517483,0.0013750870413802296
anchor,3,0.2,1.05,0.5991147268850562,0.597865087132404,0.0032849757916811884
anchor,5,0.2,0.7,0.5958834591192667,0.5979572120496531,5.370802589166335e-05
anchor,5,0.2,1.05,0.597559657587329,0.6019128920880651,0.001729906493953992
best_single,3,0.1,0.35,0.5970986609316657,0.5902317148492113,-0.00041697531325668447
best_single,3,0.1,0.7,0.597310969021885,0.5908027384869469,-0.0002046672230374691
best_single,3,0.2,0.35,0.597557631680543,0.5908253863718381,4.199543562055652e-05
best_single,8,0.1,0.35,0.5972950110039347,0.5908661397658035,-0.0002206252409877596
best_single,8,0.2,0.35,0.597306001602451,0.5909960579101554,-0.000209634642471479
best_single,5,0.1,0.35,0.5969258203775333,0.5911719813764267,-0.000589815867389154
best_single,8,0.1,0.7,0.5974648629022213,0.5919152375139433,-5.077334270109368e-05
best_single,3,0.1,1.05,0.5980829494270731,0.5919515611993074,0.0005673131821506416
best_single,5,0.2,0.35,0.5970322851135317,0.5921686012558239,-0.00048335113139075236
best_single,3,0.2,0.7,0.5987720797677564,0.592542260153276,0.0012564435228339388
best_single,8,0.2,0.7,0.5978238128775929,0.5925830139415337,0.0003081766326704649
best_single,5,0.1,0.7,0.5969576658610672,0.5926397875623639,-0.0005579703838551886
best_single,8,0.1,1.05,0.5979880129039394,0.5934222633710515,0.0004723766590170042
best_single,5,0.1,1.05,0.597543830031314,0.5946584676164192,2.819378639151715e-05
best_single,8,0.2,1.05,0.5990015398778142,0.594995832391081,0.0014859036328918052
best_single,5,0.2,0.7,0.5977136488706664,0.5951607557313451,0.0001980126257439263
best_single,3,0.2,1.05,0.6010336750975122,0.5953202368680313,0.003518038852589722
best_single,5,0.2,1.05,0.5994364194686016,0.599174044653737,0.0019207832236791678
sparse_greedy,8,0.1,0.35,0.5993343689410445,0.5828904220824139,-0.00015657668242896605
sparse_greedy,3,0.1,0.35,0.5996750774248275,0.5829885244920056,0.00018413180135401497
sparse_greedy,8,0.2,0.35,0.5993293740149258,0.5831558540385523,-0.0001615716085476837
sparse_greedy,5,0.1,0.35,0.5991970165275112,0.5833240764047135,-0.00029392909596226424
sparse_greedy,3,0.2,0.35,0.599808224260637,0.5835689497356344,0.00031727863716346505
sparse_greedy,8,0.1,0.7,0.5995563779920329,0.583858412693387,6.543236855938162e-05
sparse_greedy,3,0.1,0.7,0.6004649962445863,0.5841967920289893,0.0009740506211127764
sparse_greedy,5,0.2,0.35,0.5992340421115684,0.5844591498244792,-0.0002569035119051044
sparse_greedy,8,0.2,0.7,0.5998842341019097,0.5847985161579301,0.0003932884784362267
sparse_greedy,5,0.1,0.7,0.5995018631213537,0.5848366891063678,1.0917497880180704e-05
sparse_greedy,8,0.1,1.05,0.6001192271952777,0.5852724291892085,0.0006282815718041679
sparse_greedy,3,0.2,0.7,0.6012759718052114,0.5859112330221018,0.0017850261817379254
sparse_greedy,3,0.1,1.05,0.6017911935419489,0.5859565696102088,0.0023002479184753843
sparse_greedy,5,0.1,1.05,0.600337710252669,0.5868852984667109,0.0008467646291955289
sparse_greedy,8,0.2,1.05,0.6010874100143369,0.587257053317711,0.0015964643908633613
sparse_greedy,5,0.2,0.7,0.6001201661450383,0.5876357093908061,0.0006292205215647773
sparse_greedy,3,0.2,1.05,0.6037689605439177,0.5892897319779022,0.0042780149204442175
sparse_greedy,5,0.2,1.05,0.6020254353377398,0.5918203172436022,0.002534489714266286
