split,target,fold,subject_id,rows,drift,before_mean,after_mean
oof,Q1,0,id01,9,0.16666666666666663,0.38812273618277726,0.39175229671436557
oof,Q1,0,id02,10,0.08771929824561397,0.4647918364292587,0.4655345019670573
oof,Q1,0,id03,7,-0.21794871794871795,0.8131467496638531,0.804101323329119
oof,Q1,0,id04,12,0.5111111111111111,0.6110989039050624,0.614252921594127
oof,Q1,0,id05,9,-0.01904761904761909,0.7594300556964532,0.7594300556964532
oof,Q1,0,id06,10,-0.18421052631578946,0.30856119325719356,0.3070280768634693
oof,Q1,0,id07,10,0.17948717948717946,0.4231188600317646,0.426436483349918
oof,Q1,0,id08,12,0.2348484848484848,0.3669871002688796,0.37661160276003036
oof,Q1,0,id09,9,0.46875,0.38896768738382836,0.3977570518077927
oof,Q1,0,id10,7,0.24358974358974356,0.5007194466009841,0.5088734668486744
oof,Q1,1,id01,8,-0.2222222222222222,0.5384931070855641,0.5346552062461529
oof,Q1,1,id02,10,-0.06666666666666671,0.5967320905580747,0.5950935972349563
oof,Q1,1,id03,7,-0.04761904761904767,0.6039361347811463,0.6039361347811463
oof,Q1,1,id04,11,0.16666666666666663,0.5664943570866403,0.5725216175605664
oof,Q1,1,id05,9,0.0,0.602721395882925,0.602721395882925
oof,Q1,1,id06,10,0.0,0.3421052596537636,0.3421052596537636
oof,Q1,1,id07,10,0.06666666666666665,0.5429138311229478,0.5440203804629318
oof,Q1,1,id08,11,0.3333333333333333,0.43568284548160396,0.4477487269005845
oof,Q1,1,id09,8,-0.1111111111111111,0.41116197224183976,0.40880740380470804
oof,Q1,1,id10,7,-0.04761904761904767,0.3765408662626735,0.3765408662626735
oof,Q1,2,id01,8,-0.0784313725490196,0.2731288732263424,0.27212061859592834
oof,Q1,2,id02,9,-0.45,0.4846848028679077,0.4786887175142105
oof,Q1,2,id03,6,0.2857142857142857,0.8253749605561058,0.8302404079401123
oof,Q1,2,id04,12,-0.6086956521739131,0.5300147974512049,0.5194091483610302
oof,Q1,2,id05,9,0.16666666666666663,0.518591233254995,0.5221444167915119
oof,Q1,2,id06,9,0.2833333333333333,0.2614606508410236,0.2706216874297293
oof,Q1,2,id07,10,0.06666666666666665,0.6049432834417064,0.6058461936988087
oof,Q1,2,id08,11,0.18840579710144922,0.27331028280008335,0.2832583194770954
oof,Q1,2,id09,8,0.5294117647058824,0.5135307837168388,0.5197708351042517
oof,Q1,2,id10,6,0.023809523809523725,0.5143083995982666,0.5143083995982666
oof,Q1,3,id01,8,-0.4,0.5960919496717141,0.5867605639960971
oof,Q1,3,id02,10,0.48275862068965514,0.567250695192935,0.5700363240968704
oof,Q1,3,id03,7,0.19999999999999996,0.8037218581008274,0.8070301749428788
oof,Q1,3,id04,11,-0.45714285714285713,0.5747027961762879,0.5616395385192281
oof,Q1,3,id05,9,0.03703703703703698,0.6409251132707702,0.6409251132707702
oof,Q1,3,id06,10,0.1954022988505747,0.2774233306418789,0.2829996577205099
oof,Q1,3,id07,10,-0.23333333333333334,0.5178437707543291,0.5129914784771159
oof,Q1,3,id08,11,-0.10784313725490197,0.41112516752077366,0.40678258257967564
oof,Q1,3,id09,8,0.18666666666666665,0.5663546405849964,0.5708955715154045
oof,Q1,3,id10,7,-0.5,0.44861541818065076,0.44028716729654466
oof,Q1,4,id01,8,-0.3333333333333333,0.47099550677140567,0.4654485636212424
oof,Q1,4,id02,9,0.1282051282051282,0.5635519025845671,0.5660492457096865
oof,Q1,4,id03,6,0.14814814814814814,0.7213625043666081,0.7254129968990379
oof,Q1,4,id04,11,0.4782608695652174,0.6155045961847022,0.6236576379695051
oof,Q1,4,id05,8,-0.6388888888888888,0.43649764158998605,0.42914287460473455
oof,Q1,4,id06,9,0.15384615384615383,0.3466368529554634,0.3516183384511993
oof,Q1,4,id07,9,0.1416666666666666,0.47078227156452546,0.47465271575567514
oof,Q1,4,id08,11,0.28888888888888886,0.35646527187000354,0.37018824455172994
oof,Q1,4,id09,8,-0.09090909090909094,0.39999194140348737,0.3982019210578188
oof,Q1,4,id10,6,-0.1111111111111111,0.4950950375769163,0.48997125115252443
test,Q1,-1,id01,27,-0.059523809523809534,0.43367240138090374,0.43254879996420353
test,Q1,-1,id02,32,0.13541666666666663,0.5105957198340306,0.5132950211277225
test,Q1,-1,id03,21,0.18181818181818177,0.6787227179611905,0.6821541924490676
test,Q1,-1,id04,27,-0.47058823529411764,0.5842484958604136,0.5766791013644363
test,Q1,-1,id05,21,0.05128205128205121,0.5974882935120752,0.5988253173811356
test,Q1,-1,id06,24,0.19999999999999998,0.2615632648414763,0.2686952252391082
test,Q1,-1,id07,30,-0.2121212121212121,0.5296516335797071,0.5256782039299505
test,Q1,-1,id08,19,-0.4375,0.35189420653875336,0.34817344418761054
test,Q1,-1,id09,27,-0.130952380952381,0.5103423937300035,0.5081257774456561
test,Q1,-1,id10,22,-0.45454545454545453,0.4602822400374256,0.4526868290889162
oof,Q2,0,id01,9,-0.3229166666666667,0.5921550671379797,0.5824632763060394
oof,Q2,0,id02,10,-0.37719298245614036,0.5817299076354894,0.5730053132793465
oof,Q2,0,id03,7,0.11538461538461542,0.6112780898979978,0.6156549890072023
oof,Q2,0,id04,12,0.11111111111111105,0.5896553205893887,0.5947295101238106
oof,Q2,0,id05,9,0.32380952380952377,0.5682193851330469,0.5771669146886005
oof,Q2,0,id06,10,0.5,0.5804313568109685,0.5884606549802703
oof,Q2,0,id07,10,-0.15384615384615385,0.5738851747102789,0.569410069839688
oof,Q2,0,id08,12,-0.08333333333333337,0.6011025767723889,0.5971348227752818
oof,Q2,0,id09,9,0.4375,0.5716074027977129,0.5805804830671943
oof,Q2,0,id10,7,-0.12820512820512825,0.5812864304587811,0.5760023429352863
oof,Q2,1,id01,8,-0.2222222222222222,0.3942445166744371,0.38701534275568267
oof,Q2,1,id02,10,0.16666666666666663,0.5518612725044042,0.5564523063862307
oof,Q2,1,id03,7,0.09523809523809523,0.6141076286442594,0.6177340091631948
oof,Q2,1,id04,11,-0.25,0.3952736091235938,0.3836839742196778
oof,Q2,1,id05,9,-0.11111111111111116,0.6719857414723189,0.6685681047488801
oof,Q2,1,id06,10,0.0,0.2869956159315482,0.2869956159315482
oof,Q2,1,id07,10,0.06666666666666665,0.5681188665691235,0.5699630631286134
oof,Q2,1,id08,11,0.08333333333333337,0.7852087463810402,0.787884541103211
oof,Q2,1,id09,8,0.0,0.2827105335855472,0.2827105335855472
oof,Q2,1,id10,7,0.1428571428571429,0.6949391092113821,0.6995789352403644
oof,Q2,2,id01,8,-0.0784313725490196,0.46422728599087637,0.4613945046728558
oof,Q2,2,id02,9,0.06666666666666665,0.5733849622999884,0.5754844125518324
oof,Q2,2,id03,6,0.3571428571428571,0.59642445914381,0.6098658648802328
oof,Q2,2,id04,12,-0.34782608695652173,0.39788262693148874,0.3845423932577137
oof,Q2,2,id05,9,-0.6666666666666666,0.6101074957817726,0.6005724170257876
oof,Q2,2,id06,9,0.2833333333333333,0.2513677107493376,0.2588450466633708
oof,Q2,2,id07,10,0.06666666666666665,0.5724171121608086,0.5743074196251512
oof,Q2,2,id08,11,0.08695652173913049,0.7796842718841442,0.782756259404075
oof,Q2,2,id09,8,0.15686274509803919,0.33126577885912356,0.33649526444702416
oof,Q2,2,id10,6,-0.5714285714285714,0.5539347363401491,0.5393936881834849
oof,Q2,3,id01,8,0.4,0.6618680058207336,0.670640346441963
oof,Q2,3,id02,10,0.3448275862068966,0.6871427304300618,0.6936720832084892
oof,Q2,3,id03,7,-0.033333333333333326,0.6658245466098799,0.6658245466098799
oof,Q2,3,id04,11,-0.038095238095238126,0.47795735995160293,0.47795735995160293
oof,Q2,3,id05,9,0.07407407407407407,0.5757950897431505,0.578094725375473
oof,Q2,3,id06,10,0.7241379310344828,0.4833734564986433,0.49202758663724966
oof,Q2,3,id07,10,-0.26666666666666666,0.5953098451450097,0.5875893321119428
oof,Q2,3,id08,11,-0.4313725490196078,0.6804641451139335,0.6654946142241237
oof,Q2,3,id09,8,0.56,0.5661386316222803,0.5762602343318419
oof,Q2,3,id10,7,0.06666666666666665,0.5895626259855261,0.5921530565841129
oof,Q2,4,id01,8,0.09090909090909083,0.6421728441963174,0.6450398031184102
oof,Q2,4,id02,9,0.0,0.63302420994593,0.63302420994593
oof,Q2,4,id03,6,0.2222222222222222,0.7513141621164267,0.7583451090308334
oof,Q2,4,id04,11,0.25362318840579706,0.49052878420536383,0.5038180324349893
oof,Q2,4,id05,8,-0.4444444444444444,0.33183640336925113,0.3230634156835103
oof,Q2,4,id06,9,-0.3076923076923077,0.5578370768343474,0.5481397330356461
oof,Q2,4,id07,9,-0.16666666666666669,0.4582058790584466,0.453079167976022
oof,Q2,4,id08,11,0.2222222222222222,0.6375942342685043,0.6478358504283313
oof,Q2,4,id09,8,-0.3333333333333333,0.46335260546727774,0.4528477847112849
oof,Q2,4,id10,6,0.07407407407407407,0.5263507353464852,0.5298937961362377
test,Q2,-1,id01,27,-0.23809523809523808,0.6166441085173674,0.608977360825952
test,Q2,-1,id02,32,0.3125,0.6603306153548796,0.669069863321244
test,Q2,-1,id03,21,-0.06060606060606066,0.7654884268816984,0.763378287418192
test,Q2,-1,id04,27,-0.019607843137254943,0.5413525193995941,0.5413525193995941
test,Q2,-1,id05,21,-0.24358974358974356,0.4592684975981666,0.45102704426134077
test,Q2,-1,id06,24,0.7,0.5339794519635476,0.5440867399097439
test,Q2,-1,id07,30,-0.2424242424242425,0.5076479607655933,0.5009880351247996
test,Q2,-1,id08,19,-0.11458333333333337,0.70465375246772,0.7013584892965733
test,Q2,-1,id09,27,-0.39285714285714285,0.5535361271689245,0.5438490463533837
test,Q2,-1,id10,22,-0.2575757575757576,0.5444717850950228,0.5342696158400638
oof,Q3,0,id01,9,0.07291666666666663,0.6187304651663573,0.6209110644093636
oof,Q3,0,id02,10,-0.42982456140350883,0.612703116552721,0.6040897041866243
oof,Q3,0,id03,7,0.23076923076923073,0.6233530823435546,0.6318800758207879
oof,Q3,0,id04,12,-0.11111111111111116,0.6279361587876564,0.6227585154158702
oof,Q3,0,id05,9,-0.01904761904761909,0.6211653328740578,0.6211653328740578
oof,Q3,0,id06,10,0.39473684210526316,0.6140037287150826,0.621775917992039
oof,Q3,0,id07,10,0.15384615384615385,0.6003917686849178,0.6045336230725822
oof,Q3,0,id08,12,-0.45454545454545453,0.6173070410050405,0.6030156181388278
oof,Q3,0,id09,9,0.5625,0.5991716070194474,0.6080353331822548
oof,Q3,0,id10,7,-0.20512820512820512,0.605643045530644,0.5972501657422219
oof,Q3,1,id01,8,0.11111111111111105,0.5782704713515929,0.5821646683703855
oof,Q3,1,id02,10,0.4,0.7165764889186742,0.7230336637450001
oof,Q3,1,id03,7,0.09523809523809523,0.5824472503811854,0.5862614717698511
oof,Q3,1,id04,11,-0.08333333333333337,0.5873636377244776,0.5830318025323756
oof,Q3,1,id05,9,0.0,0.5835870262254557,0.5835870262254557
oof,Q3,1,id06,10,0.2333333333333333,0.5726830331923496,0.5791296837279456
oof,Q3,1,id07,10,0.16666666666666663,0.5698633570286121,0.5745048299095306
oof,Q3,1,id08,11,-0.08333333333333337,0.5648593425558492,0.5604767696380759
oof,Q3,1,id09,8,-0.1111111111111111,0.4362304277489906,0.43230375479811556
oof,Q3,1,id10,7,0.0,0.7059552412618074,0.7059552412618074
oof,Q3,2,id01,8,-0.25490196078431376,0.5876916239518338,0.5784349514463298
oof,Q3,2,id02,9,0.016666666666666607,0.5846436192020201,0.5846436192020201
oof,Q3,2,id03,6,0.2857142857142857,0.7299493194094042,0.7398812218547423
oof,Q3,2,id04,12,-0.07246376811594202,0.7300650733064565,0.7270710508684686
oof,Q3,2,id05,9,0.2777777777777778,0.7219093702130115,0.7283255455933614
oof,Q3,2,id06,9,-0.05,0.42969778359822164,0.4281455115280839
oof,Q3,2,id07,10,-0.1166666666666667,0.427694231758929,0.42443950195331726
oof,Q3,2,id08,11,0.3913043478260869,0.6725302516829154,0.6851727518347009
oof,Q3,2,id09,8,-0.13725490196078433,0.4196342753610284,0.4149083850791464
oof,Q3,2,id10,6,-0.4523809523809524,0.44287949997937776,0.4292851179773716
oof,Q3,3,id01,8,0.10666666666666658,0.7144653979146527,0.7173202809416961
oof,Q3,3,id02,10,0.27586206896551724,0.7295070187217506,0.7350455068224477
oof,Q3,3,id03,7,-0.08333333333333337,0.5914815785718689,0.5880540232545538
oof,Q3,3,id04,11,0.2857142857142857,0.7295271100141923,0.7401504225023359
oof,Q3,3,id05,9,0.0,0.5964756096633295,0.5964756096633295
oof,Q3,3,id06,10,0.6896551724137931,0.7148889702006269,0.7211102428371661
oof,Q3,3,id07,10,0.16666666666666663,0.5703219660981793,0.5748660629359285
oof,Q3,3,id08,11,-0.19607843137254904,0.5588403651820513,0.5484564183451496
