candidate,full_logloss,last_logloss,full_delta_vs_anchor,last_delta_vs_anchor,fold_std,tail3_mean,tail3_worst,rank_score,fold0_logloss,fold1_logloss,fold2_logloss,fold3_logloss,fold4_logloss
target_weighted_single_composite,0.5923529115546778,0.586688196743197,-0.003476839538697152,-0.006594010055137378,0.006320437138674739,0.5946321584475784,0.6043558623552135,0.5884384634465714,0.5896760820839752,0.5883318671754203,0.6043558623552135,0.5928524162443249,0.586688196743197
target_weighted_single_last,0.5930064871435757,0.5863451521270721,-0.0028232639497992595,-0.006937054671262377,0.007348015215464962,0.5954442746662307,0.6071357568728094,0.5884496189242562,0.5898706963162651,0.5889933435611399,0.6071357568728094,0.5928519149988108,0.5863451521270721
target_weighted_single_full,0.5914055054535676,0.5878574113464324,-0.004424245639807367,-0.005424795451901998,0.005969674247753777,0.5944474462912982,0.6023248478091368,0.5892753436196434,0.5883839920068773,0.5855600482135568,0.6023248478091368,0.5931600797183252,0.5878574113464324
