constraint,public_score,total_abs,total_mean,ref_abs,Q1_abs,Q1_mean,Q1_up_rate,Q1_risk,Q2_abs,Q2_mean,Q2_up_rate,Q2_risk,Q3_abs,Q3_mean,Q3_up_rate,Q3_risk,S1_abs,S1_mean,S1_up_rate,S1_risk,S2_abs,S2_mean,S2_up_rate,S2_risk,S3_abs,S3_mean,S3_up_rate,S3_risk,S4_abs,S4_mean,S4_up_rate,S4_risk,risk_mean,public_proxy_fit,public_proxy_residual
last_guard_0p008_last0.588383_full0.587743,0.5920118473,0.020602351163971692,-0.0073768179653846706,0.020450301110458886,0.017820126062224766,0.001879180925109512,0.5,0.0008910063031112383,0.009984234591587225,-0.003941857079099541,0.392,0.004887091274124206,0.0,0.0,0.0,0.0,0.019681754199442413,-0.01823437799646636,0.136,0.009696139479423601,0.03156779881671416,-0.009370071267571752,0.436,0.01878162879142108,0.02174751509185289,0.005413661020724857,0.6,0.03151067913094832,0.04341502938598039,-0.02738426136038941,0.272,0.08865942111321815,0.02206085229889237,0.5920541066005767,4.2259300576663605e-05
target_select_public_tight_last0.572477_full0.592635,0.5905116492,0.00687795246751382,-0.002756523096028727,0.0016954078737684802,0.009195887182961687,-0.004601881296890966,0.472,0.0004597943591480844,0.0026725171004301725,0.0026725171004301725,0.068,0.0009353809851505603,0.0009885936644600751,0.0009885936644600751,0.012,0.0002471484161150188,0.0015445348168980114,-0.0015445348168980114,0.0,0.0007722674084490057,0.025277245415574582,-0.025277245415574582,0.0,0.0012638622707787292,0.0,0.0,0.0,0.0,0.008466889092272214,0.008466889092272214,0.296,0.0001693377818454443,0.0005496844602124061,0.5907728213043151,0.0002611721043150883
public_aware_stack_blend_20260622_target_select_public_balanced__balanced_Q2_only_5_last0.570607_full0.592648,0.590284128,0.0081401886232051,-0.0023420013433345373,0.0,0.009195887182961687,-0.004601881296890966,0.472,0.0004597943591480844,0.011508170190269135,0.005574169369289501,0.564,0.00462125964869216,0.0009885936644600751,0.0009885936644600751,0.012,0.0002471484161150188,0.0015445348168980114,-0.0015445348168980114,0.0,0.0007722674084490057,0.025277245415574582,-0.025277245415574582,0.0,0.0012638622707787292,0.0,0.0,0.0,0.0,0.008466889092272214,0.008466889092272214,0.296,0.0001693377818454443,0.0010762385550040633,0.5902877355695624,3.607569562413815e-06
02_guarded_targetwise,0.5935970063,0.01190357108327487,0.0019973344348699607,0.01921586441080678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02073635986402288,0.007077971964605816,0.608,0.004501170571034867,0.016516518017420635,-0.00232749192365869,0.392,0.0068393563993341235,0.04164194512075086,0.008230191655206848,0.508,0.040733003257404775,0.0,0.0,0.0,0.0,0.004430174580729724,0.0010006693479357542,0.496,0.004341189980279117,0.008059245744007555,0.5932899673255458,-0.0003070389744541657
