source,target,fp_rate,fn_rate,brier,pred_pos_rate,true_pos_rate
anchor,Q1,0.13777777777777778,0.16666666666666666,0.20246830232784183,0.4666666666666667,0.4955555555555556
anchor,Q2,0.31555555555555553,0.14888888888888888,0.24960890173712338,0.7288888888888889,0.5622222222222222
anchor,Q3,0.3466666666666667,0.05555555555555555,0.23520063215236706,0.8911111111111111,0.6
anchor,S1,0.20222222222222222,0.044444444444444446,0.1622664444717711,0.84,0.6822222222222222
anchor,S2,0.22666666666666666,0.04888888888888889,0.1889447049266659,0.8288888888888889,0.6511111111111111
anchor,S3,0.25333333333333335,0.013333333333333334,0.18078573703786902,0.9022222222222223,0.6622222222222223
anchor,S4,0.2288888888888889,0.13111111111111112,0.21984234296262287,0.6577777777777778,0.56
submitted_public_best,Q1,0.13555555555555557,0.1688888888888889,0.1996026300178176,0.4622222222222222,0.4955555555555556
submitted_public_best,Q2,0.3377777777777778,0.11555555555555555,0.24953264072286926,0.7844444444444445,0.5622222222222222
submitted_public_best,Q3,0.3511111111111111,0.051111111111111114,0.23610989181403141,0.9,0.6
submitted_public_best,S1,0.2,0.044444444444444446,0.1608664498973766,0.8377777777777777,0.6822222222222222
submitted_public_best,S2,0.19555555555555557,0.08666666666666667,0.19016918371345892,0.76,0.6511111111111111
submitted_public_best,S3,0.21333333333333335,0.03111111111111111,0.17550714408434076,0.8444444444444444,0.6622222222222223
submitted_public_best,S4,0.24222222222222223,0.11555555555555555,0.217406947506689,0.6866666666666666,0.56
q2_big_probe,Q1,0.13555555555555557,0.1688888888888889,0.19990863935239717,0.4622222222222222,0.4955555555555556
q2_big_probe,Q2,0.32222222222222224,0.13555555555555557,0.2478586185555896,0.7488888888888889,0.5622222222222222
q2_big_probe,Q3,0.3488888888888889,0.051111111111111114,0.2358446752565367,0.8977777777777778,0.6
q2_big_probe,S1,0.2,0.044444444444444446,0.16086644989833127,0.8377777777777777,0.6822222222222222
q2_big_probe,S2,0.19777777777777777,0.08222222222222222,0.18900579583428395,0.7666666666666667,0.6511111111111111
q2_big_probe,S3,0.22,0.03111111111111111,0.17613607416693464,0.8511111111111112,0.6622222222222223
q2_big_probe,S4,0.24,0.11555555555555555,0.2176633257182439,0.6844444444444444,0.56
q2_micro_probe,Q1,0.13555555555555557,0.1688888888888889,0.1996026300178176,0.4622222222222222,0.4955555555555556
q2_micro_probe,Q2,0.34444444444444444,0.11333333333333333,0.24975744827101684,0.7933333333333333,0.5622222222222222
q2_micro_probe,Q3,0.3511111111111111,0.051111111111111114,0.23610989181403141,0.9,0.6
q2_micro_probe,S1,0.2,0.044444444444444446,0.1608664498973766,0.8377777777777777,0.6822222222222222
q2_micro_probe,S2,0.19555555555555557,0.08666666666666667,0.19016918371345892,0.76,0.6511111111111111
q2_micro_probe,S3,0.21333333333333335,0.03111111111111111,0.17550714408434076,0.8444444444444444,0.6622222222222223
q2_micro_probe,S4,0.24222222222222223,0.11555555555555555,0.217406947506689,0.6866666666666666,0.56
