source,target,full_logloss,last_logloss,mean_pred,mean_y,fold,fold_logloss,fold_mean_pred,fold_mean_y
anchor,Q1,0.5904248838716277,0.6185058715032128,0.49503698222018716,0.4955555555555556,,,,
anchor,Q1,,,,,0.0,0.542826510063604,0.4918684066788511,0.45263157894736844
anchor,Q1,,,,,1.0,0.6312121035496189,0.5024893763348444,0.5164835164835165
anchor,Q1,,,,,2.0,0.5935222474440965,0.46738671720203934,0.4772727272727273
anchor,Q1,,,,,3.0,0.5701035275859474,0.530808189472748,0.45054945054945056
anchor,Q1,,,,,4.0,0.6185058715032128,0.4809298089685052,0.5882352941176471
anchor,Q2,0.6928798566239225,0.6380843693004014,0.5536289754273369,0.5622222222222222,,,,
anchor,Q2,,,,,0.0,0.711513567173958,0.5851089210318402,0.4631578947368421
anchor,Q2,,,,,1.0,0.6320549532598854,0.5239769527573842,0.5384615384615384
anchor,Q2,,,,,2.0,0.7975184800361131,0.514262850530627,0.6704545454545454
anchor,Q2,,,,,3.0,0.6842455848228304,0.5955474284819601,0.4725274725274725
anchor,Q2,,,,,4.0,0.6380843693004014,0.5460687282917801,0.6823529411764706
anchor,Q3,0.6626805461282007,0.6346920082407534,0.6071715642197036,0.6,,,,
anchor,Q3,,,,,0.0,0.6945061214538464,0.614405095554713,0.5473684210526316
anchor,Q3,,,,,1.0,0.6727576578357087,0.5895910928001612,0.5934065934065934
anchor,Q3,,,,,2.0,0.6955517920765923,0.581334011746974,0.6022727272727273
anchor,Q3,,,,,3.0,0.613734493992541,0.6253230558499369,0.6153846153846154
anchor,Q3,,,,,4.0,0.6346920082407534,0.6252251677679563,0.6470588235294118
anchor,S1,0.492352153213852,0.4495444660169762,0.7187120712692121,0.6822222222222222,,,,
anchor,S1,,,,,0.0,0.470478165353136,0.730426297901467,0.6947368421052632
anchor,S1,,,,,1.0,0.4862291390835621,0.7076869913623949,0.7252747252747253
anchor,S1,,,,,2.0,0.5290528261383755,0.6953353421812065,0.6363636363636364
anchor,S1,,,,,3.0,0.5258050908732016,0.736813103450629,0.6153846153846154
anchor,S1,,,,,4.0,0.4495444660169762,0.7222460591832328,0.7411764705882353
anchor,S2,0.5601204056897082,0.6228153228954334,0.6620564553947333,0.6511111111111111,,,,
anchor,S2,,,,,0.0,0.568585442652781,0.6734572460564845,0.6631578947368421
anchor,S2,,,,,1.0,0.5261479218628835,0.658641369384168,0.6813186813186813
anchor,S2,,,,,2.0,0.5251425064575487,0.6635199086280505,0.6590909090909091
anchor,S2,,,,,3.0,0.5605193582907249,0.6407257123519406,0.6813186813186813
anchor,S2,,,,,4.0,0.6228153228954334,0.6742918841765834,0.5647058823529412
anchor,S3,0.5415513745216881,0.6006790249905736,0.6638669995926209,0.6622222222222223,,,,
anchor,S3,,,,,0.0,0.5039339129482664,0.6503730141558852,0.7157894736842105
anchor,S3,,,,,1.0,0.5311459193317364,0.6596023242376965,0.6813186813186813
anchor,S3,,,,,2.0,0.5670960119251663,0.6733774222318698,0.6136363636363636
anchor,S3,,,,,3.0,0.5112961755150871,0.6651221208418299,0.6593406593406593
anchor,S3,,,,,4.0,0.6006790249905736,0.6723244213321042,0.6352941176470588
anchor,S4,0.630799037604625,0.5886543846409902,0.5595697013421265,0.56,,,,
anchor,S4,,,,,0.0,0.6568138600711415,0.5670567486985879,0.6105263157894737
anchor,S4,,,,,1.0,0.5959304507305941,0.5715605261966145,0.5824175824175825
anchor,S4,,,,,2.0,0.649066667040829,0.5698606065245412,0.5340909090909091
anchor,S4,,,,,3.0,0.6602097780743036,0.5619353819328035,0.5274725274725275
anchor,S4,,,,,4.0,0.5886543846409902,0.5251778054547577,0.5411764705882353
submitted_public_best,Q1,0.5845562623298485,0.603239911067091,0.4861177494341899,0.4955555555555556,,,,
submitted_public_best,Q1,,,,,0.0,0.5323076641878073,0.4910954872249923,0.45263157894736844
