target,fold,model,param_profile,weight_profile,top_k,features,feature_bank,te_source_count,te_generated_features,stop_policy,stop_iteration,weight_min,weight_max,weight_std,delta_std_val
Q1,0,ridge,ridge1,uniform,40,40,bins_te,8,32,closed_form_no_early_stopping,,0.4158661971535842,1.187354292467242,0.18335694434297217,1.6630973901323725
Q1,1,ridge,ridge1,uniform,40,40,bins_te,8,32,closed_form_no_early_stopping,,0.24794201030751714,1.2397080311417166,0.24066324846605822,0.9368479134192994
Q1,2,ridge,ridge1,uniform,40,40,bins_te,8,32,closed_form_no_early_stopping,,0.2423249647472011,1.2116228491115475,0.22688125443272425,0.9011686963038525
Q1,3,ridge,ridge1,uniform,40,40,bins_te,8,32,closed_form_no_early_stopping,,0.24590782552499674,1.2295371238050008,0.2416877643777565,0.9985084765915438
Q1,4,ridge,ridge1,uniform,40,40,bins_te,8,32,closed_form_no_early_stopping,,0.24745754180651633,1.237273658577127,0.24173732928984853,1.1791721048011332
Q1,0,ridge,ridge1,recent_class,40,40,bins_te,8,32,closed_form_no_early_stopping,,0.23754708285294895,2.6308463820194636,0.45208164287950825,1.4740981061157592
Q1,1,ridge,ridge1,recent_class,40,40,bins_te,8,32,closed_form_no_early_stopping,,0.09136777819054104,2.7763430084733804,0.5575174349136569,0.9776943889449857
Q1,2,ridge,ridge1,recent_class,40,40,bins_te,8,32,closed_form_no_early_stopping,,0.0969629735972614,2.863525043919801,0.5850019069312808,0.9670112660575815
Q1,3,ridge,ridge1,recent_class,40,40,bins_te,8,32,closed_form_no_early_stopping,,0.10314844724447067,3.3065263356758634,0.6316127585774874,0.9901115192368561
Q1,4,ridge,ridge1,recent_class,40,40,bins_te,8,32,closed_form_no_early_stopping,,0.12637307318994426,2.555892593391308,0.4753093223667575,1.239234898721187
Q1,0,ridge,ridge1,recent_resid,40,40,bins_te,8,32,closed_form_no_early_stopping,,0.11537013885141716,3.279968059085695,0.6455041997119567,1.4830085507259632
Q1,1,ridge,ridge1,recent_resid,40,40,bins_te,8,32,closed_form_no_early_stopping,,0.04122050857146306,3.499056242262317,0.7551299891546026,1.083090807463096
Q1,2,ridge,ridge1,recent_resid,40,40,bins_te,8,32,closed_form_no_early_stopping,,0.043692238352012774,3.636293216836171,0.8095968458768474,1.142968617653173
Q1,3,ridge,ridge1,recent_resid,40,40,bins_te,8,32,closed_form_no_early_stopping,,0.0499929725843492,4.315046198958547,0.9071980606289488,1.0123888872993607
Q1,4,ridge,ridge1,recent_resid,40,40,bins_te,8,32,closed_form_no_early_stopping,,0.06365964941114013,3.4043686016690367,0.6666927376918634,1.4270978608834874
Q1,0,ridge,ridge3,uniform,40,40,bins_te,8,32,closed_form_no_early_stopping,,0.4158661971535842,1.187354292467242,0.18335694434297217,1.5864383111439402
Q1,1,ridge,ridge3,uniform,40,40,bins_te,8,32,closed_form_no_early_stopping,,0.24794201030751714,1.2397080311417166,0.24066324846605822,0.8801638179879714
Q1,2,ridge,ridge3,uniform,40,40,bins_te,8,32,closed_form_no_early_stopping,,0.2423249647472011,1.2116228491115475,0.22688125443272425,0.8292670137985508
Q1,3,ridge,ridge3,uniform,40,40,bins_te,8,32,closed_form_no_early_stopping,,0.24590782552499674,1.2295371238050008,0.2416877643777565,0.9866879880886111
Q1,4,ridge,ridge3,uniform,40,40,bins_te,8,32,closed_form_no_early_stopping,,0.24745754180651633,1.237273658577127,0.24173732928984853,1.079173117493534
Q1,0,ridge,ridge3,recent_class,40,40,bins_te,8,32,closed_form_no_early_stopping,,0.23754708285294895,2.6308463820194636,0.45208164287950825,1.439324165047898
Q1,1,ridge,ridge3,recent_class,40,40,bins_te,8,32,closed_form_no_early_stopping,,0.09136777819054104,2.7763430084733804,0.5575174349136569,0.9302596602587918
Q1,2,ridge,ridge3,recent_class,40,40,bins_te,8,32,closed_form_no_early_stopping,,0.0969629735972614,2.863525043919801,0.5850019069312808,0.8888649760983206
Q1,3,ridge,ridge3,recent_class,40,40,bins_te,8,32,closed_form_no_early_stopping,,0.10314844724447067,3.3065263356758634,0.6316127585774874,0.9679447092185953
Q1,4,ridge,ridge3,recent_class,40,40,bins_te,8,32,closed_form_no_early_stopping,,0.12637307318994426,2.555892593391308,0.4753093223667575,1.1280804782343363
Q1,0,ridge,ridge3,recent_resid,40,40,bins_te,8,32,closed_form_no_early_stopping,,0.11537013885141716,3.279968059085695,0.6455041997119567,1.4660476890574063
Q1,1,ridge,ridge3,recent_resid,40,40,bins_te,8,32,closed_form_no_early_stopping,,0.04122050857146306,3.499056242262317,0.7551299891546026,1.0491593654080305
Q1,2,ridge,ridge3,recent_resid,40,40,bins_te,8,32,closed_form_no_early_stopping,,0.043692238352012774,3.636293216836171,0.8095968458768474,1.0633767905120033
Q1,3,ridge,ridge3,recent_resid,40,40,bins_te,8,32,closed_form_no_early_stopping,,0.0499929725843492,4.315046198958547,0.9071980606289488,0.9886710185612679
Q1,4,ridge,ridge3,recent_resid,40,40,bins_te,8,32,closed_form_no_early_stopping,,0.06365964941114013,3.4043686016690367,0.6666927376918634,1.2968204501930485
Q1,0,ridge,ridge10,uniform,40,40,bins_te,8,32,closed_form_no_early_stopping,,0.4158661971535842,1.187354292467242,0.18335694434297217,1.3860407244290263
Q1,1,ridge,ridge10,uniform,40,40,bins_te,8,32,closed_form_no_early_stopping,,0.24794201030751714,1.2397080311417166,0.24066324846605822,0.8309047982831934
Q1,2,ridge,ridge10,uniform,40,40,bins_te,8,32,closed_form_no_early_stopping,,0.2423249647472011,1.2116228491115475,0.22688125443272425,0.7761996727402681
Q1,3,ridge,ridge10,uniform,40,40,bins_te,8,32,closed_form_no_early_stopping,,0.24590782552499674,1.2295371238050008,0.2416877643777565,0.9616318887545036
Q1,4,ridge,ridge10,uniform,40,40,bins_te,8,32,closed_form_no_early_stopping,,0.24745754180651633,1.237273658577127,0.24173732928984853,0.9412903266839134
Q1,0,ridge,ridge10,recent_class,40,40,bins_te,8,32,closed_form_no_early_stopping,,0.23754708285294895,2.6308463820194636,0.45208164287950825,1.2897757686969642
Q1,1,ridge,ridge10,recent_class,40,40,bins_te,8,32,closed_form_no_early_stopping,,0.09136777819054104,2.7763430084733804,0.5575174349136569,0.8889542115018694
Q1,2,ridge,ridge10,recent_class,40,40,bins_te,8,32,closed_form_no_early_stopping,,0.0969629735972614,2.863525043919801,0.5850019069312808,0.8229921409798302
Q1,3,ridge,ridge10,recent_class,40,40,bins_te,8,32,closed_form_no_early_stopping,,0.10314844724447067,3.3065263356758634,0.6316127585774874,0.9297044492855079
Q1,4,ridge,ridge10,recent_class,40,40,bins_te,8,32,closed_form_no_early_stopping,,0.12637307318994426,2.555892593391308,0.4753093223667575,0.983991403916982
Q1,0,ridge,ridge10,recent_resid,40,40,bins_te,8,32,closed_form_no_early_stopping,,0.11537013885141716,3.279968059085695,0.6455041997119567,1.34839189911621
Q1,1,ridge,ridge10,recent_resid,40,40,bins_te,8,32,closed_form_no_early_stopping,,0.04122050857146306,3.499056242262317,0.7551299891546026,1.0197327266843588
Q1,2,ridge,ridge10,recent_resid,40,40,bins_te,8,32,closed_form_no_early_stopping,,0.043692238352012774,3.636293216836171,0.8095968458768474,0.9978640939518494
Q1,3,ridge,ridge10,recent_resid,40,40,bins_te,8,32,closed_form_no_early_stopping,,0.0499929725843492,4.315046198958547,0.9071980606289488,0.9429554647967798
Q1,4,ridge,ridge10,recent_resid,40,40,bins_te,8,32,closed_form_no_early_stopping,,0.06365964941114013,3.4043686016690367,0.6666927376918634,1.133625438267904
Q1,0,ridge,ridge1,uniform,80,80,bins_te,8,32,closed_form_no_early_stopping,,0.4158661971535842,1.187354292467242,0.18335694434297217,260639906272.01517
Q1,1,ridge,ridge1,uniform,80,80,bins_te,8,32,closed_form_no_early_stopping,,0.24794201030751714,1.2397080311417166,0.24066324846605822,1.099739530489773
Q1,2,ridge,ridge1,uniform,80,80,bins_te,8,32,closed_form_no_early_stopping,,0.2423249647472011,1.2116228491115475,0.22688125443272425,1.477990790225971
Q1,3,ridge,ridge1,uniform,80,80,bins_te,8,32,closed_form_no_early_stopping,,0.24590782552499674,1.2295371238050008,0.2416877643777565,1.2405627110866135
Q1,4,ridge,ridge1,uniform,80,80,bins_te,8,32,closed_form_no_early_stopping,,0.24745754180651633,1.237273658577127,0.24173732928984853,1.2702142844690123
Q1,0,ridge,ridge1,recent_class,80,80,bins_te,8,32,closed_form_no_early_stopping,,0.23754708285294895,2.6308463820194636,0.45208164287950825,130437819965.34628
Q1,1,ridge,ridge1,recent_class,80,80,bins_te,8,32,closed_form_no_early_stopping,,0.09136777819054104,2.7763430084733804,0.5575174349136569,1.1114875198732348
Q1,2,ridge,ridge1,recent_class,80,80,bins_te,8,32,closed_form_no_early_stopping,,0.0969629735972614,2.863525043919801,0.5850019069312808,1.5134192700355804
Q1,3,ridge,ridge1,recent_class,80,80,bins_te,8,32,closed_form_no_early_stopping,,0.10314844724447067,3.3065263356758634,0.6316127585774874,1.1382720883503659
Q1,4,ridge,ridge1,recent_class,80,80,bins_te,8,32,closed_form_no_early_stopping,,0.12637307318994426,2.555892593391308,0.4753093223667575,1.2162864677229557
Q1,0,ridge,ridge1,recent_resid,80,80,bins_te,8,32,closed_form_no_early_stopping,,0.11537013885141716,3.279968059085695,0.6455041997119567,316847130354.41583
Q1,1,ridge,ridge1,recent_resid,80,80,bins_te,8,32,closed_form_no_early_stopping,,0.04122050857146306,3.499056242262317,0.7551299891546026,1.127848759147978
Q1,2,ridge,ridge1,recent_resid,80,80,bins_te,8,32,closed_form_no_early_stopping,,0.043692238352012774,3.636293216836171,0.8095968458768474,1.6691776887254932
Q1,3,ridge,ridge1,recent_resid,80,80,bins_te,8,32,closed_form_no_early_stopping,,0.0499929725843492,4.315046198958547,0.9071980606289488,1.156654519703814
Q1,4,ridge,ridge1,recent_resid,80,80,bins_te,8,32,closed_form_no_early_stopping,,0.06365964941114013,3.4043686016690367,0.6666927376918634,1.3865241905466728
Q1,0,ridge,ridge3,uniform,80,80,bins_te,8,32,closed_form_no_early_stopping,,0.4158661971535842,1.187354292467242,0.18335694434297217,230244412524.3352
Q1,1,ridge,ridge3,uniform,80,80,bins_te,8,32,closed_form_no_early_stopping,,0.24794201030751714,1.2397080311417166,0.24066324846605822,1.086763970761769
Q1,2,ridge,ridge3,uniform,80,80,bins_te,8,32,closed_form_no_early_stopping,,0.2423249647472011,1.2116228491115475,0.22688125443272425,1.3889830825225216
Q1,3,ridge,ridge3,uniform,80,80,bins_te,8,32,closed_form_no_early_stopping,,0.24590782552499674,1.2295371238050008,0.2416877643777565,1.2580075080622992
Q1,4,ridge,ridge3,uniform,80,80,bins_te,8,32,closed_form_no_early_stopping,,0.24745754180651633,1.237273658577127,0.24173732928984853,1.1893470700975415
Q1,0,ridge,ridge3,recent_class,80,80,bins_te,8,32,closed_form_no_early_stopping,,0.23754708285294895,2.6308463820194636,0.45208164287950825,118681909407.01495
Q1,1,ridge,ridge3,recent_class,80,80,bins_te,8,32,closed_form_no_early_stopping,,0.09136777819054104,2.7763430084733804,0.5575174349136569,1.1162796323945283
Q1,2,ridge,ridge3,recent_class,80,80,bins_te,8,32,closed_form_no_early_stopping,,0.0969629735972614,2.863525043919801,0.5850019069312808,1.4253663065774131
Q1,3,ridge,ridge3,recent_class,80,80,bins_te,8,32,closed_form_no_early_stopping,,0.10314844724447067,3.3065263356758634,0.6316127585774874,1.1404768350259693
Q1,4,ridge,ridge3,recent_class,80,80,bins_te,8,32,closed_form_no_early_stopping,,0.12637307318994426,2.555892593391308,0.4753093223667575,1.1494433127034478
Q1,0,ridge,ridge3,recent_resid,80,80,bins_te,8,32,closed_form_no_early_stopping,,0.11537013885141716,3.279968059085695,0.6455041997119567,286059293083.93945
Q1,1,ridge,ridge3,recent_resid,80,80,bins_te,8,32,closed_form_no_early_stopping,,0.04122050857146306,3.499056242262317,0.7551299891546026,1.1364446978810656
Q1,2,ridge,ridge3,recent_resid,80,80,bins_te,8,32,closed_form_no_early_stopping,,0.043692238352012774,3.636293216836171,0.8095968458768474,1.5838803283839689
Q1,3,ridge,ridge3,recent_resid,80,80,bins_te,8,32,closed_form_no_early_stopping,,0.0499929725843492,4.315046198958547,0.9071980606289488,1.1778686930198607
Q1,4,ridge,ridge3,recent_resid,80,80,bins_te,8,32,closed_form_no_early_stopping,,0.06365964941114013,3.4043686016690367,0.6666927376918634,1.3024773107829175
Q1,0,ridge,ridge10,uniform,80,80,bins_te,8,32,closed_form_no_early_stopping,,0.4158661971535842,1.187354292467242,0.18335694434297217,36275270778.103546
Q1,1,ridge,ridge10,uniform,80,80,bins_te,8,32,closed_form_no_early_stopping,,0.24794201030751714,1.2397080311417166,0.24066324846605822,1.044547108445182
Q1,2,ridge,ridge10,uniform,80,80,bins_te,8,32,closed_form_no_early_stopping,,0.2423249647472011,1.2116228491115475,0.22688125443272425,1.2739857012317275
Q1,3,ridge,ridge10,uniform,80,80,bins_te,8,32,closed_form_no_early_stopping,,0.24590782552499674,1.2295371238050008,0.2416877643777565,1.200370916132822
Q1,4,ridge,ridge10,uniform,80,80,bins_te,8,32,closed_form_no_early_stopping,,0.24745754180651633,1.237273658577127,0.24173732928984853,1.1113604873587093
Q1,0,ridge,ridge10,recent_class,80,80,bins_te,8,32,closed_form_no_early_stopping,,0.23754708285294895,2.6308463820194636,0.45208164287950825,242990078393.68262
Q1,1,ridge,ridge10,recent_class,80,80,bins_te,8,32,closed_form_no_early_stopping,,0.09136777819054104,2.7763430084733804,0.5575174349136569,1.090856553594068
Q1,2,ridge,ridge10,recent_class,80,80,bins_te,8,32,closed_form_no_early_stopping,,0.0969629735972614,2.863525043919801,0.5850019069312808,1.3121835225760756
Q1,3,ridge,ridge10,recent_class,80,80,bins_te,8,32,closed_form_no_early_stopping,,0.10314844724447067,3.3065263356758634,0.6316127585774874,1.1144565649091935
Q1,4,ridge,ridge10,recent_class,80,80,bins_te,8,32,closed_form_no_early_stopping,,0.12637307318994426,2.555892593391308,0.4753093223667575,1.0789434317803717
Q1,0,ridge,ridge10,recent_resid,80,80,bins_te,8,32,closed_form_no_early_stopping,,0.11537013885141716,3.279968059085695,0.6455041997119567,370655281275.88947
Q1,1,ridge,ridge10,recent_resid,80,80,bins_te,8,32,closed_form_no_early_stopping,,0.04122050857146306,3.499056242262317,0.7551299891546026,1.1225931303001275
Q1,2,ridge,ridge10,recent_resid,80,80,bins_te,8,32,closed_form_no_early_stopping,,0.043692238352012774,3.636293216836171,0.8095968458768474,1.474220503131086
Q1,3,ridge,ridge10,recent_resid,80,80,bins_te,8,32,closed_form_no_early_stopping,,0.0499929725843492,4.315046198958547,0.9071980606289488,1.1858285678870628
Q1,4,ridge,ridge10,recent_resid,80,80,bins_te,8,32,closed_form_no_early_stopping,,0.06365964941114013,3.4043686016690367,0.6666927376918634,1.2048003240933496
Q1,0,ridge,ridge1,uniform,120,120,bins_te,8,32,closed_form_no_early_stopping,,0.4158661971535842,1.187354292467242,0.18335694434297217,948695525608.0044
Q1,1,ridge,ridge1,uniform,120,120,bins_te,8,32,closed_form_no_early_stopping,,0.24794201030751714,1.2397080311417166,0.24066324846605822,1.198449760495489
Q1,2,ridge,ridge1,uniform,120,120,bins_te,8,32,closed_form_no_early_stopping,,0.2423249647472011,1.2116228491115475,0.22688125443272425,1.6650956791575853
Q1,3,ridge,ridge1,uniform,120,120,bins_te,8,32,closed_form_no_early_stopping,,0.24590782552499674,1.2295371238050008,0.2416877643777565,1.368964368202075
Q1,4,ridge,ridge1,uniform,120,120,bins_te,8,32,closed_form_no_early_stopping,,0.24745754180651633,1.237273658577127,0.24173732928984853,1.3597093510727192
Q1,0,ridge,ridge1,recent_class,120,120,bins_te,8,32,closed_form_no_early_stopping,,0.23754708285294895,2.6308463820194636,0.45208164287950825,729157938545.1293
Q1,1,ridge,ridge1,recent_class,120,120,bins_te,8,32,closed_form_no_early_stopping,,0.09136777819054104,2.7763430084733804,0.5575174349136569,1.2247795975165523
Q1,2,ridge,ridge1,recent_class,120,120,bins_te,8,32,closed_form_no_early_stopping,,0.0969629735972614,2.863525043919801,0.5850019069312808,1.6890780938514776
Q1,3,ridge,ridge1,recent_class,120,120,bins_te,8,32,closed_form_no_early_stopping,,0.10314844724447067,3.3065263356758634,0.6316127585774874,1.2743614385338324
Q1,4,ridge,ridge1,recent_class,120,120,bins_te,8,32,closed_form_no_early_stopping,,0.12637307318994426,2.555892593391308,0.4753093223667575,1.321650454037857
Q1,0,ridge,ridge1,recent_resid,120,120,bins_te,8,32,closed_form_no_early_stopping,,0.11537013885141716,3.279968059085695,0.6455041997119567,646401063197.3359
Q1,1,ridge,ridge1,recent_resid,120,120,bins_te,8,32,closed_form_no_early_stopping,,0.04122050857146306,3.499056242262317,0.7551299891546026,1.287147749982502
Q1,2,ridge,ridge1,recent_resid,120,120,bins_te,8,32,closed_form_no_early_stopping,,0.043692238352012774,3.636293216836171,0.8095968458768474,1.8644770634296308
Q1,3,ridge,ridge1,recent_resid,120,120,bins_te,8,32,closed_form_no_early_stopping,,0.0499929725843492,4.315046198958547,0.9071980606289488,1.329510961708758
Q1,4,ridge,ridge1,recent_resid,120,120,bins_te,8,32,closed_form_no_early_stopping,,0.06365964941114013,3.4043686016690367,0.6666927376918634,1.4643881358837798
Q1,0,ridge,ridge3,uniform,120,120,bins_te,8,32,closed_form_no_early_stopping,,0.4158661971535842,1.187354292467242,0.18335694434297217,882851888111.4403
Q1,1,ridge,ridge3,uniform,120,120,bins_te,8,32,closed_form_no_early_stopping,,0.24794201030751714,1.2397080311417166,0.24066324846605822,1.2040496213567267
Q1,2,ridge,ridge3,uniform,120,120,bins_te,8,32,closed_form_no_early_stopping,,0.2423249647472011,1.2116228491115475,0.22688125443272425,1.5561453371625709
Q1,3,ridge,ridge3,uniform,120,120,bins_te,8,32,closed_form_no_early_stopping,,0.24590782552499674,1.2295371238050008,0.2416877643777565,1.3442612407058514
Q1,4,ridge,ridge3,uniform,120,120,bins_te,8,32,closed_form_no_early_stopping,,0.24745754180651633,1.237273658577127,0.24173732928984853,1.258662682212128
Q1,0,ridge,ridge3,recent_class,120,120,bins_te,8,32,closed_form_no_early_stopping,,0.23754708285294895,2.6308463820194636,0.45208164287950825,672281499514.9233
Q1,1,ridge,ridge3,recent_class,120,120,bins_te,8,32,closed_form_no_early_stopping,,0.09136777819054104,2.7763430084733804,0.5575174349136569,1.2164142919559926
Q1,2,ridge,ridge3,recent_class,120,120,bins_te,8,32,closed_form_no_early_stopping,,0.0969629735972614,2.863525043919801,0.5850019069312808,1.580885942891479
Q1,3,ridge,ridge3,recent_class,120,120,bins_te,8,32,closed_form_no_early_stopping,,0.10314844724447067,3.3065263356758634,0.6316127585774874,1.2659897314973823
Q1,4,ridge,ridge3,recent_class,120,120,bins_te,8,32,closed_form_no_early_stopping,,0.12637307318994426,2.555892593391308,0.4753093223667575,1.2352725028379636
Q1,0,ridge,ridge3,recent_resid,120,120,bins_te,8,32,closed_form_no_early_stopping,,0.11537013885141716,3.279968059085695,0.6455041997119567,596972828453.0168
Q1,1,ridge,ridge3,recent_resid,120,120,bins_te,8,32,closed_form_no_early_stopping,,0.04122050857146306,3.499056242262317,0.7551299891546026,1.2680905982147284
Q1,2,ridge,ridge3,recent_resid,120,120,bins_te,8,32,closed_form_no_early_stopping,,0.043692238352012774,3.636293216836171,0.8095968458768474,1.749974942343602
Q1,3,ridge,ridge3,recent_resid,120,120,bins_te,8,32,closed_form_no_early_stopping,,0.0499929725843492,4.315046198958547,0.9071980606289488,1.3501684268804817
Q1,4,ridge,ridge3,recent_resid,120,120,bins_te,8,32,closed_form_no_early_stopping,,0.06365964941114013,3.4043686016690367,0.6666927376918634,1.3700436948546952
Q1,0,ridge,ridge10,uniform,120,120,bins_te,8,32,closed_form_no_early_stopping,,0.4158661971535842,1.187354292467242,0.18335694434297217,601983757515.9718
Q1,1,ridge,ridge10,uniform,120,120,bins_te,8,32,closed_form_no_early_stopping,,0.24794201030751714,1.2397080311417166,0.24066324846605822,1.1646175224715174
Q1,2,ridge,ridge10,uniform,120,120,bins_te,8,32,closed_form_no_early_stopping,,0.2423249647472011,1.2116228491115475,0.22688125443272425,1.4458246814718256
Q1,3,ridge,ridge10,uniform,120,120,bins_te,8,32,closed_form_no_early_stopping,,0.24590782552499674,1.2295371238050008,0.2416877643777565,1.3001398363666912
Q1,4,ridge,ridge10,uniform,120,120,bins_te,8,32,closed_form_no_early_stopping,,0.24745754180651633,1.237273658577127,0.24173732928984853,1.1552498346969304
Q1,0,ridge,ridge10,recent_class,120,120,bins_te,8,32,closed_form_no_early_stopping,,0.23754708285294895,2.6308463820194636,0.45208164287950825,422585790159.9356
Q1,1,ridge,ridge10,recent_class,120,120,bins_te,8,32,closed_form_no_early_stopping,,0.09136777819054104,2.7763430084733804,0.5575174349136569,1.1719891811093057
Q1,2,ridge,ridge10,recent_class,120,120,bins_te,8,32,closed_form_no_early_stopping,,0.0969629735972614,2.863525043919801,0.5850019069312808,1.4643769367176287
Q1,3,ridge,ridge10,recent_class,120,120,bins_te,8,32,closed_form_no_early_stopping,,0.10314844724447067,3.3065263356758634,0.6316127585774874,1.2657366688845177
Q1,4,ridge,ridge10,recent_class,120,120,bins_te,8,32,closed_form_no_early_stopping,,0.12637307318994426,2.555892593391308,0.4753093223667575,1.1360686437513001
Q1,0,ridge,ridge10,recent_resid,120,120,bins_te,8,32,closed_form_no_early_stopping,,0.11537013885141716,3.279968059085695,0.6455041997119567,388784389194.1931
Q1,1,ridge,ridge10,recent_resid,120,120,bins_te,8,32,closed_form_no_early_stopping,,0.04122050857146306,3.499056242262317,0.7551299891546026,1.2184969321044667
