candidate,full_logloss,fold0_logloss,fold1_logloss,fold2_logloss,fold3_logloss,fold4_logloss,last_logloss,tail3_mean,tail3_worst,fold_std,notes,full_delta_vs_anchor,last_delta_vs_anchor,rank_score
ridge_residual_composite,0.5972269044138676,0.5990462127455143,0.580167662632593,0.6231252284241705,0.5971538457546537,0.5867228165982367,0.5867228165982367,0.6023339635923536,0.6231252284241705,0.014665542456970979,ridge residual correction selected by composite,0.0013971533204926168,-0.00655939020009777,0.5920686498870188
ridge_residual_full,0.5943428548974714,0.5932202829950738,0.5792690317861108,0.6191732289543177,0.5891711264346974,0.591565403214784,0.591565403214784,0.5999699195345997,0.6191732289543177,0.01326193809296243,ridge residual correction selected by full,-0.0014868961959035865,-0.0017168035835504192,0.5954060650987276
ridge_residual_last,0.6014828598255487,0.6054114436607733,0.583065648405942,0.6305429968003496,0.6021278870560046,0.5860329920971246,0.5860329920971246,0.6062346253178262,0.6305429968003496,0.01696008604159633,ridge residual correction selected by last,0.005653108732173728,-0.007249214701209872,0.5956998088159768
anchor,0.595829751093375,0.5926653685309619,0.5822111636648557,0.6224215044455317,0.5894162870220908,0.5932822067983344,0.5932822067983344,0.6017066660886523,0.6224215044455317,0.01378462437451174,temporal anchor,0.0,0.0,0.5974251744697103
