candidate,full_logloss,last_logloss,full_delta_vs_anchor,last_delta_vs_anchor,fold_std,tail3_worst,pseudo_public_logloss,test_abs_delta_mean_vs_anchor,test_up_rate_vs_anchor,test_down_rate_vs_anchor,fold0_logloss,fold1_logloss,fold2_logloss,fold3_logloss,fold4_logloss,pseudo_Q1,delta_mean_Q1,delta_abs_Q1,up_rate_Q1,pseudo_Q2,delta_mean_Q2,delta_abs_Q2,up_rate_Q2,pseudo_Q3,delta_mean_Q3,delta_abs_Q3,up_rate_Q3,pseudo_S1,delta_mean_S1,delta_abs_S1,up_rate_S1,pseudo_S2,delta_mean_S2,delta_abs_S2,up_rate_S2,pseudo_S3,delta_mean_S3,delta_abs_S3,up_rate_S3,pseudo_S4,delta_mean_S4,delta_abs_S4,up_rate_S4,corr_to_last_guard_0p008_last0.588383_full0.587743,mean_abs_diff_to_last_guard_0p008_last0.588383_full0.587743,corr_to_target_select_public_tight_last0.572477_full0.592635,mean_abs_diff_to_target_select_public_tight_last0.572477_full0.592635,corr_to_02_guarded_targetwise,mean_abs_diff_to_02_guarded_targetwise,selector_score
pseudo_simplex_logit_cv0p02_l20p002,0.5949233912398275,0.5888029203033863,-0.0009063598535474782,-0.004479286494948109,0.013994661406412737,0.6220635344739385,0.5893928037358505,0.0018833237973274145,0.12057142857142857,0.09485714285714286,0.5928726222291049,0.581728625402984,0.6220635344739385,0.5897305799449614,0.5888029203033863,0.5992310537081456,-0.0006996755331880836,0.0010042906521735304,0.5,0.6508508077287695,4.440892098500626e-19,1.5543122344752193e-17,0.0,0.6401313821293818,-2.4424906541753442e-18,1.3988810110276973e-17,0.0,0.48155141741640334,-6.210787339171786e-05,6.210787339175872e-05,0.0,0.5574814028011651,-0.011340750127789853,0.01134075012778988,0.0,0.5577197842335565,-3.241851231905457e-17,3.241851231905457e-17,0.0,0.6387837781335322,0.0007761179279366559,0.0007761179279366705,0.344,0.9861654856885952,0.019132529502531814,0.9936613468471324,0.005005493686768239,0.9777388677885215,0.013368774278655309,0.590149036520091
pseudo_simplex_logit_cv0p08_l20p002,0.5952142240680676,0.589843011853177,-0.0006155270253074274,-0.003439194945157431,0.013895958759573477,0.6221381403858389,0.5894045811886339,0.0017635365001334663,0.07142857142857142,0.09371428571428571,0.5930849147348979,0.5819023213306737,0.6221381403858389,0.5897297838269223,0.589843011853177,0.5992310579960565,-0.0006997891144686573,0.001004026236137543,0.5,0.6508508077287695,4.440892098500626e-19,1.5543122344752193e-17,0.0,0.6401313821293818,-2.4424906541753442e-18,1.3988810110276973e-17,0.0,0.4815635303223689,1.1102230246251566e-19,2.7644553313166398e-17,0.0,0.5574814056082199,-0.011340729264796586,0.011340729264796613,0.0,0.5577197842335565,-3.241851231905457e-17,3.241851231905457e-17,0.0,0.6388541003020844,-2.6645352591003758e-18,1.9984014443252817e-17,0.0,0.9859644250013108,0.019252245186902415,0.9934266826089638,0.0051175574598821515,0.9777707455317178,0.013284210027227539,0.5901522852216166
pseudo_simplex_logit_cv0p18_l20p002,0.5953562506599895,0.5900819886475676,-0.0004735004333854542,-0.003200218150766876,0.013887318754489597,0.6222794011195562,0.5894123343635778,0.0016200742570022589,0.0,0.022285714285714287,0.5932401842230676,0.5821239387355419,0.6222794011195562,0.5896885773330266,0.5900819886475676,0.5992853020335808,1.3322676295501879e-18,1.8873791418627663e-17,0.0,0.6508508077287695,4.440892098500626e-19,1.5543122344752193e-17,0.0,0.6401313821293818,-2.4424906541753442e-18,1.3988810110276973e-17,0.0,0.4815635303223689,1.1102230246251566e-19,2.7644553313166398e-17,0.0,0.5574814337953019,-0.01134051979901565,0.011340519799015682,0.0,0.5577197842335565,-3.241851231905457e-17,3.241851231905457e-17,0.0,0.6388541003020844,-2.6645352591003758e-18,1.9984014443252817e-17,0.0,0.9858581293059502,0.019395680539556228,0.9931598388866213,0.005257878210511602,0.9777694570978062,0.013140755254360316,0.5901553025290123
anchor_logit_public_aware_stack_blend_20260622__target_select_public_tight_logit_anchorblend_w0p65_w0p45,0.5934660616809563,0.5836695016443623,-0.0023636894124187124,-0.009612705153972168,0.014352915871495607,0.6210066370772953,0.5893566359462153,0.00270687980132139,0.12114285714285715,0.09885714285714285,0.5927683255167905,0.580920102183856,0.6210066370772953,0.5892584157256212,0.5836695016443623,0.5992091550463255,-0.0013305845854283606,0.0026905540006451484,0.472,0.650819243217687,0.0007892460264963321,0.0007892460264963477,0.068,0.6400990969847766,0.00031177023089847623,0.00031177023089849445,0.012,0.48153322948569544,-0.0004180933675074342,0.00041809336750746307,0.0,0.5574269018673442,-0.01215668185066762,0.012156681850667646,0.0,0.5577197842335565,-3.241851231905457e-17,3.241851231905457e-17,0.0,0.6386890407881222,0.00258181313303458,0.002581813133034597,0.296,0.9866693252384895,0.01864422610314125,0.9952313379752558,0.00417107266619247,0.9766916382339624,0.014022110596010155,0.5901554881338298
pseudo_simplex_logit_cv0p02_l20p002_anchorlogit_w0p92,0.5949714670930181,0.5890809665882778,-0.0008582840003569236,-0.004201240210056634,0.013975608696352235,0.6220812231465355,0.5894071400007385,0.0017888498724681755,0.12057142857142857,0.09485714285714286,0.5928496202501163,0.581758609931429,0.6220812231465355,0.5896855271147068,0.5890809665882778,0.5992342069839149,-0.0006436225314358236,0.0009238746518370203,0.5,0.6508508077287695,2.220446049250313e-19,1.576516694967722e-17,0.0,0.6401313821293818,-2.886579864025407e-18,1.4432899320127036e-17,0.0,0.48155228951851414,-5.7108856083088685e-05,5.710885608313176e-05,0.0,0.5575729608760455,-0.01082657127609147,0.010826571276091497,0.0,0.5577197842335565,-3.241851231905457e-17,3.241851231905457e-17,0.0,0.6387885485349876,0.0007143943232654984,0.0007143943232655166,0.344,0.9861813198589744,0.019157887848857035,0.9934025937433788,0.005098387198106958,0.978303078829556,0.013294004074704381,0.5901595859317301
pseudo_simplex_logit_cv0p08_l20p002_anchorlogit_w0p92,0.595240491307674,0.5900439106060037,-0.0005892597857010129,-0.0032382961923307363,0.013886687344189975,0.6221501271909456,0.5894181115868203,0.0016785974102553822,0.07142857142857142,0.09371428571428571,0.593045641016376,0.5819187472838869,0.6221501271909456,0.5896850065357176,0.5900439106060037,0.5992342109131111,-0.0006437270218966828,0.0009236313693382058,0.5,0.6508508077287695,2.220446049250313e-19,1.576516694967722e-17,0.0,0.6401313821293818,-2.886579864025407e-18,1.4432899320127036e-17,0.0,0.4815635303223689,-3.3306690738754697e-19,2.8532731732866524e-17,0.0,0.5575729654784698,-0.01082655050244933,0.010826550502449355,0.0,0.5577197842335565,-3.241851231905457e-17,3.241851231905457e-17,0.0,0.6388541003020844,-3.552713678800501e-18,2.1316282072803006e-17,0.0,0.9859951892640128,0.01926807397357036,0.9931854869009484,0.005201540371153444,0.9783315807331725,0.013216921484860065,0.5901628038763375
anchor_logit_public_aware_stack_blend_20260622__target_select_public_aggressive_logit_anchorblend_w0p65_w0p45,0.5936801703108558,0.5833362754749771,-0.002149580782519145,-0.009945931323357304,0.014377931455634362,0.6211036580569961,0.5893603721452114,0.0028820191087339762,0.13485714285714287,0.09885714285714285,0.5932073170352801,0.5809993135093874,0.6211036580569961,0.5899971282174782,0.5833362754749771,0.5992091550463255,-0.0013305845854283606,0.0026905540006451484,0.472,0.6508453966106593,0.0020152211783844355,0.0020152211783844493,0.164,0.6400990969847766,0.00031177023089847623,0.00031177023089849445,0.012,0.48153322948569544,-0.0004180933675074342,0.00041809336750746307,0.0,0.5574269018673442,-0.01215668185066762,0.012156681850667646,0.0,0.5577197842335565,-3.241851231905457e-17,3.241851231905457e-17,0.0,0.6386890407881222,0.00258181313303458,0.002581813133034597,0.296,0.9866905173749378,0.018689270173847312,0.9951183654466721,0.004458014345304542,0.9766382194464895,0.01419724990342274,0.5901657292912551
anchor_logit_public_aware_stack_blend_20260622__target_select_public_balanced_logit_anchorblend_w0p65_w0p45,0.5936801703108558,0.5833362754749771,-0.002149580782519145,-0.009945931323357304,0.014377931455634362,0.6211036580569961,0.5893603721452114,0.0028820191087339762,0.13485714285714287,0.09885714285714285,0.5932073170352801,0.5809993135093874,0.6211036580569961,0.5899971282174782,0.5833362754749771,0.5992091550463255,-0.0013305845854283606,0.0026905540006451484,0.472,0.6508453966106593,0.0020152211783844355,0.0020152211783844493,0.164,0.6400990969847766,0.00031177023089847623,0.00031177023089849445,0.012,0.48153322948569544,-0.0004180933675074342,0.00041809336750746307,0.0,0.5574269018673442,-0.01215668185066762,0.012156681850667646,0.0,0.5577197842335565,-3.241851231905457e-17,3.241851231905457e-17,0.0,0.6386890407881222,0.00258181313303458,0.002581813133034597,0.296,0.9866905173749378,0.018689270173847312,0.9951183654466721,0.004458014345304542,0.9766382194464895,0.01419724990342274,0.5901657292912551
pseudo_simplex_logit_cv0p18_l20p002_anchorlogit_w0p92,0.5953716354320507,0.5902641312870246,-0.0004581156613242543,-0.0030180755113098368,0.013878812211762305,0.6222802817711973,0.5894254169201344,0.0015466202762097153,0.0,0.022285714285714287,0.5931885479521996,0.5821241611832085,0.6222802817711973,0.5896473545717519,0.5902641312870246,0.5992853020335808,1.27675647831893e-18,2.0816681711721685e-17,0.0,0.6508508077287695,2.220446049250313e-19,1.576516694967722e-17,0.0,0.6401313821293818,-2.886579864025407e-18,1.4432899320127036e-17,0.0,0.4815635303223689,-3.3306690738754697e-19,2.8532731732866524e-17,0.0,0.5575730116911987,-0.010826341933467843,0.010826341933467874,0.0,0.5577197842335565,-3.241851231905457e-17,3.241851231905457e-17,0.0,0.6388541003020844,-3.552713678800501e-18,2.1316282072803006e-17,0.0,0.9858965529357718,0.01940002181324284,0.9929390041494242,0.005331332191304147,0.9783297851509021,0.013084951230904685,0.5901657561390088
pseudo_simplex_logit_cv0p02_l20p002_anchorlogit_w0p82,0.5950358429980916,0.5894389339987727,-0.0007939080952833466,-0.003843272799561759,0.013952455260531325,0.6221060458681285,0.5894371732506327,0.001661344027877035,0.12057142857142857,0.09485714285714286,0.5928224664470646,0.5817982344782081,0.6221060458681285,0.5896342227787058,0.5894389339987727,0.5992384389754616,-0.000573574596488859,0.0008233714480428372,0.5,0.6508508077287695,8.881784197001253e-19,1.5987211554602253e-17,0.0,0.6401313821293818,-3.3306690738754695e-18,1.48769885299771e-17,0.0,0.48155340345270087,-5.086748677849162e-05,5.086748677853381e-05,0.0,0.5577716765736479,-0.010118019203777842,0.010118019203777872,0.0,0.5577197842335565,-3.241851231905457e-17,3.241851231905457e-17,0.0,0.6387947196609106,0.0006371500565399184,0.0006371500565399362,0.344,0.9862041328117822,0.019184471836051358,0.9930368496226912,0.005224381114284266,0.9791697410371003,0.013194841572220258,0.5901846363344956
