run,path,candidate,full_logloss,last_logloss,notes,full_delta_vs_anchor,last_delta_vs_anchor,fold0_logloss,fold1_logloss,fold2_logloss,fold3_logloss,fold4_logloss,tail3_mean,tail3_worst,fold_std,rank_score,params,rates
blend_ridge_logit_newton,research/residual_submission_blend_ridge_logit_newton/candidate_scores.csv,ridge_knn_blend_full,0.5877322134657693,0.5887168320908297,,-0.0080975376276056,-0.0045653747075047,0.5854393667774792,0.5705624563392522,0.6162080601647535,0.5788388205125815,0.5887168320908297,0.594587904256055,0.6162080601647535,0.0154321060963304,0.5930408632725694,,
ridge_logit_newton,research/residual_single_model_opt_ridge_logit_newton/candidate_scores.csv,ridge_residual_full,0.5878097385311384,0.5900889295851032,ridge residual correction selected by full,-0.0080200125622366,-0.0031932772132312,0.5851998764392192,0.5706907511532827,0.6159485042257182,0.5783132784147335,0.5900889295851032,0.5947835707418516,0.6159485042257182,0.0154061950458161,0.5943219162818765,,
blend_ridge_knn,research/residual_submission_blend/candidate_scores.csv,ridge_knn_blend_full,0.5925908948467955,0.5904451334240337,,-0.0032388562465794,-0.0028370733743007,0.5883705638619271,0.5783921298798624,0.6231729852176222,0.5836258929111404,0.5904451334240337,0.5990813371842655,0.6231729852176222,0.015744424317238,0.5952634630307051,,
ridge_prob,research/residual_single_model_opt_ridge/candidate_scores.csv,ridge_residual_full,0.592739507791059,0.592790764872572,ridge residual correction selected by full,-0.0030902433023159,-0.0004914419257624,0.5875093095973328,0.5781332343305613,0.6237918853632017,0.5827293279562473,0.592790764872572,0.5997706593973403,0.6237918853632017,0.0161544958244437,0.5975950100657442,,
kaggle_last_mile,research/kaggle_last_mile/candidate_scores.csv,meta_extratrees,0.5935421649974318,0.6050169459736384,extratrees meta model over bank columns,-0.0022875860959431,0.0117347391753039,,,,,,,,,,,
blend_logit_te_full,research/residual_submission_blend_ridge_logit_te_full/candidate_scores.csv,ridge_knn_blend_full,0.5937225202439913,0.5917995881413034,,-0.0021072308493836,-0.001482618657031,0.5934649117347908,0.5781342569684098,0.6185065302503465,0.5874089061189494,0.5917995881413034,0.5992383415035331,0.6185065302503465,0.0134221340405636,0.595653225890666,,
ridge_logit_te_full,research/residual_single_model_opt_ridge_logit_te_full/candidate_scores.csv,ridge_residual_full,0.5937259004584924,0.5915783930819647,ridge residual correction selected by full,-0.0021038506348826,-0.0017038137163697,0.5937752909187604,0.5780556106444784,0.6186435298677131,0.5872543731875386,0.5915783930819647,0.5991587653790721,0.6186435298677131,0.0135118413000283,0.5954753459796929,,
blend_ridge_logit_newton,research/residual_submission_blend_ridge_logit_newton/candidate_scores.csv,ridge_knn_blend_composite,0.5943135538405578,0.5813185329619441,,-0.0015161972528171,-0.0119636738363902,0.5928085503768731,0.5785113758069301,0.6247413299063863,0.5944004330823095,0.5813185329619441,0.6001534319835466,0.6247413299063863,0.0164115356425472,0.5862361125465121,,
blend_logit_te_smoke,research/residual_submission_blend_ridge_logit_te_smoke/candidate_scores.csv,ridge_knn_blend_full,0.5943337491384246,0.5914031607154566,,-0.0014960019549503,-0.0018790460828778,0.5929582372205008,0.5792631281251497,0.6193455329149797,0.5893904874683831,0.5914031607154566,0.6000463936996064,0.6193455329149797,0.0133231636275653,0.5952629885585313,,
ridge_logit_te_smoke,research/residual_single_model_opt_ridge_logit_te_smoke/candidate_scores.csv,ridge_residual_full,0.5943428548974714,0.591565403214784,ridge residual correction selected by full,-0.0014868961959035,-0.0017168035835504,0.5932202829950738,0.5792690317861108,0.6191732289543177,0.5891711264346974,0.591565403214784,0.5999699195345997,0.6191732289543177,0.0132619380929624,0.5954060650987276,,
