target,source,full_logloss,last_logloss,full_delta_vs_anchor,last_delta_vs_anchor,public_risk,bad_alignment,selector_score,candidate
Q1,public_aware_stack_blend_20260622/target_select_public_aggressive,0.5845562623298485,0.603239911067091,-0.005868621541779251,-0.015265960436121828,0.0004597943591480844,1.770002934349738e-05,0.6052206887384313,target_select_public_tight
Q2,public_aware_stack_blend_20260622/target_select_public_tight,0.6925754046877837,0.6300411342516844,-0.0003044519361388165,-0.008043235048716957,0.0009353809851505603,2.545982100539078e-05,0.6331845816302007,target_select_public_tight
Q3,public_aware_stack_blend_20260622/target_select_public_aggressive,0.6654827078919677,0.6224188673133506,0.0028021617637670193,-0.012273140927402837,0.0002471484161150188,0.0,0.6244707150386138,target_select_public_tight
S1,public_aware_stack_blend_20260622/target_select_public_aggressive_logit_anchorblend_w0p65,0.488844735961549,0.43097578644596024,-0.0035074172523030245,-0.018568679571015934,0.00048531444594310485,7.661626058599905e-05,0.4330931913130719,target_select_public_tight
S2,public_aware_stack_blend_20260622/target_select_public_aggressive,0.562622011559896,0.5684210565200837,0.002501605870187773,-0.05439426637534972,0.0012638622707787292,0.0002397141857215273,0.5765199417305552,target_select_public_tight
S3,public_aware_stack_blend_20260622/target_select_public_aggressive,0.5294421568160732,0.577938298805045,-0.012109217705614905,-0.02274072618552858,0.0,0.0,0.577938298805045,target_select_public_tight
S4,public_aware_stack_blend_20260622/target_select_public_aggressive,0.6249253249350655,0.5743035918540645,-0.005873712669559494,-0.014350792786925637,0.0001693377818454443,0.000369159160356913,0.5781882229370697,target_select_public_tight
Q1,public_aware_stack_blend_20260622/target_select_public_aggressive,0.5845562623298485,0.603239911067091,-0.005868621541779251,-0.015265960436121828,0.0004597943591480844,1.770002934349738e-05,0.6052206887384313,target_select_public_balanced
Q2,public_aware_stack_blend_20260622/target_select_public_aggressive,0.6985581180795576,0.6227810592085694,0.005678261455635103,-0.015303310091831945,0.002365000510483267,4.927072966281108e-05,0.6331633014481407,target_select_public_balanced
Q3,public_aware_stack_blend_20260622/target_select_public_aggressive,0.6654827078919677,0.6224188673133506,0.0028021617637670193,-0.012273140927402837,0.0002471484161150188,0.0,0.6244707150386138,target_select_public_balanced
S1,public_aware_stack_blend_20260622/target_select_public_aggressive_logit_anchorblend_w0p65,0.488844735961549,0.43097578644596024,-0.0035074172523030245,-0.018568679571015934,0.00048531444594310485,7.661626058599905e-05,0.4330931913130719,target_select_public_balanced
S2,public_aware_stack_blend_20260622/target_select_public_aggressive,0.562622011559896,0.5684210565200837,0.002501605870187773,-0.05439426637534972,0.0012638622707787292,0.0002397141857215273,0.5765199417305552,target_select_public_balanced
S3,public_aware_stack_blend_20260622/target_select_public_aggressive,0.5294421568160732,0.577938298805045,-0.012109217705614905,-0.02274072618552858,0.0,0.0,0.577938298805045,target_select_public_balanced
S4,public_aware_stack_blend_20260622/target_select_public_aggressive,0.6249253249350655,0.5743035918540645,-0.005873712669559494,-0.014350792786925637,0.0001693377818454443,0.000369159160356913,0.5781882229370697,target_select_public_balanced
Q1,public_aware_stack_blend_20260622/target_select_public_aggressive,0.5845562623298485,0.603239911067091,-0.005868621541779251,-0.015265960436121828,0.0004597943591480844,1.770002934349738e-05,0.6052206887384313,target_select_public_aggressive
Q2,public_aware_stack_blend_20260622/target_select_public_aggressive,0.6985581180795576,0.6227810592085694,0.005678261455635103,-0.015303310091831945,0.002365000510483267,4.927072966281108e-05,0.6331633014481407,target_select_public_aggressive
Q3,public_aware_stack_blend_20260622/target_select_public_aggressive,0.6654827078919677,0.6224188673133506,0.0028021617637670193,-0.012273140927402837,0.0002471484161150188,0.0,0.6244707150386138,target_select_public_aggressive
S1,public_aware_stack_blend_20260622/target_select_public_aggressive_logit_anchorblend_w0p65,0.488844735961549,0.43097578644596024,-0.0035074172523030245,-0.018568679571015934,0.00048531444594310485,7.661626058599905e-05,0.4330931913130719,target_select_public_aggressive
S2,public_aware_stack_blend_20260622/target_select_public_aggressive,0.562622011559896,0.5684210565200837,0.002501605870187773,-0.05439426637534972,0.0012638622707787292,0.0002397141857215273,0.5765199417305552,target_select_public_aggressive
S3,public_aware_stack_blend_20260622/target_select_public_aggressive,0.5294421568160732,0.577938298805045,-0.012109217705614905,-0.02274072618552858,0.0,0.0,0.577938298805045,target_select_public_aggressive
S4,public_aware_stack_blend_20260622/target_select_public_aggressive,0.6249253249350655,0.5743035918540645,-0.005873712669559494,-0.014350792786925637,0.0001693377818454443,0.000369159160356913,0.5781882229370697,target_select_public_aggressive
