source,target,full_logloss,last_logloss,full_delta_vs_anchor,last_delta_vs_anchor,test_abs_delta_mean,test_mean_delta,test_up_rate,test_down_rate,public_risk,rank_score,kept_for_target
public_aware_stack_blend_20260622/target_select_public_aggressive,Q1,0.5845562623298485,0.603239911067091,-0.005868621541779251,-0.015265960436121828,0.009195887182961687,-0.004601881296890966,0.472,0.528,0.0004597943591480844,0.6064584715811275,True
public_aware_stack_blend_20260622/target_select_public_balanced,Q1,0.5845562623298485,0.603239911067091,-0.005868621541779251,-0.015265960436121828,0.009195887182961687,-0.004601881296890966,0.472,0.528,0.0004597943591480844,0.6064584715811275,False
public_aware_stack_blend_20260622/target_select_public_tight,Q1,0.5845562623298485,0.603239911067091,-0.005868621541779251,-0.015265960436121828,0.009195887182961687,-0.004601881296890966,0.472,0.528,0.0004597943591480844,0.6064584715811275,False
public_aware_stack_blend_20260622/target_select_public_aggressive_logit_anchorblend_w0p9,Q1,0.5848175243596664,0.6044946584304931,-0.005607359511961341,-0.014011213072719686,0.00827931016399742,-0.0041374194432031485,0.472,0.528,0.000413965508199871,0.6073924169878921,False
public_aware_stack_blend_20260622/target_select_public_balanced_logit_anchorblend_w0p9,Q1,0.5848175243596664,0.6044946584304931,-0.005607359511961341,-0.014011213072719686,0.00827931016399742,-0.0041374194432031485,0.472,0.528,0.000413965508199871,0.6073924169878921,False
public_aware_stack_blend_20260622/target_select_public_tight_logit_anchorblend_w0p9,Q1,0.5848175243596664,0.6044946584304931,-0.005607359511961341,-0.014011213072719686,0.00827931016399742,-0.0041374194432031485,0.472,0.528,0.000413965508199871,0.6073924169878921,False
direction_gated_ablation_20260622/core_plus_q2,Q1,0.5839094080509231,0.604293760640053,-0.006515475820704664,-0.014212110863159766,0.00936908344256825,-0.00936908344256825,0.0,0.088,0.00046845417212841253,0.6075729398449519,True
direction_gated_ablation_20260622/core_plus_q2q3,Q1,0.5839094080509231,0.604293760640053,-0.006515475820704664,-0.014212110863159766,0.00936908344256825,-0.00936908344256825,0.0,0.088,0.00046845417212841253,0.6075729398449519,False
direction_gated_ablation_20260622/core_plus_q2tiny,Q1,0.5839094080509231,0.604293760640053,-0.006515475820704664,-0.014212110863159766,0.00936908344256825,-0.00936908344256825,0.0,0.088,0.00046845417212841253,0.6075729398449519,False
direction_gated_ablation_20260622/core_plus_q3,Q1,0.5839094080509231,0.604293760640053,-0.006515475820704664,-0.014212110863159766,0.00936908344256825,-0.00936908344256825,0.0,0.088,0.00046845417212841253,0.6075729398449519,False
direction_gated_ablation_20260622/core_plus_s1,Q1,0.5839094080509231,0.604293760640053,-0.006515475820704664,-0.014212110863159766,0.00936908344256825,-0.00936908344256825,0.0,0.088,0.00046845417212841253,0.6075729398449519,False
