run,candidate,full_logloss,last_logloss,full_delta_vs_anchor,last_delta_vs_anchor,rank_score,fold_std,tail3_worst,path,notes,fold0_logloss,fold1_logloss,fold2_logloss,fold3_logloss,fold4_logloss,tail3_mean,params,rates,label
anchor,anchor,0.595829751093375,0.5932822067983344,0.0,0.0,,,,,,,,,,,,,,anchor / anchor
ridge_logit_newton,ridge_residual_full,0.5878097385311384,0.5900889295851032,-0.0080200125622366,-0.0031932772132312,0.5943219162818765,0.0154061950458161,0.6159485042257182,research/residual_single_model_opt_ridge_logit_newton/candidate_scores.csv,ridge residual correction selected by full,0.5851998764392192,0.5706907511532827,0.6159485042257182,0.5783132784147335,0.5900889295851032,0.5947835707418516,,,ridge_logit_newton / ridge_residual_full
ridge_logit_newton,ridge_residual_composite,0.5945186429376494,0.5813736124942065,-0.0013111081557255,-0.0119085943041279,0.5862935318340022,0.0165293230404249,0.6250710113916612,research/residual_single_model_opt_ridge_logit_newton/candidate_scores.csv,ridge residual correction selected by composite,0.5929046990728651,0.5784857297588791,0.6250710113916612,0.5949696201921795,0.5813736124942065,0.6004714146926825,,,ridge_logit_newton / ridge_residual_composite
ridge_logit_newton,ridge_residual_last,0.5962990874889843,0.5806631585824954,0.0004693363956093,-0.012619048215839,0.585776785973192,0.0169870590513405,0.6256947655146279,research/residual_single_model_opt_ridge_logit_newton/candidate_scores.csv,ridge residual correction selected by last,0.5966532532955738,0.5784008396132314,0.6256947655146279,0.6000060006303293,0.5806631585824954,0.6021213082424842,,,ridge_logit_newton / ridge_residual_last
ridge_logit_te_full,ridge_residual_full,0.5937259004584924,0.5915783930819647,-0.0021038506348826,-0.0017038137163697,0.5954753459796929,0.0135118413000283,0.6186435298677131,research/residual_single_model_opt_ridge_logit_te_full/candidate_scores.csv,ridge residual correction selected by full,0.5937752909187604,0.5780556106444784,0.6186435298677131,0.5872543731875386,0.5915783930819647,0.5991587653790721,,,ridge_logit_te_full / ridge_residual_full
ridge_logit_te_full,ridge_residual_composite,0.5972765213610982,0.5877591758506154,0.0014467702677232,-0.0055230309477189,0.5934422964586237,0.0145291541922876,0.6236145618457776,research/residual_single_model_opt_ridge_logit_te_full/candidate_scores.csv,ridge residual correction selected by composite,0.6006121289256557,0.5818214301989677,0.6236145618457776,0.5926694596342867,0.5877591758506154,0.60134773244356,,,ridge_logit_te_full / ridge_residual_composite
blend_ridge_knn,ridge_knn_blend_full,0.5925908948467955,0.5904451334240337,-0.0032388562465794,-0.0028370733743007,0.5952634630307051,0.015744424317238,0.6231729852176222,research/residual_submission_blend/candidate_scores.csv,,0.5883705638619271,0.5783921298798624,0.6231729852176222,0.5836258929111404,0.5904451334240337,0.5990813371842655,,,blend_ridge_knn / ridge_knn_blend_full
blend_ridge_knn,ridge_knn_blend_composite,0.5955355264573569,0.5849685361354412,-0.0002942246360181,-0.0083136706628932,0.5897745293423456,0.0148467837149698,0.6239589988403803,research/residual_submission_blend/candidate_scores.csv,,0.5952817844125359,0.5828602158676286,0.6239589988403803,0.5908595634417526,0.5849685361354412,0.5999290328058581,,,blend_ridge_knn / ridge_knn_blend_composite
blend_logit_te_full,ridge_knn_blend_full,0.5937225202439913,0.5917995881413034,-0.0021072308493836,-0.001482618657031,0.595653225890666,0.0134221340405636,0.6185065302503465,research/residual_submission_blend_ridge_logit_te_full/candidate_scores.csv,,0.5934649117347908,0.5781342569684098,0.6185065302503465,0.5874089061189494,0.5917995881413034,0.5992383415035331,,,blend_logit_te_full / ridge_knn_blend_full
blend_logit_te_full,ridge_knn_blend_composite,0.5961283088404089,0.5880131388573159,0.0002985577470339,-0.0052690679410185,0.5926178418208236,0.0142557157812561,0.6223491580394624,research/residual_submission_blend_ridge_logit_te_full/candidate_scores.csv,,0.5983184333259989,0.5807726581746705,0.6223491580394624,0.5914212440436765,0.5880131388573159,0.6005945136468184,,,blend_logit_te_full / ridge_knn_blend_composite
