candidate,weights,full_logloss,last_logloss
targetwise_guarded,targetwise,0.5924355708411856,0.5890481205947588
anchor0.7_lgbm0.3,"{""anchor"": 0.7, ""lgbm"": 0.30000000000000004}",0.5918527776501661,0.5917825788677474
anchor0.8_lgbm0.2,"{""anchor"": 0.8, ""lgbm"": 0.19999999999999996}",0.5926795929667035,0.5918516256347751
anchor0.6_lgbm0.4,"{""anchor"": 0.6, ""lgbm"": 0.4}",0.5914991212555145,0.5921200378828148
anchor0.9_lgbm0.1,"{""anchor"": 0.9, ""lgbm"": 0.09999999999999998}",0.5939964307697588,0.5923435291798177
anchor0.8_xgb0.2,"{""anchor"": 0.8, ""xgb"": 0.19999999999999996}",0.592963960221153,0.5928379502239755
anchor0.5_lgbm0.5,"{""anchor"": 0.5, ""lgbm"": 0.5}",0.5916095292799204,0.5928534074121828
anchor0.9_xgb0.1,"{""anchor"": 0.9, ""xgb"": 0.09999999999999998}",0.5941576437665957,0.5928549138468735
anchor0.9_cat0.1,"{""anchor"": 0.9, ""cat"": 0.09999999999999998}",0.5938464614957936,0.5931841031247311
anchor0.7_xgb0.3,"{""anchor"": 0.7, ""xgb"": 0.30000000000000004}",0.5922236503585702,0.5932106862553725
anchor,"{""anchor"": 1.0}",0.595829751093375,0.5932822067983344
anchor0.8_cat0.2,"{""anchor"": 0.8, ""cat"": 0.19999999999999996}",0.5923351421898502,0.5934934705163883
anchor0.6_xgb0.4,"{""anchor"": 0.6, ""xgb"": 0.4}",0.5919199939831419,0.5939584826183033
anchor0.4_lgbm0.6,"{""anchor"": 0.4, ""lgbm"": 0.6}",0.5921818045277718,0.5939768576577967
anchor0.7_cat0.3,"{""anchor"": 0.7, ""cat"": 0.30000000000000004}",0.5912723107337807,0.5941879483187381
anchor0.5_xgb0.5,"{""anchor"": 0.5, ""xgb"": 0.5}",0.5920428660203838,0.5950714021479983
anchor0.6_cat0.4,"{""anchor"": 0.6, ""cat"": 0.4}",0.5906422959564888,0.5952514481227924
anchor0.3_lgbm0.7,"{""anchor"": 0.3, ""lgbm"": 0.7}",0.5932204962400291,0.5954888183221468
anchor0.4_xgb0.6,"{""anchor"": 0.4, ""xgb"": 0.6}",0.5925877938758964,0.5965434356242387
anchor0.5_cat0.5,"{""anchor"": 0.5, ""cat"": 0.5}",0.5904359967481482,0.5966727923623234
anchor0.2_lgbm0.8,"{""anchor"": 0.2, ""lgbm"": 0.8}",0.5947374849105458,0.5973918109825233
anchor0.3_xgb0.7,"{""anchor"": 0.3, ""xgb"": 0.7}",0.5935555374423408,0.5983720525434278
anchor0.4_cat0.6,"{""anchor"": 0.4, ""cat"": 0.6}",0.590650353257691,0.5984448664309238
anchor0.1_lgbm0.9,"{""anchor"": 0.1, ""lgbm"": 0.9}",0.5967536322221123,0.5996925686808511
anchor0.2_xgb0.8,"{""anchor"": 0.2, ""xgb"": 0.8}",0.5949520879716655,0.6005579836379978
anchor0.3_cat0.7,"{""anchor"": 0.3, ""cat"": 0.7}",0.5912884350753462,0.600564104687227
lgbm,"{""lgbm"": 1.0}",0.5993025970253757,0.6024024551242185
lgbm0.9_cat0.1,"{""lgbm"": 0.9, ""cat"": 0.09999999999999998}",0.5982482113920733,0.602457536473963
lgbm0.9_xgb0.1,"{""lgbm"": 0.9, ""xgb"": 0.09999999999999998}",0.5991623123867285,0.6026448296331397
lgbm0.8_cat0.2,"{""lgbm"": 0.8, ""cat"": 0.19999999999999996}",0.5973598586534283,0.6026524929354861
lgbm0.8_xgb0.2,"{""lgbm"": 0.8, ""xgb"": 0.19999999999999996}",0.5990491307920436,0.6029143068814653
lgbm0.7_cat0.3,"{""lgbm"": 0.7, ""cat"": 0.30000000000000004}",0.5966323247581615,0.602984067091973
anchor0.2_cat0.8,"{""anchor"": 0.2, ""cat"": 0.8}",0.5923602578491666,0.6030302170315727
anchor0.1_xgb0.9,"{""anchor"": 0.1, ""xgb"": 0.9}",0.5967890888111324,0.6031051935034366
lgbm0.7_xgb0.3,"{""lgbm"": 0.7, ""xgb"": 0.30000000000000004}",0.5989626936326189,0.6032106202312205
lgbm0.6_cat0.4,"{""lgbm"": 0.6, ""cat"": 0.4}",0.5960619956802924,0.6034499055143131
lgbm0.6_xgb0.4,"{""lgbm"": 0.6, ""xgb"": 0.4}",0.5989026868107884,0.6035335397378383
lgbm0.5_xgb0.5,"{""lgbm"": 0.5, ""xgb"": 0.5}",0.598868836574079,0.6038828699220682
lgbm0.5_cat0.5,"{""lgbm"": 0.5, ""cat"": 0.5}",0.5956465688508636,0.6040484081805755
lgbm0.4_xgb0.6,"{""lgbm"": 0.4, ""xgb"": 0.6}",0.5988609061033997,0.6042584478729643
lgbm0.3_xgb0.7,"{""lgbm"": 0.3, ""xgb"": 0.7}",0.5988786927102581,0.6046601416417486
lgbm0.4_cat0.6,"{""lgbm"": 0.4, ""cat"": 0.6}",0.5953849092729963,0.6047786306806435
lgbm0.2_xgb0.8,"{""lgbm"": 0.2, ""xgb"": 0.8}",0.5989220255335427,0.6050878488937058
lgbm0.1_xgb0.9,"{""lgbm"": 0.1, ""xgb"": 0.9}",0.598990763652486,0.6055414957913511
lgbm0.3_cat0.7,"{""lgbm"": 0.3, ""cat"": 0.7}",0.5952770071454567,0.6056402223963987
xgb0.8_cat0.2,"{""xgb"": 0.8, ""cat"": 0.19999999999999996}",0.5972044419896694,0.6056662089273251
xgb0.7_cat0.3,"{""xgb"": 0.7, ""cat"": 0.30000000000000004}",0.5965006855749945,0.6056700577787841
xgb0.9_cat0.1,"{""xgb"": 0.9, ""cat"": 0.09999999999999998}",0.5980646646311384,0.6057826104358561
xgb0.6_cat0.4,"{""xgb"": 0.6, ""cat"": 0.4}",0.5959510809645482,0.6057929044739374
anchor0.1_cat0.9,"{""anchor"": 0.1, ""cat"": 0.9}",0.5938847763824374,0.6058461122977553
xgb,"{""xgb"": 1.0}",0.5990847945518976,0.6060210360871917
xgb0.5_cat0.5,"{""xgb"": 0.5, ""cat"": 0.5}",0.5955543506029262,0.6060339796356404
xgb0.4_cat0.6,"{""xgb"": 0.4, ""cat"": 0.6}",0.5953102288743429,0.6063929747681145
lgbm0.2_cat0.8,"{""lgbm"": 0.2, ""cat"": 0.8}",0.5953240257910739,0.6066333909561645
xgb0.3_cat0.7,"{""xgb"": 0.3, ""cat"": 0.7}",0.5952194996395123,0.6068700338075989
xgb0.2_cat0.8,"{""xgb"": 0.2, ""cat"": 0.8}",0.5952841078393699,0.6074657576616269
lgbm0.1_cat0.9,"{""lgbm"": 0.1, ""cat"": 0.9}",0.5955284538690201,0.6077588874607216
xgb0.1_cat0.9,"{""xgb"": 0.1, ""cat"": 0.9}",0.5955073774380553,0.6081812220012768
cat,"{""cat"": 1.0}",0.5958944095296959,0.6090180096758921
