target,source,full_logloss,last_logloss,full_delta_vs_anchor,last_delta_vs_anchor,tail3_worst,tail3_worst_delta_vs_anchor,fold_std,rank_score,fold0_logloss,fold1_logloss,fold2_logloss,fold3_logloss,fold4_logloss,selector_score,selection_mode,selector_last_guard,selector_full_cap,selector_alpha,selector_tail_guard
Q1,ridge_residual_full,0.5879679030351407,0.606532805999241,-0.002456980836487044,-0.011973065503971814,0.606532805999241,-0.011973065503971814,0.03118485466438757,0.6090954778720524,0.5344377418210166,0.6279702835911902,0.5925123364637841,0.582113197442527,0.606532805999241,-0.002456980836487044,positive_last_penalty,0.0,0.004,0.25,
Q2,arith:ridge_residual_full:0.35+ridge_residual_composite:0.20+knn_targetwise_guarded:0.45,0.691728728478578,0.6406354070600994,-0.00115112814534446,0.002551037759698005,0.7952951909150152,-0.0022232891210979266,0.0596280912828627,0.6583535756673586,0.7097640786702806,0.6280192459988881,0.7952951909150152,0.684182445661042,0.6406354070600994,-0.0005133687054199587,positive_last_penalty,0.0,0.004,0.25,
Q3,anchor,0.6626805461282007,0.6346920082407534,0.0,0.0,0.6955517920765923,0.0,0.032781320352747036,0.6442038137020795,0.6945061214538464,0.6727576578357087,0.6955517920765923,0.613734493992541,0.6346920082407534,0.0,positive_last_penalty,0.0,0.004,0.25,
S1,arith:ridge_residual_composite:0.35+ridge_residual_full:0.65,0.48978028137258534,0.44976586891105347,-0.002571871841266671,0.00022140289407729385,0.5241554196833467,-0.0048974064550287855,0.029167321921593943,0.4550435250057787,0.46539285643656186,0.489774040928052,0.5241554196833467,0.5193801290347609,0.44976586891105347,-0.0025165211177473473,positive_last_penalty,0.0,0.004,0.25,
S2,ridge_residual_full,0.5523303237543977,0.5924888746662645,-0.0077900819353105,-0.030326448229168856,0.5924888746662645,-0.030326448229168856,0.026461005106169232,0.5997704406155724,0.5718257411801718,0.5225637811533103,0.527765274225347,0.5479889858675647,0.5924888746662645,-0.0077900819353105,positive_last_penalty,0.0,0.004,0.25,
S3,ridge_residual_full,0.5077276302852942,0.6061629831879853,-0.03382374423639389,0.005483958197411765,0.6061629831879853,0.005483958197411765,0.05726520380813056,0.6213735179888792,0.47125714361397214,0.4861809776849146,0.5392001640813648,0.44496778028119754,0.6061629831879853,-0.03245275468704095,positive_last_penalty,0.0,0.004,0.25,
S4,ridge_residual_full,0.6226433776469414,0.5839384495097777,-0.008155659957683525,-0.00471593513121249,0.663143049599433,0.002933271525129455,0.03859878919372653,0.5907718293769757,0.6548408438339655,0.5680474978799893,0.6398469516811186,0.663143049599433,0.5839384495097777,-0.008155659957683525,positive_last_penalty,0.0,0.004,0.25,
