target,source,full_logloss,last_logloss,full_delta_vs_anchor,last_delta_vs_anchor,tail3_worst,tail3_worst_delta_vs_anchor,fold_std,rank_score,fold0_logloss,fold1_logloss,fold2_logloss,fold3_logloss,fold4_logloss,selection_mode,selector_last_guard,selector_full_cap,selector_alpha,selector_tail_guard,candidate,selector_score
Q1,ridge_residual_full,0.5879679030351407,0.606532805999241,-0.002456980836487044,-0.011973065503971814,0.606532805999241,-0.011973065503971814,0.03118485466438757,0.6090954778720524,0.5344377418210166,0.6279702835911902,0.5925123364637841,0.582113197442527,0.606532805999241,full,0.0,0.004,0.0,,full,
Q2,arith:anchor:0.20+ridge_residual_full:0.80,0.6910087403127634,0.6471352824579595,-0.0018711163111591045,0.009050913157558127,0.7946195221090487,-0.002898957927064405,0.05849340822816615,0.6645538922686688,0.7056060452219003,0.6267395819954474,0.7946195221090487,0.6808246145994988,0.6471352824579595,full,0.0,0.004,0.0,,full,
Q3,anchor,0.6626805461282007,0.6346920082407534,0.0,0.0,0.6955517920765923,0.0,0.032781320352747036,0.6442038137020795,0.6945061214538464,0.6727576578357087,0.6955517920765923,0.613734493992541,0.6346920082407534,full,0.0,0.004,0.0,,full,
S1,logit:ridge_residual_composite:0.35+ridge_residual_full:0.65,0.48976697309764744,0.45006742057382615,-0.0025851801162045662,0.0005229545568499749,0.5239603805160189,-0.005092445622356556,0.028946739095960645,0.4553176684840197,0.4656019303174815,0.48967741423420524,0.5239603805160189,0.5190996218053082,0.45006742057382615,full,0.0,0.004,0.0,,full,
S2,ridge_residual_full,0.5523303237543977,0.5924888746662645,-0.0077900819353105,-0.030326448229168856,0.5924888746662645,-0.030326448229168856,0.026461005106169232,0.5997704406155724,0.5718257411801718,0.5225637811533103,0.527765274225347,0.5479889858675647,0.5924888746662645,full,0.0,0.004,0.0,,full,
S3,ridge_residual_full,0.5077276302852942,0.6061629831879853,-0.03382374423639389,0.005483958197411765,0.6061629831879853,0.005483958197411765,0.05726520380813056,0.6213735179888792,0.47125714361397214,0.4861809776849146,0.5392001640813648,0.44496778028119754,0.6061629831879853,full,0.0,0.004,0.0,,full,
S4,ridge_residual_full,0.6226433776469414,0.5839384495097777,-0.008155659957683525,-0.00471593513121249,0.663143049599433,0.002933271525129455,0.03859878919372653,0.5907718293769757,0.6548408438339655,0.5680474978799893,0.6398469516811186,0.663143049599433,0.5839384495097777,full,0.0,0.004,0.0,,full,
Q1,logit:ridge_residual_composite:0.80+ridge_residual_last:0.20,0.5912018454223922,0.5975116377918059,0.0007769615507644545,-0.02099423371140685,0.6000970053506967,-0.018408866152516135,0.03210297661044024,0.5988350866151743,0.5346175844770272,0.6339999558943592,0.5927369003313104,0.6000970053506967,0.5975116377918059,composite,0.0,0.004,0.0,,composite,
Q2,arith:anchor:0.20+ridge_residual_composite:0.80,0.6935117074727225,0.6366437138193223,0.0006318508488000196,-0.0014406554810790784,0.7949850792247882,-0.002533400811324915,0.06084031145010836,0.6545857443833664,0.7157322861598051,0.6265643828831511,0.7949850792247882,0.6922520844917924,0.6366437138193223,composite,0.0,0.004,0.0,,composite,
Q3,logit:anchor:0.20+ridge_residual_composite:0.80,0.6631646439764092,0.6338260936274139,0.0004840978482084646,-0.0008659146133395135,0.6974052965614661,0.001853504484873758,0.033386258953157735,0.6440258272589656,0.695568452551212,0.6726326941304609,0.6974052965614661,0.6141607425868997,0.6338260936274139,composite,0.0,0.004,0.0,,composite,
S1,ridge_residual_composite,0.49203010038110845,0.44330326196597186,-0.0003220528327435579,-0.006241204051004312,0.5326688299710852,0.0036160038327097688,0.0340640461125473,0.4496684978108441,0.468091161281655,0.48871062920434055,0.5326688299710852,0.526555860303115,0.44330326196597186,composite,0.0,0.004,0.0,,composite,
S2,ridge_residual_composite,0.5566835766917694,0.5841610094151621,-0.0034368289979388456,-0.03865431348027126,0.5841610094151621,-0.03865431348027126,0.023869205366735185,0.5890295980275948,0.5811762406736896,0.522903811939987,0.5379154323735896,0.5573777572702442,0.5841610094151621,composite,0.0,0.004,0.0,,composite,
S3,logit:ridge_residual_composite:0.80+knn_targetwise_guarded:0.20,0.5404451263000907,0.5933392361440721,-0.001106248221597439,-0.007339788846501438,0.5933392361440721,-0.007339788846501438,0.03639985731527099,0.6001678919832045,0.5005968990631172,0.5304139300552525,0.5748423470116119,0.5094062876895463,0.5933392361440721,composite,0.0,0.004,0.0,,composite,
S4,logit:ridge_residual_composite:0.50+ridge_residual_last:0.50,0.6237571921795848,0.5784108217199329,-0.007041845425040161,-0.010243562921057325,0.667040047799929,0.006830269725625393,0.040079106789968476,0.5860096062561458,0.6562740439537386,0.5715454680833842,0.6416875058367298,0.667040047799929,0.5784108217199329,composite,0.0,0.004,0.0,,composite,
Q1,logit:anchor:0.20+ridge_residual_last:0.80,0.5939493230903995,0.5962395054298064,0.003524439218771769,-0.022266366073406374,0.6045754746710055,-0.013930396832207315,0.03166671492597704,0.6005212253115664,0.5396919279949626,0.6381426203379175,0.5936222457251458,0.6045754746710055,0.5962395054298064,last,0.0,0.004,0.0,,last,
Q2,ridge_residual_last,0.6987415814488945,0.6356930614589933,0.005861724824972048,-0.0023913078414080635,0.7971830155231797,-0.0003354645129334255,0.06406342737091772,0.6574556655066073,0.7293537135195803,0.6222499048566729,0.7971830155231797,0.7069709003915488,0.6356930614589933,last,0.0,0.004,0.0,,last,
Q3,ridge_residual_last,0.6651778505733567,0.6324722584320684,0.0024973044451559456,-0.002219749808685001,0.7034017874519771,0.007849995375384777,0.03516617690492676,0.6451695383963704,0.6990590271950662,0.6728578657342611,0.7034017874519771,0.6157127486830949,0.6324722584320684,last,0.0,0.004,0.0,,last,
S1,ridge_residual_composite,0.49203010038110845,0.44330326196597186,-0.0003220528327435579,-0.006241204051004312,0.5326688299710852,0.0036160038327097688,0.0340640461125473,0.4496684978108441,0.468091161281655,0.48871062920434055,0.5326688299710852,0.526555860303115,0.44330326196597186,last,0.0,0.004,0.0,,last,
S2,ridge_residual_composite,0.5566835766917694,0.5841610094151621,-0.0034368289979388456,-0.03865431348027126,0.5841610094151621,-0.03865431348027126,0.023869205366735185,0.5890295980275948,0.5811762406736896,0.522903811939987,0.5379154323735896,0.5573777572702442,0.5841610094151621,last,0.0,0.004,0.0,,last,
S3,logit:ridge_residual_composite:0.65+knn_targetwise_guarded:0.35,0.5402677289643486,0.5933127057803108,-0.0012836455573395078,-0.007366319210262762,0.5933127057803108,-0.007366319210262762,0.035968614866786326,0.6002278482291791,0.501477203563975,0.5299471224792937,0.573455816958104,0.5094424578694944,0.5933127057803108,last,0.0,0.004,0.0,,last,
S4,logit:ridge_residual_composite:0.35+ridge_residual_last:0.65,0.6237139317758099,0.5783394187914295,-0.007085105828815053,-0.010314965849560709,0.6678481152618536,0.007638337187550026,0.04065254653537786,0.5860715777249993,0.6568254214703824,0.570317313551645,0.6413744277287295,0.6678481152618536,0.5783394187914295,last,0.0,0.004,0.0,,last,
Q1,ridge_residual_full,0.5879679030351407,0.606532805999241,-0.002456980836487044,-0.011973065503971814,0.606532805999241,-0.011973065503971814,0.03118485466438757,0.6090954778720524,0.5344377418210166,0.6279702835911902,0.5925123364637841,0.582113197442527,0.606532805999241,last_guard,0.0,0.004,0.0,,last_guard_0,
Q2,arith:anchor:0.80+ridge_residual_composite:0.20,0.6928603523911178,0.637620629906511,-1.9504232804723465e-05,-0.0004637393938903278,0.7967354109847794,-0.0007830690513337402,0.060262610627474414,0.65562225984655,0.7124854383748237,0.6305541715615002,0.7967354109847794,0.6858257429624638,0.637620629906511,last_guard,0.0,0.004,0.0,,last_guard_0,
Q3,anchor,0.6626805461282007,0.6346920082407534,0.0,0.0,0.6955517920765923,0.0,0.032781320352747036,0.6442038137020795,0.6945061214538464,0.6727576578357087,0.6955517920765923,0.613734493992541,0.6346920082407534,last_guard,0.0,0.004,0.0,,last_guard_0,
S1,logit:ridge_residual_composite:0.50+ridge_residual_full:0.50,0.48994675932278003,0.44807120506319376,-0.002405393891071972,-0.0014732609537824182,0.5252831778323912,-0.0037696483059842523,0.030059591280005314,0.45352854847806007,0.46600090461753585,0.4891999860825398,0.5252831778323912,0.5206349993785943,0.44807120506319376,last_guard,0.0,0.004,0.0,,last_guard_0,
S2,ridge_residual_full,0.5523303237543977,0.5924888746662645,-0.0077900819353105,-0.030326448229168856,0.5924888746662645,-0.030326448229168856,0.026461005106169232,0.5997704406155724,0.5718257411801718,0.5225637811533103,0.527765274225347,0.5479889858675647,0.5924888746662645,last_guard,0.0,0.004,0.0,,last_guard_0,
S3,arith:ridge_residual_full:0.80+ridge_residual_last:0.20,0.5116571630053628,0.6005761173401156,-0.02989421151632532,-0.0001029076504579507,0.6005761173401156,-0.0001029076504579507,0.052761453856702646,0.614137057420511,0.47548907063739204,0.4929957952540003,0.5438319487747534,0.45390618469954847,0.6005761173401156,last_guard,0.0,0.004,0.0,,last_guard_0,
S4,ridge_residual_full,0.6226433776469414,0.5839384495097777,-0.008155659957683525,-0.00471593513121249,0.663143049599433,0.002933271525129455,0.03859878919372653,0.5907718293769757,0.6548408438339655,0.5680474978799893,0.6398469516811186,0.663143049599433,0.5839384495097777,last_guard,0.0,0.004,0.0,,last_guard_0,
Q1,ridge_residual_full,0.5879679030351407,0.606532805999241,-0.002456980836487044,-0.011973065503971814,0.606532805999241,-0.011973065503971814,0.03118485466438757,0.6090954778720524,0.5344377418210166,0.6279702835911902,0.5925123364637841,0.582113197442527,0.606532805999241,last_guard,0.002,0.004,0.0,,last_guard_0p002,
Q2,arith:anchor:0.80+ridge_residual_full:0.20,0.6921004215233411,0.6397173748747726,-0.0007794351005814271,0.0016330055743712935,0.7964892955725855,-0.0010291844635276215,0.059732315735436116,0.6577180483587807,0.7098424587312007,0.6304095588611087,0.7964892955725855,0.6832511140102775,0.6397173748747726,last_guard,0.002,0.004,0.0,,last_guard_0p002,
Q3,anchor,0.6626805461282007,0.6346920082407534,0.0,0.0,0.6955517920765923,0.0,0.032781320352747036,0.6442038137020795,0.6945061214538464,0.6727576578357087,0.6955517920765923,0.613734493992541,0.6346920082407534,last_guard,0.002,0.004,0.0,,last_guard_0p002,
S1,logit:ridge_residual_composite:0.35+ridge_residual_full:0.65,0.48976697309764744,0.45006742057382615,-0.0025851801162045662,0.0005229545568499749,0.5239603805160189,-0.005092445622356556,0.028946739095960645,0.4553176684840197,0.4656019303174815,0.48967741423420524,0.5239603805160189,0.5190996218053082,0.45006742057382615,last_guard,0.002,0.004,0.0,,last_guard_0p002,
S2,ridge_residual_full,0.5523303237543977,0.5924888746662645,-0.0077900819353105,-0.030326448229168856,0.5924888746662645,-0.030326448229168856,0.026461005106169232,0.5997704406155724,0.5718257411801718,0.5225637811533103,0.527765274225347,0.5479889858675647,0.5924888746662645,last_guard,0.002,0.004,0.0,,last_guard_0p002,
S3,logit:ridge_residual_full:0.80+ridge_residual_last:0.20,0.5113893986218576,0.6013871853956267,-0.030161975899830495,0.0007081604050531709,0.6013871853956267,0.0007081604050531709,0.05320879496848039,0.6150508915173557,0.4745917196922231,0.49176739131138025,0.5437454149110693,0.4540733640542502,0.6013871853956267,last_guard,0.002,0.004,0.0,,last_guard_0p002,
S4,ridge_residual_full,0.6226433776469414,0.5839384495097777,-0.008155659957683525,-0.00471593513121249,0.663143049599433,0.002933271525129455,0.03859878919372653,0.5907718293769757,0.6548408438339655,0.5680474978799893,0.6398469516811186,0.663143049599433,0.5839384495097777,last_guard,0.002,0.004,0.0,,last_guard_0p002,
Q1,ridge_residual_full,0.5879679030351407,0.606532805999241,-0.002456980836487044,-0.011973065503971814,0.606532805999241,-0.011973065503971814,0.03118485466438757,0.6090954778720524,0.5344377418210166,0.6279702835911902,0.5925123364637841,0.582113197442527,0.606532805999241,last_guard,0.004,0.004,0.0,,last_guard_0p004,
Q2,arith:anchor:0.65+ridge_residual_full:0.35,0.6916422177705048,0.6411609983315899,-0.0012376388534176552,0.003076629031188549,0.7958518096894931,-0.0016666703466200472,0.059438982914894314,0.6590260627956303,0.7086743141017005,0.6293156980693095,0.7958518096894931,0.6825666540867906,0.6411609983315899,last_guard,0.004,0.004,0.0,,last_guard_0p004,
Q3,anchor,0.6626805461282007,0.6346920082407534,0.0,0.0,0.6955517920765923,0.0,0.032781320352747036,0.6442038137020795,0.6945061214538464,0.6727576578357087,0.6955517920765923,0.613734493992541,0.6346920082407534,last_guard,0.004,0.004,0.0,,last_guard_0p004,
