target,source,full_logloss,last_logloss,full_delta_vs_anchor,last_delta_vs_anchor,tail3_worst,tail3_worst_delta_vs_anchor,fold_std,rank_score,fold0_logloss,fold1_logloss,fold2_logloss,fold3_logloss,fold4_logloss,selection_mode,selector_last_guard,selector_full_cap,selector_alpha,selector_tail_guard
Q1,logit:anchor:0.20+ridge_residual_last:0.80,0.5939493230903995,0.5962395054298064,0.003524439218771769,-0.022266366073406374,0.6045754746710055,-0.013930396832207315,0.03166671492597704,0.6005212253115664,0.5396919279949626,0.6381426203379175,0.5936222457251458,0.6045754746710055,0.5962395054298064,last,0.0,0.004,0.0,
Q2,ridge_residual_last,0.6987415814488945,0.6356930614589933,0.005861724824972048,-0.0023913078414080635,0.7971830155231797,-0.0003354645129334255,0.06406342737091772,0.6574556655066073,0.7293537135195803,0.6222499048566729,0.7971830155231797,0.7069709003915488,0.6356930614589933,last,0.0,0.004,0.0,
Q3,ridge_residual_last,0.6651778505733567,0.6324722584320684,0.0024973044451559456,-0.002219749808685001,0.7034017874519771,0.007849995375384777,0.03516617690492676,0.6451695383963704,0.6990590271950662,0.6728578657342611,0.7034017874519771,0.6157127486830949,0.6324722584320684,last,0.0,0.004,0.0,
S1,ridge_residual_composite,0.49203010038110845,0.44330326196597186,-0.0003220528327435579,-0.006241204051004312,0.5326688299710852,0.0036160038327097688,0.0340640461125473,0.4496684978108441,0.468091161281655,0.48871062920434055,0.5326688299710852,0.526555860303115,0.44330326196597186,last,0.0,0.004,0.0,
S2,ridge_residual_composite,0.5566835766917694,0.5841610094151621,-0.0034368289979388456,-0.03865431348027126,0.5841610094151621,-0.03865431348027126,0.023869205366735185,0.5890295980275948,0.5811762406736896,0.522903811939987,0.5379154323735896,0.5573777572702442,0.5841610094151621,last,0.0,0.004,0.0,
S3,logit:ridge_residual_composite:0.65+knn_targetwise_guarded:0.35,0.5402677289643486,0.5933127057803108,-0.0012836455573395078,-0.007366319210262762,0.5933127057803108,-0.007366319210262762,0.035968614866786326,0.6002278482291791,0.501477203563975,0.5299471224792937,0.573455816958104,0.5094424578694944,0.5933127057803108,last,0.0,0.004,0.0,
S4,logit:ridge_residual_composite:0.35+ridge_residual_last:0.65,0.6237139317758099,0.5783394187914295,-0.007085105828815053,-0.010314965849560709,0.6678481152618536,0.007638337187550026,0.04065254653537786,0.5860715777249993,0.6568254214703824,0.570317313551645,0.6413744277287295,0.6678481152618536,0.5783394187914295,last,0.0,0.004,0.0,
