target,source,full_logloss,last_logloss,full_delta_vs_anchor,last_delta_vs_anchor,tail3_worst,tail3_worst_delta_vs_anchor,fold_std,rank_score,fold0_logloss,fold1_logloss,fold2_logloss,fold3_logloss,fold4_logloss,selection_mode,selector_last_guard,selector_full_cap,selector_alpha,selector_tail_guard
Q1,logit:ridge_residual_composite:0.80+ridge_residual_last:0.20,0.5912018454223922,0.5975116377918059,0.0007769615507644545,-0.02099423371140685,0.6000970053506967,-0.018408866152516135,0.03210297661044024,0.5988350866151743,0.5346175844770272,0.6339999558943592,0.5927369003313104,0.6000970053506967,0.5975116377918059,composite,0.0,0.004,0.0,
Q2,arith:anchor:0.20+ridge_residual_composite:0.80,0.6935117074727225,0.6366437138193223,0.0006318508488000196,-0.0014406554810790784,0.7949850792247882,-0.002533400811324915,0.06084031145010836,0.6545857443833664,0.7157322861598051,0.6265643828831511,0.7949850792247882,0.6922520844917924,0.6366437138193223,composite,0.0,0.004,0.0,
Q3,logit:anchor:0.20+ridge_residual_composite:0.80,0.6631646439764092,0.6338260936274139,0.0004840978482084646,-0.0008659146133395135,0.6974052965614661,0.001853504484873758,0.033386258953157735,0.6440258272589656,0.695568452551212,0.6726326941304609,0.6974052965614661,0.6141607425868997,0.6338260936274139,composite,0.0,0.004,0.0,
S1,ridge_residual_composite,0.49203010038110845,0.44330326196597186,-0.0003220528327435579,-0.006241204051004312,0.5326688299710852,0.0036160038327097688,0.0340640461125473,0.4496684978108441,0.468091161281655,0.48871062920434055,0.5326688299710852,0.526555860303115,0.44330326196597186,composite,0.0,0.004,0.0,
S2,ridge_residual_composite,0.5566835766917694,0.5841610094151621,-0.0034368289979388456,-0.03865431348027126,0.5841610094151621,-0.03865431348027126,0.023869205366735185,0.5890295980275948,0.5811762406736896,0.522903811939987,0.5379154323735896,0.5573777572702442,0.5841610094151621,composite,0.0,0.004,0.0,
S3,logit:ridge_residual_composite:0.80+knn_targetwise_guarded:0.20,0.5404451263000907,0.5933392361440721,-0.001106248221597439,-0.007339788846501438,0.5933392361440721,-0.007339788846501438,0.03639985731527099,0.6001678919832045,0.5005968990631172,0.5304139300552525,0.5748423470116119,0.5094062876895463,0.5933392361440721,composite,0.0,0.004,0.0,
S4,logit:ridge_residual_composite:0.50+ridge_residual_last:0.50,0.6237571921795848,0.5784108217199329,-0.007041845425040161,-0.010243562921057325,0.667040047799929,0.006830269725625393,0.040079106789968476,0.5860096062561458,0.6562740439537386,0.5715454680833842,0.6416875058367298,0.667040047799929,0.5784108217199329,composite,0.0,0.004,0.0,
