target,source,full_logloss,last_logloss,full_delta_vs_anchor,last_delta_vs_anchor,tail3_worst,tail3_worst_delta_vs_anchor,fold_std,rank_score,fold0_logloss,fold1_logloss,fold2_logloss,fold3_logloss,fold4_logloss
Q1,ridge_residual_full,0.5879679030351407,0.606532805999241,-0.002456980836487044,-0.011973065503971814,0.606532805999241,-0.011973065503971814,0.03118485466438757,0.6090954778720524,0.5344377418210166,0.6279702835911902,0.5925123364637841,0.582113197442527,0.606532805999241
Q1,logit:ridge_residual_composite:0.20+ridge_residual_full:0.80,0.5880947530254839,0.604438539596063,-0.002330130846143863,-0.014067331907149816,0.604438539596063,-0.014067331907149816,0.031089218676091636,0.6065574238044803,0.5341169872535899,0.6284140422486066,0.5923219666352181,0.5847718494306477,0.604438539596063
Q1,arith:ridge_residual_composite:0.20+ridge_residual_full:0.80,0.5880994155553566,0.6045043358738162,-0.0023254683162711176,-0.014001535629396544,0.6045043358738162,-0.014001535629396544,0.031131462021205234,0.6066322377453169,0.5340473699060627,0.62845277816086,0.5923458591714114,0.5847442845037106,0.6045043358738162
Q1,arith:anchor:0.20+ridge_residual_full:0.80,0.5881164221741443,0.6083614961740865,-0.0023084616974834438,-0.010144375329126265,0.6083614961740865,-0.010144375329126265,0.03109128281357177,0.6113463414389271,0.5358923725898359,0.6281548389787134,0.5925604855687503,0.5793898278068149,0.6083614961740865
Q1,arith:ridge_residual_full:0.80+knn_targetwise_guarded:0.20,0.5881164221741443,0.6083614961740865,-0.0023084616974834438,-0.010144375329126265,0.6083614961740865,-0.010144375329126265,0.03109128281357181,0.6113463414389271,0.5358923725898358,0.6281548389787134,0.5925604855687503,0.5793898278068149,0.6083614961740865
Q1,logit:anchor:0.20+ridge_residual_full:0.80,0.5881215729718539,0.6083527972611893,-0.0023033108997738694,-0.010153074242023497,0.6083527972611893,-0.010153074242023497,0.031049447229471137,0.6113353362453231,0.5359663332912906,0.6280943371445842,0.5925698869634733,0.5793976227968982,0.6083527972611893
Q1,logit:ridge_residual_full:0.80+knn_targetwise_guarded:0.20,0.5881215729718539,0.6083527972611893,-0.0023033108997738694,-0.010153074242023497,0.6083527972611893,-0.010153074242023497,0.031049447229471106,0.6113353362453231,0.5359663332912906,0.6280943371445841,0.5925698869634732,0.5793976227968982,0.6083527972611893
Q1,logit:ridge_residual_full:0.50+ridge_residual_composite:0.20+knn_targetwise_guarded:0.30,0.5881759677957753,0.6068916678310232,-0.002248916075852425,-0.011614203672189571,0.6068916678310232,-0.011614203672189571,0.030740375130636783,0.6096166458892927,0.5363505799860345,0.6283781618939354,0.5923375280893204,0.580571136698685,0.6068916678310232
Q1,arith:ridge_residual_full:0.50+ridge_residual_composite:0.20+knn_targetwise_guarded:0.30,0.5881803490769638,0.6070050542582581,-0.0022445347946639105,-0.011500817244954664,0.6070050542582581,-0.011500817244954664,0.030875473757635618,0.6097469313248292,0.5361317871560893,0.6285496921960189,0.5923573253726848,0.5805246271452666,0.6070050542582581
Q1,logit:ridge_residual_full:0.35+ridge_residual_composite:0.35+knn_targetwise_guarded:0.30,0.588200198348716,0.6051954387983559,-0.0022246855229117735,-0.013310432704856878,0.6051954387983559,-0.013310432704856878,0.030603130952572635,0.6075769783854689,0.5360830124011471,0.6285971277194553,0.592172055469668,0.5824957283203493,0.6051954387983559
Q1,arith:ridge_residual_full:0.35+ridge_residual_composite:0.35+knn_targetwise_guarded:0.30,0.5882067438057892,0.6053723910653872,-0.0022181400658385364,-0.013133480437825584,0.6053723910653872,-0.013133480437825584,0.030782061273413496,0.6077801153025933,0.5357904656006544,0.6288096863597733,0.592208602956125,0.5824203156165575,0.6053723910653872
Q1,logit:ridge_residual_composite:0.35+ridge_residual_full:0.65,0.5882756987108314,0.6030283193180365,-0.0021491851607963186,-0.015477552185176324,0.6030283193180365,-0.015477552185176324,0.031098262082372954,0.6048278382683027,0.5339144128062207,0.6288644652958993,0.5922296764820192,0.5868341779000608,0.6030283193180365
Q1,arith:ridge_residual_composite:0.35+ridge_residual_full:0.65,0.5882801434867133,0.6031231850304066,-0.002144740384914412,-0.015382686472806162,0.6031231850304066,-0.015382686472806162,0.03115658062021703,0.6049359010594059,0.533812926818403,0.6289131321409752,0.5922638423635564,0.586791787262269,0.6031231850304066
Q1,logit:ridge_residual_full:0.20+ridge_residual_composite:0.50+knn_targetwise_guarded:0.30,0.5882989079581422,0.6036377021264375,-0.0021259759134855116,-0.014868169376775264,0.6036377021264375,-0.014868169376775264,0.03053756309418987,0.6056874348734148,0.5358481242988039,0.6289198380000367,0.5920499177868218,0.5844794952613932,0.6036377021264375
Q1,logit:ridge_residual_full:0.20+ridge_residual_composite:0.35+knn_targetwise_guarded:0.45,0.588300197469704,0.6065176195605739,-0.002124686401923759,-0.011988251942638861,0.6065176195605739,-0.011988251942638861,0.030476133116114756,0.6092093639602437,0.5372296276399904,0.6286693672015701,0.5922038322997282,0.5804552408263729,0.6065176195605739
Q1,arith:ridge_residual_full:0.20+ridge_residual_composite:0.50+knn_targetwise_guarded:0.30,0.5883030163651013,0.6038610219612262,-0.0021218675065264314,-0.014644849541986638,0.6038610219612262,-0.014644849541986638,0.030745927205485617,0.6059442019543742,0.535498149233811,0.6291535298713593,0.5920967347368514,0.5843776092883808,0.6038610219612262
Q1,arith:ridge_residual_full:0.20+ridge_residual_composite:0.35+knn_targetwise_guarded:0.45,0.588313560409491,0.6067189795578782,-0.002111323462136716,-0.011786891945334554,0.6067189795578782,-0.011786891945334554,0.030697454756379833,0.6094397648694708,0.5368764676821534,0.6289503100660205,0.5922453510570607,0.5803808283848078,0.6067189795578782
Q1,arith:anchor:0.35+ridge_residual_full:0.65,0.5883391891768024,0.6099115521834603,-0.002085694694825335,-0.00859431931975252,0.6099115521834603,-0.00859431931975252,0.03110476883732537,0.6132261685822751,0.5370570294183357,0.6284420381234896,0.5926470610066722,0.5774567973780264,0.6099115521834603
Q1,arith:ridge_residual_full:0.65+knn_targetwise_guarded:0.35,0.5883391891768024,0.6099115521834603,-0.002085694694825335,-0.00859431931975252,0.6099115521834603,-0.00859431931975252,0.03110476883732537,0.6132261685822751,0.5370570294183357,0.6284420381234896,0.5926470610066722,0.5774567973780264,0.6099115521834603
Q1,logit:anchor:0.35+ridge_residual_full:0.65,0.5883460327156185,0.6099052339102053,-0.0020788511560092537,-0.008600637593007443,0.6099052339102053,-0.008600637593007443,0.03104660568088221,0.6132177480407471,0.5371615636988338,0.6283541916409174,0.5926603115065606,0.5774624443557235,0.6099052339102053
Q1,logit:ridge_residual_full:0.65+knn_targetwise_guarded:0.35,0.5883460327156185,0.6099052339102053,-0.0020788511560092537,-0.008600637593007443,0.6099052339102053,-0.008600637593007443,0.03104660568088221,0.6132177480407471,0.5371615636988338,0.6283541916409174,0.5926603115065606,0.5774624443557235,0.6099052339102053
Q1,logit:anchor:0.50+ridge_residual_composite:0.50,0.5883473386893014,0.6052444893180262,-0.002077545182326279,-0.013261382185186577,0.6052444893180262,-0.013261382185186577,0.030286458615686702,0.6076945592398594,0.5373427888781817,0.6288896871288218,0.5920524221916929,0.5816855076168612,0.6052444893180262
Q1,logit:ridge_residual_composite:0.50+knn_targetwise_guarded:0.50,0.5883473386893014,0.6052444893180262,-0.002077545182326279,-0.013261382185186577,0.6052444893180262,-0.013261382185186577,0.030286458615686702,0.6076945592398594,0.5373427888781817,0.6288896871288218,0.5920524221916929,0.5816855076168612,0.6052444893180262
Q1,logit:anchor:0.20+ridge_residual_composite:0.50+knn_targetwise_guarded:0.30,0.5883473386893014,0.6052444893180262,-0.002077545182326279,-0.013261382185186577,0.6052444893180262,-0.013261382185186577,0.03028645861568673,0.6076945592398594,0.5373427888781817,0.6288896871288219,0.5920524221916929,0.5816855076168612,0.6052444893180262
Q1,logit:ridge_residual_full:0.35+ridge_residual_composite:0.20+knn_targetwise_guarded:0.45,0.5883558343191584,0.6083582612604878,-0.0020690495524693375,-0.010147610242725036,0.6083582612604878,-0.010147610242725036,0.030690328627231506,0.6114055941899404,0.537529893724799,0.6285709585881304,0.5924059998672455,0.5786005287119398,0.6083582612604878
Q1,arith:ridge_residual_full:0.35+ridge_residual_composite:0.20+knn_targetwise_guarded:0.45,0.588363916629551,0.6084804083604767,-0.0020609672420767167,-0.010025463142736113,0.6084804083604767,-0.010025463142736113,0.030852828506660674,0.6115454344048252,0.5372698266696122,0.6287901459591823,0.5924276047707449,0.5785578212849796,0.6084804083604767
Q1,arith:anchor:0.20+ridge_residual_composite:0.50+knn_targetwise_guarded:0.30,0.5883643572800663,0.6055216441244737,-0.002060526591561418,-0.012984227378739055,0.6055216441244737,-0.012984227378739055,0.03056806371956075,0.6080117591990413,0.536890079812788,0.6292358648839631,0.5921108050251523,0.5815807571052819,0.6055216441244737
Q1,arith:anchor:0.50+ridge_residual_composite:0.50,0.5883643572800664,0.6055216441244737,-0.002060526591561307,-0.012984227378739055,0.6055216441244737,-0.012984227378739055,0.030568063719560758,0.6080117591990413,0.536890079812788,0.6292358648839631,0.5921108050251523,0.5815807571052818,0.6055216441244737
Q1,arith:ridge_residual_composite:0.50+knn_targetwise_guarded:0.50,0.5883643572800664,0.6055216441244737,-0.002060526591561307,-0.012984227378739055,0.6055216441244737,-0.012984227378739055,0.030568063719560758,0.6080117591990413,0.536890079812788,0.6292358648839631,0.5921108050251523,0.5815807571052818,0.6055216441244737
Q1,logit:anchor:0.35+ridge_residual_composite:0.65,0.5884421990468918,0.6025453754741267,-0.0019826848247359585,-0.015960496029086113,0.6025453754741267,-0.015960496029086113,0.03044140819786027,0.604368818942074,0.5360017022958716,0.6292755080009497,0.5919527643122704,0.5857863346167742,0.6025453754741267
