candidate,full_logloss,last_logloss,fold_std,tail3_worst,test_abs_delta_mean_vs_anchor,fold0_logloss,fold1_logloss,fold2_logloss,fold3_logloss,fold4_logloss
precision55_move05,0.5953823636068426,0.5716608582982871,0.01729346724687846,0.6227517198251098,0.014389429593766464,0.5990626469773661,0.5830332311683506,0.6227517198251098,0.5995798222411582,0.5716608582982871
precision55_move03,0.5946003771792013,0.5724286713683664,0.01670593763621461,0.6216474498582393,0.010283877943589134,0.597948504420278,0.5823441699568525,0.6216474498582393,0.5979157108879606,0.5724286713683664
precision55_lowrisk,0.5911252423666499,0.5746944421762812,0.015293753448948743,0.6189520832995352,0.0065169806773336635,0.5938269088627006,0.5812432884134002,0.6189520832995352,0.5866247534293783,0.5746944421762812
precision60_move03,0.5946854234820202,0.5765350665848726,0.016150970466548262,0.623009462660432,0.010282511858531138,0.5950363124682484,0.5817300372496967,0.623009462660432,0.5968378474601199,0.5765350665848726
