candidate,action_key,target,source,mode,alpha,threshold,full_logloss,last_logloss,full_delta_vs_anchor,last_delta_vs_anchor,test_abs_delta_mean,test_mean_delta,test_up_rate,test_down_rate,risk_proxy,base_positive_rate,up_n,down_n,up_precision_actual_1,down_precision_actual_0,up_lift_vs_base,down_lift_vs_base0,up_logloss_gain_vs_anchor,down_logloss_gain_vs_anchor,selector_score,selected
precision55_move03,Q1::constrained_target_blend_logit_newton/last::damped::a0.75::t0.03,Q1,constrained_target_blend_logit_newton/last,damped,0.75,0.03,0.5910625832425951,0.5986647729042801,0.0006376993709673595,-0.019841098598932683,0.029824825441675366,0.0010182947673127974,0.272,0.248,0.0,0.5882352941176471,38,20,0.6578947368421053,0.6,0.06965944272445823,0.18823529411764706,0.03170326920320107,0.02620105659399332,-0.016539766369281467,True
precision55_move03,Q2::residual_single_model_opt_hist_gb/hist_gb_residual_composite::up_thr::a1::t0.03,Q2,residual_single_model_opt_hist_gb/hist_gb_residual_composite,up_thr,1.0,0.03,0.6985581180795576,0.6227810592085694,0.005678261455635103,-0.015303310091831945,0.006757144315666478,0.006757144315666478,0.164,0.0,0.0,0.6823529411764706,24,0,0.7916666666666666,,0.10931372549019602,,0.054199223241904924,,-0.011788464932447746,True
precision55_move03,Q3::residual_single_model_opt_ridge_logit_te_full/ridge_residual_last::up_thr::a0.75::t0.08,Q3,residual_single_model_opt_ridge_logit_te_full/ridge_residual_last,up_thr,0.75,0.08,0.6654827078919677,0.6224188673133506,0.0028021617637670193,-0.012273140927402837,0.0009885936644600751,0.0009885936644600751,0.012,0.0,0.0,0.6470588235294118,10,0,0.9,,0.2529411764705882,,0.10432169788292392,,-0.01077320067907332,True
precision55_move03,S1::constrained_target_blend_logit_newton/last_guard_0::down_thr::a1::t0.05,S1,constrained_target_blend_logit_newton/last_guard_0,down_thr,1.0,0.05,0.4901097377292547,0.4424730529731714,-0.0022424154845973043,-0.007071413043804764,0.0006724476754752355,-0.0006724476754752355,0.0,0.008,0.0,0.7411764705882353,0,7,,0.5714285714285714,,0.3126050420168067,,0.08586715838905853,-0.00700416827625724,True
precision55_move03,S2::residual_single_model_opt_ridge/ridge_residual_last::down_thr::a1::t0.08,S2,residual_single_model_opt_ridge/ridge_residual_last,down_thr,1.0,0.08,0.562622011559896,0.5684210565200837,0.002501605870187773,-0.05439426637534972,0.025277245415574582,-0.025277245415574582,0.0,0.156,0.0,0.5647058823529412,0,22,,0.5909090909090909,,0.1556149732620321,,0.21015966554112353,-0.05061573889869837,True
precision55_move03,S3::constrained_target_blend_logit_newton/last_guard_0::down_thr::a1::t0.08,S3,constrained_target_blend_logit_newton/last_guard_0,down_thr,1.0,0.08,0.5294421568160732,0.577938298805045,-0.012109217705614905,-0.02274072618552858,0.0,0.0,0.0,0.0,0.0,0.6352941176470588,0,18,,0.5555555555555556,,0.19084967320261437,,0.10738676254277396,-0.02274072618552858,True
precision55_move03,S4::residual_single_model_opt_ridge_logit_newton/ridge_residual_last::up::a1::t0.03,S4,residual_single_model_opt_ridge_logit_newton/ridge_residual_last,up,1.0,0.03,0.6249253249350655,0.5743035918540645,-0.005873712669559494,-0.014350792786925637,0.008466889092272214,0.008466889092272214,0.104,0.0,0.0,0.5411764705882353,10,0,0.9,,0.35882352941176476,,0.11303818698037418,,-0.013504103877698416,True
precision55_move05,Q1::constrained_target_blend_logit_newton/last::full::a1::t0.03,Q1,constrained_target_blend_logit_newton/last,full,1.0,0.03,0.5939493230903995,0.5962395054298064,0.003524439218771769,-0.022266366073406374,0.03976643392223383,0.0013577263564170607,0.272,0.248,0.0,0.5882352941176471,38,20,0.6578947368421053,0.6,0.06965944272445823,0.18823529411764706,0.034363129250298816,0.032380349922325795,-0.019044490650724565,True
precision55_move05,Q2::residual_single_model_opt_hist_gb/hist_gb_residual_composite::up_thr::a1::t0.03,Q2,residual_single_model_opt_hist_gb/hist_gb_residual_composite,up_thr,1.0,0.03,0.6985581180795576,0.6227810592085694,0.005678261455635103,-0.015303310091831945,0.006757144315666478,0.006757144315666478,0.164,0.0,0.0,0.6823529411764706,24,0,0.7916666666666666,,0.10931372549019602,,0.054199223241904924,,-0.012978061366576336,True
precision55_move05,Q3::residual_single_model_opt_ridge_logit_te_full/ridge_residual_last::up_thr::a0.75::t0.05,Q3,residual_single_model_opt_ridge_logit_te_full/ridge_residual_last,up_thr,0.75,0.05,0.6682950271299757,0.6210977009872003,0.0056144810017749736,-0.01359430725355315,0.0024156023869325817,0.0024156023869325817,0.044,0.0,0.0,0.6470588235294118,20,0,0.8,,0.15294117647058825,,0.05777580582760068,,-0.011508458783585281,True
precision55_move05,S1::constrained_target_blend_logit_newton/last_guard_0::down_thr::a1::t0.05,S1,constrained_target_blend_logit_newton/last_guard_0,down_thr,1.0,0.05,0.4901097377292547,0.4424730529731714,-0.0022424154845973043,-0.007071413043804764,0.0006724476754752355,-0.0006724476754752355,0.0,0.008,0.0,0.7411764705882353,0,7,,0.5714285714285714,,0.3126050420168067,,0.08586715838905853,-0.0070377906600310024,True
precision55_move05,S2::residual_single_model_opt_ridge/ridge_residual_last::down::a1::t0.08,S2,residual_single_model_opt_ridge/ridge_residual_last,down,1.0,0.08,0.5623968574675721,0.5667927988301515,0.0022764517778638416,-0.05602252406528185,0.0426474897637849,-0.0426474897637849,0.0,0.156,0.0,0.5647058823529412,0,22,,0.5909090909090909,,0.1556149732620321,,0.21015966554112353,-0.053093391454840266,True
precision55_move05,S3::constrained_target_blend_logit_newton/last_guard_0::down_thr::a1::t0.08,S3,constrained_target_blend_logit_newton/last_guard_0,down_thr,1.0,0.08,0.5294421568160732,0.577938298805045,-0.012109217705614905,-0.02274072618552858,0.0,0.0,0.0,0.0,0.0,0.6352941176470588,0,18,,0.5555555555555556,,0.19084967320261437,,0.10738676254277396,-0.02274072618552858,True
precision55_move05,S4::residual_single_model_opt_ridge_logit_newton/ridge_residual_last::up::a1::t0.03,S4,residual_single_model_opt_ridge_logit_newton/ridge_residual_last,up,1.0,0.03,0.6249253249350655,0.5743035918540645,-0.005873712669559494,-0.014350792786925637,0.008466889092272214,0.008466889092272214,0.104,0.0,0.0,0.5411764705882353,10,0,0.9,,0.35882352941176476,,0.11303818698037418,,-0.013927448332312025,True
precision60_move03,Q1::constrained_target_blend_logit_newton/last::damped::a0.75::t0.03,Q1,constrained_target_blend_logit_newton/last,damped,0.75,0.03,0.5910625832425951,0.5986647729042801,0.0006376993709673595,-0.019841098598932683,0.029824825441675366,0.0010182947673127974,0.272,0.248,0.0,0.5882352941176471,38,20,0.6578947368421053,0.6,0.06965944272445823,0.18823529411764706,0.03170326920320107,0.02620105659399332,-0.014889100254455858,True
precision60_move03,Q2::residual_single_model_opt_hist_gb/hist_gb_residual_composite::up_thr::a1::t0.03,Q2,residual_single_model_opt_hist_gb/hist_gb_residual_composite,up_thr,1.0,0.03,0.6985581180795576,0.6227810592085694,0.005678261455635103,-0.015303310091831945,0.006757144315666478,0.006757144315666478,0.164,0.0,0.0,0.6823529411764706,24,0,0.7916666666666666,,0.10931372549019602,,0.054199223241904924,,-0.010031042352755646,True
precision60_move03,Q3::residual_single_model_opt_ridge_logit_te_full/ridge_residual_last::up_thr::a0.75::t0.08,Q3,residual_single_model_opt_ridge_logit_te_full/ridge_residual_last,up_thr,0.75,0.08,0.6654827078919677,0.6224188673133506,0.0028021617637670193,-0.012273140927402837,0.0009885936644600751,0.0009885936644600751,0.012,0.0,0.0,0.6470588235294118,10,0,0.9,,0.2529411764705882,,0.10432169788292392,,-0.010023230554908561,True
precision60_move03,S1::residual_single_model_opt_ridge_logit_newton/ridge_residual_full::down_thr::a1::t0.08,S1,residual_single_model_opt_ridge_logit_newton/ridge_residual_full,down_thr,1.0,0.08,0.49080229617078885,0.44582012003994526,-0.001549857043063152,-0.0037243459770309184,0.0007287368384388915,-0.0007287368384388915,0.0,0.008,0.0,0.7411764705882353,0,4,,0.75,,0.4911764705882353,,0.07914235201190628,-0.0036150354512650847,True
precision60_move03,S2::constrained_target_blend_logit_newton/tradeoff_cap_a0p25::down::a1::t0.08,S2,constrained_target_blend_logit_newton/tradeoff_cap_a0p25,down,1.0,0.08,0.5525037541040085,0.578858636100009,-0.007616651585699685,-0.043956686795424416,0.02521139365720494,-0.02521139365720494,0.0,0.056,0.0,0.5647058823529412,0,14,,0.6428571428571429,,0.20756302521008407,,0.22203254933726685,-0.04017497774684368,True
