candidate,weights,full_logloss,last_logloss
targetwise_guarded,targetwise,0.5927334000341568,0.5894932191812458
anchor0.8_lgbm0.2,"{""anchor"": 0.8, ""lgbm"": 0.19999999999999996}",0.5926769682725289,0.5920917925687637
anchor0.7_lgbm0.3,"{""anchor"": 0.7, ""lgbm"": 0.30000000000000004}",0.5918423028412897,0.592148317038278
anchor0.9_lgbm0.1,"{""anchor"": 0.9, ""lgbm"": 0.09999999999999998}",0.5939971649514415,0.5924613348988099
anchor0.8_xgb0.2,"{""anchor"": 0.8, ""xgb"": 0.19999999999999996}",0.5929679509490696,0.5925878199506748
anchor0.6_lgbm0.4,"{""anchor"": 0.6, ""lgbm"": 0.4}",0.5914760048937938,0.5926138839820977
anchor0.9_xgb0.1,"{""anchor"": 0.9, ""xgb"": 0.09999999999999998}",0.5941585627029092,0.5927314835838126
anchor0.7_xgb0.3,"{""anchor"": 0.7, ""xgb"": 0.30000000000000004}",0.5922324887415708,0.5928303727367192
anchor,"{""anchor"": 1.0}",0.595829751093375,0.5932822067983344
anchor0.9_cat0.1,"{""anchor"": 0.9, ""cat"": 0.09999999999999998}",0.5939011933641831,0.5933030823546179
anchor0.6_xgb0.4,"{""anchor"": 0.6, ""xgb"": 0.4}",0.5919353452904169,0.5934444522563069
anchor0.5_lgbm0.5,"{""anchor"": 0.5, ""lgbm"": 0.5}",0.5915686652920217,0.5934775960255844
anchor0.8_cat0.2,"{""anchor"": 0.8, ""cat"": 0.19999999999999996}",0.5924321543569017,0.5937123530150862
anchor0.5_xgb0.5,"{""anchor"": 0.5, ""xgb"": 0.5}",0.5920664680010785,0.5944201271417242
anchor0.7_cat0.3,"{""anchor"": 0.7, ""cat"": 0.30000000000000004}",0.591399250178978,0.5944882274057474
anchor0.4_lgbm0.6,"{""anchor"": 0.4, ""lgbm"": 0.6}",0.5921176988865963,0.5947335463271809
anchor0.6_cat0.4,"{""anchor"": 0.6, ""cat"": 0.4}",0.5907865821992188,0.595614687657892
anchor0.4_xgb0.6,"{""anchor"": 0.4, ""xgb"": 0.6}",0.5926216132929925,0.5957514042370189
anchor0.3_lgbm0.7,"{""anchor"": 0.3, ""lgbm"": 0.7}",0.5931271527136576,0.5963802367708703
anchor0.5_cat0.5,"{""anchor"": 0.5, ""cat"": 0.5}",0.5905844903323835,0.5970802324588094
anchor0.3_xgb0.7,"{""anchor"": 0.3, ""xgb"": 0.7}",0.5936019370279171,0.597435761086528
anchor0.2_lgbm0.8,"{""anchor"": 0.2, ""lgbm"": 0.8}",0.5946082568040996,0.5984203710595031
anchor0.4_cat0.6,"{""anchor"": 0.4, ""cat"": 0.6}",0.5907889746114492,0.5988770712443251
anchor0.2_xgb0.8,"{""anchor"": 0.2, ""xgb"": 0.8}",0.5950140416087538,0.5994739243182187
anchor0.1_lgbm0.9,"{""anchor"": 0.1, ""lgbm"": 0.9}",0.596581056184195,0.6008609581163908
anchor0.3_cat0.7,"{""anchor"": 0.3, ""cat"": 0.7}",0.5914016766333816,0.6010006127047322
anchor0.1_xgb0.9,"{""anchor"": 0.1, ""xgb"": 0.9}",0.5968705034424655,0.6018698474126333
anchor0.2_cat0.8,"{""anchor"": 0.2, ""cat"": 0.8}",0.5924304971269374,0.6034491624184344
lgbm0.9_cat0.1,"{""lgbm"": 0.9, ""cat"": 0.09999999999999998}",0.5980515374891271,0.6036900980559448
lgbm0.9_xgb0.1,"{""lgbm"": 0.9, ""xgb"": 0.09999999999999998}",0.5989945739847394,0.6037045865937116
lgbm,"{""lgbm"": 1.0}",0.599078297256033,0.6037137355295608
lgbm0.8_xgb0.2,"{""lgbm"": 0.8, ""xgb"": 0.19999999999999996}",0.5989325721871621,0.6037186654974931
lgbm0.7_xgb0.3,"{""lgbm"": 0.7, ""xgb"": 0.30000000000000004}",0.5988920080067283,0.6037556009878825
lgbm0.8_cat0.2,"{""lgbm"": 0.8, ""cat"": 0.19999999999999996}",0.597189083816138,0.6038046794482534
lgbm0.6_xgb0.4,"{""lgbm"": 0.6, ""xgb"": 0.4}",0.5988726323019932,0.6038150635681335
lgbm0.5_xgb0.5,"{""lgbm"": 0.5, ""xgb"": 0.5}",0.5988742274467491,0.6038967617358273
lgbm0.4_xgb0.6,"{""lgbm"": 0.4, ""xgb"": 0.6}",0.5988966046888534,0.6040004388004159
lgbm0.7_cat0.3,"{""lgbm"": 0.7, ""cat"": 0.30000000000000004}",0.5964851298965776,0.6040527009163942
lgbm0.3_xgb0.7,"{""lgbm"": 0.3, ""xgb"": 0.7}",0.5989396019675884,0.6041258701854579
lgbm0.2_xgb0.8,"{""lgbm"": 0.2, ""xgb"": 0.8}",0.5990030821123138,0.6042728611400771
lgbm0.6_cat0.4,"{""lgbm"": 0.6, ""cat"": 0.4}",0.5959356140263343,0.6044306174778572
lgbm0.1_xgb0.9,"{""lgbm"": 0.1, ""xgb"": 0.9}",0.5990869313625369,0.6044412447992367
xgb0.9_cat0.1,"{""xgb"": 0.9, ""cat"": 0.09999999999999998}",0.5981834692234818,0.6046100666159214
xgb,"{""xgb"": 1.0}",0.5991910581628878,0.6046308805442727
xgb0.8_cat0.2,"{""xgb"": 0.8, ""cat"": 0.19999999999999996}",0.5973304069755022,0.6047007420616987
xgb0.7_cat0.3,"{""xgb"": 0.7, ""cat"": 0.30000000000000004}",0.5966278254033222,0.6049013431654745
lgbm0.5_cat0.5,"{""lgbm"": 0.5, ""cat"": 0.5}",0.5955378473238936,0.6049358312753675
xgb0.6_cat0.4,"{""xgb"": 0.6, ""cat"": 0.4}",0.5960728909316776,0.6052106916857544
lgbm0.4_cat0.6,"{""lgbm"": 0.4, ""cat"": 0.6}",0.5952903167879492,0.6055665084933091
xgb0.5_cat0.5,"{""xgb"": 0.5, ""cat"": 0.5}",0.5956638109401317,0.6056279692284796
xgb0.4_cat0.6,"{""xgb"": 0.4, ""cat"": 0.6}",0.595399749911678,0.6061527002269608
anchor0.1_cat0.9,"{""anchor"": 0.1, ""cat"": 0.9}",0.5938912147885665,0.6062237854133213
lgbm0.3_cat0.7,"{""lgbm"": 0.3, ""cat"": 0.7}",0.5951926006540147,0.6063214601760001
xgb0.3_cat0.7,"{""xgb"": 0.3, ""cat"": 0.7}",0.595280811021258,0.6067847425205575
