target,source,full_logloss,last_logloss,full_delta_vs_anchor,last_delta_vs_anchor,reason
Q1,anchor,0.5904248838716277,0.6185058715032128,0.0,0.0,fallback_anchor
Q2,anchor_temp_1p08,0.6960349029712236,0.6362058213770391,0.003155046347301127,-0.0018785479233622837,accepted_single_source
Q3,anchor_temp_1p15,0.6647218899965968,0.6331217320797131,0.0020413438683960505,-0.0015702761610403293,accepted_single_source
S1,anchor_temp_1p08,0.49344142107310934,0.44903952636731703,0.0010892678592573368,-0.0005049396496591418,accepted_single_source
S2,anchor_temp_0p85,0.5633849964587816,0.6160366260823963,0.003264590769073372,-0.006778696813037111,accepted_single_source
S3,anchor_temp_0p92,0.5451417197113754,0.5986616538446945,0.0035903451896872607,-0.0020173711458790766,accepted_single_source
S4,anchor_temp_1p15,0.6294596396317422,0.5807100786105276,-0.0013393979728827388,-0.007944306030462589,accepted_single_source
