split,target,fold,subject_id,rows,emission_power,transition_blend,p00,p11,before_mean,after_mean,source
oof,Q1,0,id01,9,0.5,0.15,0.6136363636363636,0.6271186440677966,0.38812273618277726,0.4301451049271256,seq_Q1_0p5_0p15
oof,Q1,0,id02,10,0.5,0.15,0.6136363636363636,0.6271186440677966,0.4647918364292587,0.4817796682925771,seq_Q1_0p5_0p15
oof,Q1,0,id03,7,0.5,0.15,0.6136363636363636,0.6271186440677966,0.8131467496638531,0.7172226556986468,seq_Q1_0p5_0p15
oof,Q1,0,id04,12,0.5,0.15,0.6136363636363636,0.6271186440677966,0.6110989039050624,0.5772225478266332,seq_Q1_0p5_0p15
oof,Q1,0,id05,9,0.5,0.15,0.6136363636363636,0.6271186440677966,0.7594300556964532,0.6663160504515845,seq_Q1_0p5_0p15
oof,Q1,0,id06,10,0.5,0.15,0.6136363636363636,0.6271186440677966,0.30856119325719356,0.3827205894092892,seq_Q1_0p5_0p15
oof,Q1,0,id07,10,0.5,0.15,0.6136363636363636,0.6271186440677966,0.4231188600317646,0.45688091331416025,seq_Q1_0p5_0p15
oof,Q1,0,id08,12,0.5,0.15,0.6136363636363636,0.6271186440677966,0.3669871002688796,0.42130213137715183,seq_Q1_0p5_0p15
oof,Q1,0,id09,9,0.5,0.15,0.6136363636363636,0.6271186440677966,0.38896768738382836,0.4306119669550808,seq_Q1_0p5_0p15
oof,Q1,0,id10,7,0.5,0.15,0.6136363636363636,0.6271186440677966,0.5007194466009841,0.5011179126696472,seq_Q1_0p5_0p15
oof,Q1,1,id01,8,0.5,0.15,0.6195652173913043,0.630057803468208,0.5384931070855642,0.44246558198052716,seq_Q1_0p5_0p15
oof,Q1,1,id02,10,0.5,0.15,0.6195652173913043,0.630057803468208,0.5967320905580747,0.5912336159666421,seq_Q1_0p5_0p15
oof,Q1,1,id03,7,0.5,0.15,0.6195652173913043,0.630057803468208,0.6039361347811463,0.6129632570494171,seq_Q1_0p5_0p15
oof,Q1,1,id04,11,0.5,0.15,0.6195652173913043,0.630057803468208,0.5664943570866403,0.5647618036367467,seq_Q1_0p5_0p15
oof,Q1,1,id05,9,0.5,0.15,0.6195652173913043,0.630057803468208,0.602721395882925,0.508142782392847,seq_Q1_0p5_0p15
oof,Q1,1,id06,10,0.5,0.15,0.6195652173913043,0.630057803468208,0.3421052596537636,0.38084087459095933,seq_Q1_0p5_0p15
oof,Q1,1,id07,10,0.5,0.15,0.6195652173913043,0.630057803468208,0.5429138311229478,0.48436764784438446,seq_Q1_0p5_0p15
oof,Q1,1,id08,11,0.5,0.15,0.6195652173913043,0.630057803468208,0.43568284548160396,0.49833374334239106,seq_Q1_0p5_0p15
oof,Q1,1,id09,8,0.5,0.15,0.6195652173913043,0.630057803468208,0.4111619722418398,0.5004330298434937,seq_Q1_0p5_0p15
oof,Q1,1,id10,7,0.5,0.15,0.6195652173913043,0.630057803468208,0.3765408662626736,0.3836545477406288,seq_Q1_0p5_0p15
oof,Q1,2,id01,8,0.5,0.15,0.5934065934065934,0.6179775280898876,0.27312887322634244,0.3287335976594579,seq_Q1_0p5_0p15
oof,Q1,2,id02,9,0.5,0.15,0.5934065934065934,0.6179775280898876,0.4846848028679077,0.44595947401242714,seq_Q1_0p5_0p15
oof,Q1,2,id03,6,0.5,0.15,0.5934065934065934,0.6179775280898876,0.8253749605561058,0.7469281401503131,seq_Q1_0p5_0p15
oof,Q1,2,id04,12,0.5,0.15,0.5934065934065934,0.6179775280898876,0.5300147974512049,0.4743586322184254,seq_Q1_0p5_0p15
oof,Q1,2,id05,9,0.5,0.15,0.5934065934065934,0.6179775280898876,0.518591233254995,0.5709057781819951,seq_Q1_0p5_0p15
oof,Q1,2,id06,9,0.5,0.15,0.5934065934065934,0.6179775280898876,0.26146065084102366,0.4159284884031215,seq_Q1_0p5_0p15
oof,Q1,2,id07,10,0.5,0.15,0.5934065934065934,0.6179775280898876,0.6049432834417064,0.5922296091493773,seq_Q1_0p5_0p15
oof,Q1,2,id08,11,0.5,0.15,0.5934065934065934,0.6179775280898876,0.27331028280008346,0.4186001451637233,seq_Q1_0p5_0p15
oof,Q1,2,id09,8,0.5,0.15,0.5934065934065934,0.6179775280898876,0.5135307837168388,0.572616050127242,seq_Q1_0p5_0p15
oof,Q1,2,id10,6,0.5,0.15,0.5934065934065934,0.6179775280898876,0.5143083995982666,0.4315802865513913,seq_Q1_0p5_0p15
oof,Q1,3,id01,8,0.5,0.15,0.5955056179775281,0.6312849162011173,0.5960919496717141,0.4840286093936028,seq_Q1_0p5_0p15
oof,Q1,3,id02,10,0.5,0.15,0.5955056179775281,0.6312849162011173,0.567250695192935,0.6022108359497234,seq_Q1_0p5_0p15
oof,Q1,3,id03,7,0.5,0.15,0.5955056179775281,0.6312849162011173,0.8037218581008274,0.7286749504634259,seq_Q1_0p5_0p15
oof,Q1,3,id04,11,0.5,0.15,0.5955056179775281,0.6312849162011173,0.5747027961762879,0.4931813579494817,seq_Q1_0p5_0p15
oof,Q1,3,id05,9,0.5,0.15,0.5955056179775281,0.6312849162011173,0.6409251132707702,0.6226754342239222,seq_Q1_0p5_0p15
oof,Q1,3,id06,10,0.5,0.15,0.5955056179775281,0.6312849162011173,0.27742333064187896,0.3362483810520084,seq_Q1_0p5_0p15
oof,Q1,3,id07,10,0.5,0.15,0.5955056179775281,0.6312849162011173,0.5178437707543291,0.5493153687644884,seq_Q1_0p5_0p15
oof,Q1,3,id08,11,0.5,0.15,0.5955056179775281,0.6312849162011173,0.41112516752077366,0.4191793939204204,seq_Q1_0p5_0p15
oof,Q1,3,id09,8,0.5,0.15,0.5955056179775281,0.6312849162011173,0.5663546405849964,0.49364971819986686,seq_Q1_0p5_0p15
oof,Q1,3,id10,7,0.5,0.15,0.5955056179775281,0.6312849162011173,0.44861541818065076,0.42388444547626186,seq_Q1_0p5_0p15
oof,Q1,4,id01,8,0.5,0.15,0.6105263157894737,0.5895953757225434,0.47099550677140567,0.40633062885244653,seq_Q1_0p5_0p15
oof,Q1,4,id02,9,0.5,0.15,0.6105263157894737,0.5895953757225434,0.5635519025845672,0.569809946724561,seq_Q1_0p5_0p15
oof,Q1,4,id03,6,0.5,0.15,0.6105263157894737,0.5895953757225434,0.7213625043666081,0.6929446591400997,seq_Q1_0p5_0p15
oof,Q1,4,id04,11,0.5,0.15,0.6105263157894737,0.5895953757225434,0.6155045961847023,0.5939313200478177,seq_Q1_0p5_0p15
oof,Q1,4,id05,8,0.5,0.15,0.6105263157894737,0.5895953757225434,0.43649764158998605,0.40508508359905265,seq_Q1_0p5_0p15
oof,Q1,4,id06,9,0.5,0.15,0.6105263157894737,0.5895953757225434,0.3466368529554634,0.37465400019685025,seq_Q1_0p5_0p15
